"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","relationshipType","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1184736","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Aureliana","tomentosa","Aureliana tomentosa","Sendtn.","R. Reitz","9160","1959","10","09","South America","Brazil","Santa Catarina","Itajaí","Cordeiros","-48.6617","-26.9081","5","5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1478148' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184736","NY01184736_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","778906","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Aureliana","tomentosa","Aureliana tomentosa","Sendtn.","D. A. Folli","4191","2002","02","26","South America","Brazil","Espírito Santo","Linhares","Reserva Natural da CVRD - Linhares. Estrada Aceiro Calimã, km. 0.3.","-40.0719","-19.3911",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778906",NA,"I. M. C. Rodrigues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:19:52-03","ESALQ","ESA","130767","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanaceae","Aureliana","tomentosa","Aureliana tomentosa","Sendtn.","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","35970.0","2013","02","28",NA,"Brasil","Rio de Janeiro","Piraí","Fragmento 56 (TAV). Floresta Ombrófila Densa.","-22.5971","-43.9871","540","540",NA,NA,"ESA130767",NA,"Souza, V.C.","2013","-22.5971","-43.9871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:19:52-03","ESALQ","ESA","130765","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanaceae","Aureliana","tomentosa","Aureliana tomentosa","Sendtn.","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","35968.0","2013","02","26",NA,"Brasil","Rio de Janeiro","Barra Mansa","Fragmento 48 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.","-22.4887","-44.3278","624","624",NA,NA,"ESA130765",NA,"Souza, V.C.","2013","-22.4887","-44.3278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:19:52-03","ESALQ","ESA","130768","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanaceae","Aureliana","tomentosa","Aureliana tomentosa","Sendtn.","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","35971.0","2013","02","27",NA,"Brasil","Rio de Janeiro","Barra Mansa","Fragmento 53 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.","-22.5732","-44.0993","501","501",NA,NA,"ESA130768",NA,"Souza, V.C.","2013","-22.5732","-44.0993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-07-23 11:36:02-03","FPS","FPS","86","MachineObservation","Plantae",NA,NA,"Solanaceae","Athenaea","tomentosa","Athenaea tomentosa","(Sendtn.) I.M.C.Rodrigues & Stehmann","Schwirkowski, P.","243","2014","01","25",NA,"Brasil","Santa Catarina","São Bento do Sul","Trilha Parque Horto Florestal do SAMAE","-49.360175","-26.233265",NA,NA,NA,"<ll>dwc_commonname:</ll> Pimenta-branca","FPS00086,MBM392055,FURB43729","FPS00086_v01 FPS00086_v02 FPS00086_v03 FURB43729 MBM392055","Schwirkowski, P.","2016","-49.360175","-26.233265","01","06","voucher","MBM 392055, FURB 46956",NA,NA,NA,NA,NA,NA
"7","2020-07-23 11:36:02-03","FPS","FPS","1608","MachineObservation","Plantae",NA,NA,"Solanaceae","Athenaea","tomentosa","Athenaea tomentosa","(Sendtn.) I.M.C.Rodrigues & Stehmann","Schwirkowski, P.",NA,"2011","03","01",NA,"Brasil","Santa Catarina","São Bento do Sul","Rio Natal, linha férrea próxima à igreja","-49.298881","-26.358368",NA,NA,NA,"<ll>dwc_commonname:</ll> Pimenta-branca","FPS01608","FPS01608_v01 FPS01608_v02 FPS01608_v03 FPS01608_v04 FPS01608_v05 FPS01608_v06 FPS01608_v07 FPS01608_v08 FPS01608_v09 FPS01608_v10","Schwirkowski, P.","2015","-49.298881","-26.358368","03","01",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-07-23 11:36:02-03","FPS","FPS","659","MachineObservation","Plantae",NA,NA,"Solanaceae","Athenaea","tomentosa","Athenaea tomentosa","(Sendtn.) I.M.C.Rodrigues & Stehmann","Schwirkowski, P.","911","2015","01","24",NA,"Brasil","Santa Catarina","São Bento do Sul","Sertãozinho. Estrada dos Bugres. Beira de estrada.","-49.367699","-26.3044",NA,NA,NA,"<ll>dwc_commonname:</ll> Pimenta-branca","FPS00659","FPS00659_v01 FPS00659_v02 FPS00659_v03 FPS00659_v04 FPS00659_v05","Schwirkowski, P.","2015","-49.367699","-26.3044","01","24",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-07-23 11:36:02-03","FPS","FPS","1587","MachineObservation","Plantae",NA,NA,"Solanaceae","Athenaea","tomentosa","Athenaea tomentosa","(Sendtn.) I.M.C.Rodrigues & Stehmann","Schwirkowski, P.",NA,"2011","02","28",NA,"Brasil","Santa Catarina","São Bento do Sul","Trilha Parque Horto Florestal do SAMAE","-49.360175","-26.233265",NA,NA,NA,"<ll>dwc_commonname:</ll> Pimenta-branca","FPS01587","FPS01587_v01 FPS01587_v02 FPS01587_v03 FPS01587_v04 FPS01587_v05 FPS01587_v06 FPS01587_v07 FPS01587_v08 FPS01587_v09","Schwirkowski, P.","2011","-49.360175","-26.233265","02","28",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-07-23 11:36:02-03","FPS","FPS","2075","MachineObservation","Plantae",NA,NA,"Solanaceae","Athenaea","tomentosa","Athenaea tomentosa","(Sendtn.) I.M.C.Rodrigues & Stehmann","Schwirkowski, P.","1566","2016","02","08",NA,"Brasil","Santa Catarina","São Bento do Sul","Bairro Progresso. Parque Florestal do SAMAE","-49.387264","-26.276077",NA,NA,NA,"<ll>dwc_commonname:</ll> Pimenta-branca","FPS02075,FURB49634","FPS02075_v01 FPS02075_v02 FPS02075_v03 FPS02075_v04 FPS02075_v05 FPS02075_v06 FPS02075_v07 FPS02075_v08 FURB49634","Schwirkowski, P.","2016","-49.387264","-26.276077","02","08","voucher","FURB 49634",NA,NA,NA,NA,NA,NA
