"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","year","month","day","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2016-09-29 17:36:00-03","NY","NYBG","440815","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Echites","francisceus","Echites francisceus","syntype","J. S. Blanchet","2865","South America","Brazil","Bahia","Gentio do Ouro","Serra de Açurua","-42.5","-11.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=703678' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440815","NY00440815_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 17:36:00-03","NY","NYBG","440811","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Echites","francisceus","Echites francisceus","syntype","J. S. Blanchet","2865","South America","Brazil","Bahia","Gentio do Ouro","Serra Açurua","-42.5","-11.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=703679' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440811","NY00440811_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","440822","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"W. W. Thomas","4874","South America","Brazil","Minas Gerais","Diamantina","Along road to Sao Joao da Chapada, 17 km NW of Jct. with rd. from Curvelo to Diamantina","-43.75","-18.13","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440822","NY00440822_01","(Vell.) Miers","B. F. Hansen","1985","11","23","1180","1180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","971411","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"H. S. Irwin","19800","South America","Brazil","Minas Gerais",NA,"Serra do Itabirito, ca. 50km S.E. of Belo Horizonte.","-43.8","-20.28","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071810' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971411","NY00971411_01","(Vell.) Miers","F. Markgraf","1968","02","10","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","440807","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"P. K. H. Dusén","11038","South America","Brazil","Paraná","Sengés","Inter Sengés et Fabio Rego","-49.4633","-24.1131","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511541' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440807","NY00440807_01","(Vell.) Miers","R. E. Woodson Jr.","1910","12","11","770","770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 22:38:00-03","NY","NYBG","971401","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"E. Nogueira","152","South America","Brazil","Goiás","Corumbá de Goiás","Topo do Pico dos Prineus, serra do Catingueiro.","-48.8083","-15.9236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071791' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971401","NY00971401_01",NA,NA,"1981","01","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","440803","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"G. Eiten","6019","South America","Brazil","São Paulo","Paraguaçú Paulista","Along road (to Borá) ca. 4 km N of city of Paraguaçú Paulista","-50.58","-22.375","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511526' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440803","NY00440803_01","(Vell.) Miers","M. E. Fallen","1965","02","10","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 14:19:00-03","NY","NYBG","440808","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"A. M. V. de Carvalho","3751","South America","Brazil","Bahia","Caetité","Ca. 20 km SW de Caetité na estrada para Brejinho das Ametistas","-42.47","-14.06","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440808","NY00440808_01",NA,"B. F. Hansen","1992","02","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","440812","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"F. Sellow","6325","South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440812","NY00440812_01","(Vell.) Miers","R. E. Woodson Jr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","440802","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Temnadenia","violacea","Temnadenia violacea",NA,"S. C. de Sant'Ana","475","South America","Brazil","Sergipe","Santa Luzia do Itanhi","Cerca de 500 m S do Distrito de Crasto (passando pelo Cemitério)","-37.4481","-11.3508","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511537' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440802","NY00440802_01","(Vell.) Miers","B. F. Hansen","1993","11","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
