"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","fieldNumber","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","class","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","250590","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","riparia","Peperomia riparia","Yunck.","isotype fragment","Y. E. J. Mexia","5008","1930","08","27","South America","Brazil","Minas Gerais","Districto Ilheu. Fazenda da Tabunha, Cachoera do Munhin","220","220","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125258' target='other'> <mi>dwc_moreinfo</mi></a>","NY00250590","NY00250590_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01240729","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","riparia","Peperomia riparia","Yunck.",NA,"W. W. Thomas","12681","2001","10","30","South America","Brazil","Bahia","11.2 km W of BR 101 on road from Aurelino Leal towards Laje do Banco","175","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=225260' target='other'> <mi>dwc_moreinfo</mi></a>","NY01240729","NY01240729_01","G. Mathieu","Aurelino Leal","-39.381867","-14.34533",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","250589","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","riparia","Peperomia riparia","Yunck.","isotype","Y. E. J. Mexia","5008","1930","08","27","South America","Brazil","Minas Gerais","Districto Ilheu. Fazenda da Tabunha, Cahoera do Munhin","220","220","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00250589","NY00250589_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:18:50-03","UFV","VIC","1146","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","riparia","Peperomia riparia","Yunck.","Isótipo","Mexia, Y.","5008","1930","08","27",NA,"Brasil","Minas Gerais","Distrito de Ilheús - Fazenda da Tabunha, Cachoeira de Munhim. ISÓTIPO.",NA,NA,NA,NA,"VIC001146","VIC001146","Trelease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-16 04:28:25-03","MNHN","RECOLNAT_MNHN_P","P00438855","PreservedSpecimen",NA,NA,NA,"Piperaceae","Peperomia","riparia","Peperomia riparia","Yunck.","isotype","Mexia, Y.",NA,"1930","8","27",NA,"Brésil",NA,"State of Minas Geraes, districto Ilheu. Fazenda da Tabunha, Cachoera do Munhin","220",NA,"hb","Reçu le 5 avril 1934 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00438855' target='other'> <mi>dwc_moreinfo</mi></a>","P00438855","P00438855_01","Mathieu",NA,NA,NA,"5008",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:40:09-03","UFMG","BHCB","82612","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Peperomia","riparia","Peperomia riparia","Yunck.",NA,"Lombardi, JA; Stehmann, JR; Mota, RC da; Temponi, LG","5315","2003","08","20","Southern America","Brasil","Minas Gerais","Fazenda Jabuti","164","164",NA,"Prensado em álcool. Inventário Biológico nos Vales dos Rios Jequitinhonha e Mucuri, Estados de Minas Gerais e Bahia.; Erva epífita, carnosa, inflorescências verdes.; Mata decídua, alterada.","BHCB009019","BHCB009019",NA,"Salto da Divisa","-40.057528","-16.038333",NA,"2008","10","-40.057528","-16.038333",NA,NA,NA,NA,NA
"7","2020-12-11 11:40:09-03","UFMG","BHCB","29758","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Peperomia","riparia","Peperomia riparia","Yunck.",NA,"Tameirão Neto, E; França, GS","1803","1993","11","03","Southern America","Brasil","Minas Gerais","UHE Porto Estrela. Rio Santo Antônio.",NA,NA,NA,"Epífita.; Floresta Ciliar.","BHCB008594","BHCB008594",NA,"Joanésia","-42.6786003112793","-19.1721992492676",NA,"2011","06",NA,NA,"21197","auto",NA,NA,NA
"8","2013-05-07 06:03:00-03","MO","MOBOT","100534315","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","riparia","Peperomia riparia","Yunck.","Isotype","Ynés Mexia","Mexia 5008","1930","8","27","South America","Brazil","Minas Gerais","Districto Ilheu. Fazenda da Tabunha, Cachoeira do Munhin.","220.00000000",NA,NA,NA,NA,NA,"G. Mathieu (GENT)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"9","2020-09-12 05:00:02-03","US","US","1617982","PreservedSpecimen","Plantae",NA,"Piperales","Piperaceae","Peperomia","riparia","Peperomia riparia","Yunck.","Isotype","Y. Mexia","5008","1930","8","27","South America - Neotropics","Brazil","Minas Gerais","Ilheu, Cachoera do Munhin.","220","220",NA,NA,"US00104831","US00104831_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"10","2018-10-10 15:39:33-03","CAS","CAS-BOT","593541","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","riparia","Peperomia riparia","Yunck.",NA,"Mexia, Ynes","5008","1930","8",NA,"South America","Brazil","Minas Gerais","Fazenda da Tabunha, Cachoera do Munhin, Districto Ilheu","220",NA,NA,"Epiphytic, pendant. Infrequent.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA
"11","2010-08-16 16:43:47-03","GH","HU-HERB","GH 00222735","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Peperomia","riparia","Peperomia riparia","Yuncker","Isotype","Y. E. J. Mexia","5008","1930","8","27","South America","Brazil","Minas Gerais","Disticto Ilheu, Fazenda da Tabunha, Cachoera do Munhin","220",NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,"5008",NA,NA,NA,NA,NA,NA,NA,NA,"undetermined"
