"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","recordNumber","phylum","coordinatePrecision","geoFlag","class","order","continentOcean","relationshipType","relatedCatalogItem","individualCount","typeStatus","fieldNumber","preparationType"
"1","2021-04-05 14:33:55-03","UNESC","CRI","1416","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea","Decne.","Denise P. Cesconeto","2001","12","20","E. S. Menegoz; S. M. Hefler","1992","11","03","Brasil","Santa Catarina","Tubarão","-49.007222","-28.467222","49º0'26''W","28º28'2''S","Habitat: solo arenoso","CRI006193","CRI006193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:55-03","UNESC","CRI","373","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea","Decne.","Marcos Sobral","2001","12","20","E. Bortolotto; C. A. Lopes, N. Zin e S. M. Hefler","1987","10","27","Brasil","Santa Catarina","Içara","-49.308889","-28.713611","49º18'32''W","28º42'49''S",NA,"CRI006194","CRI006194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:55-03","UNESC","CRI","1430","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea","Decne.","S. M. Hefler",NA,NA,NA,"E. S. Menegoz","1992","10","25","Brasil","Santa Catarina","Jaguaruna","-49.025833","-28.615556","49º1'33''W","28º36'56''S","Habitat: solo arenoso Habito: erva","CRI006196","CRI006196","Praia do Arroio.","13","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-08 11:09:48-03","UNESP-IBB","BOTU","7424","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea","Decne.",NA,NA,NA,NA,"Rossi, J.V.","1979","11","03","Brasil","São Paulo","Peruíbe","-47","-24.283333","47°00'w","24°17's","vegetação de dunas, com plantas herbáceas e alguns arbustos pequenos; flores com pétalas paleáceas, com coloração castanha.","BOTU007424",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 11:09:48-03","UNESP-IBB","BOTU","11389","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea","Decne.",NA,NA,NA,NA,"Guimarães, M.I.T.M.","1983","04","24","Brasil","São Paulo","Bertioga","-46.116667","-23.75","46°7'w","23°45's",NA,"BOTU011389",NA,NA,NA,NA,"88-24483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-08 11:09:48-03","UNESP-IBB","BOTU","7421","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea","Decne.",NA,NA,NA,NA,"Canthack, R.A.D.","1979","11","03","Brasil","São Paulo","Peruíbe","-47","-24.283333","47°00'w","24°17's","vegetação de dunas, com plantas herbáceas e alguns arbustos pequenos; flores com pétalas paleáceas, com coloração castanha.","BOTU007421",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-08 11:09:48-03","UNESP-IBB","BOTU","13221","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea","Decne.",NA,NA,NA,NA,"Amaral Jr., A.","1985","04","27","Brasil","São Paulo","Mongaguá","-46.616667","-24.1","46°37'w","24°06's","herbácea com inflorescência e frutos","BOTU013221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-08 11:09:48-03","UNESP-IBB","BOTU","7420","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea","Decne.",NA,NA,NA,NA,"Marques, L.A.","1979","11","03","Brasil","São Paulo","Peruíbe","-47","-24.283333","47°00'w","24°17's","vegetação de dunas, com plantas herbáceas e alguns arbustos pequenos; flores com pétalas paleáceas, com coloração castanha.","BOTU007420",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-08 11:09:48-03","UNESP-IBB","BOTU","7422","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea","Decne.",NA,NA,NA,NA,"Oliveira, J.A.","1979","11","03","Brasil","São Paulo","Peruíbe","-47","-24.283333","47°00'w","24°17's","vegetação de dunas, com plantas herbáceas e alguns arbustos pequenos; flores com pétalas paleáceas, com coloração castanha.","BOTU007422",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-08 11:09:48-03","UNESP-IBB","BOTU","7423","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea","Decne.",NA,NA,NA,NA,"Ferreira Neto, J.P.","1979","11","03","Brasil","São Paulo","Peruíbe","-47","-24.283333","47°00'w","24°17's","vegetação de dunas, com plantas herbáceas e alguns arbustos pequenos; flores com pétalas paleáceas, com coloração castanha.","BOTU007423",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-02-08 11:09:48-03","UNESP-IBB","BOTU","7425","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea","Decne.",NA,NA,NA,NA,"Castellani, M.R.","1979","11","03","Brasil","São Paulo","Peruíbe","-47","-24.283333","47°00'w","24°17's","vegetação de dunas, com plantas herbáceas e alguns arbustos pequenos; flores com pétalas paleáceas, com coloração castanha.","BOTU007425",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-04 15:25:39-03","PUCPR","HUCP","13480","S","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea","Decne.","Heffler, SM","2003","04","30","Ferreira, O","1985","09","15","Brasil","Paraná","Guaratuba","-48.5746994018555","-25.8827991485596",NA,NA,NA,"HUCP00016890","HUCP00016890",NA,NA,NA,"s.n.","Eudicotiledonea","41937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-04 15:25:39-03","PUCPR","HUCP","8973","S","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea","Decne.","Heffler, SM","2003","04","30","Kalil, M","1996","04","05","Brasil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637",NA,NA,NA,"HUCP00016838","HUCP00016838","Ilha do Mel, Encantadas.",NA,NA,"021","Eudicotiledonea","24916","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-12-04 15:25:39-03","PUCPR","HUCP","6917","S","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea","Decne.","Heffler, SM","2003","04","30","Batista, CM; Munhoz, C","1985","10","04","Brasil","Paraná","Pontal do Paraná","-48.511100769043","-25.6735992431641",NA,NA,NA,"HUCP00016846","HUCP00016846","Praia de Itapema",NA,NA,"039","Eudicotiledonea","19508","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-12-04 15:25:39-03","PUCPR","HUCP","13562","S","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea","Decne.","Jaszczerski, JC; Heffler, SM","2003","04","30","Ramos, G","2000","06","15","Brasil","Rio de Janeiro","Arraial do Cabo","-42.0278015136719","-22.966100692749",NA,NA,NA,NA,NA,"Morro do Ataliba",NA,NA,"041","Eudicotiledonea","25964","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 09:33:19-03","NBC","NL-BOTANY","L.2850092","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea","Decne.",NA,NA,NA,NA,"Hatschbach GG","1968","12","20","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2850092 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2850092","NL-L2850092","Rio do SAi( Mun. Guaratuba) Parana.",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Lamiales","Southern America",NA,NA,NA,NA,NA,NA
"17","2020-11-04 12:18:26-03","ESALQ","ESA","120487","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea",NA,"Mesquita, L.M.S.","2012",NA,NA,"Mesquita, L.M.S.","2012","06","01","Brasil","São Paulo","Bertioga","-46.138599395752","-23.8544006347656",NA,NA,NA,"ESA120487","ESA120487",NA,NA,NA,NA,"Magnoliophyta","37616","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 12:18:26-03","ESALQ","ESA","23751","PreservedSpecimen","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea",NA,"Souza, J.P.",NA,NA,NA,"Souza, V.C.; Souza, J.P. et al.","1995","10","07","Brasil","São Paulo","Itanhaém","-46.7799987792969","-24.1800003051758",NA,NA,"Erva; frutos passados castanhos.","ESA023751","ESA023751","Praia de Suarão. Dunas.",NA,NA,"9205.0","Magnoliophyta","26998","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-12-19 08:15:27-03","FPS","FPS","3332","MachineObservation","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea","Decne.","Hassemer, G.","2018","12","06","Schwirkowski, P.","2018","06","09","Brasil","Santa Catarina","São Bento do Sul","-49.289089","-26.359512","-49.289089","-26.359512","<ll>dwc_commonname:</ll> Tanchagem","FPS03332,FURB59180","FPS03332_v01 FPS03332_v02 FPS03332_v03 FPS03332_v04 FPS03332_v05 FURB59180","Rio Natal. Linha férrea, próximo à estação de trem",NA,NA,"2758",NA,NA,NA,NA,NA,NA,"voucher","FURB 59180",NA,NA,NA,NA
"20","2019-12-19 08:15:27-03","FPS","FPS","3415","MachineObservation","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea","Decne.","Hassemer, G.","2018","12","06","Schwirkowski, P.","2018","06","23","Brasil","Santa Catarina","São Bento do Sul","-49.456143","-26.289439","-49.456143","-26.289439","<ll>dwc_commonname:</ll> Tanchagem","FPS03415,FURB59208","FPS03415_v01 FPS03415_v02 FPS03415_v03 FPS03415_v04 FPS03415_v05 FPS03415_v06 FURB59208","Serra Alta. Vila Pilz. Linha férrea",NA,NA,"2841",NA,NA,NA,NA,NA,NA,"voucher","FURB 59208",NA,NA,NA,NA
"21","2019-11-29 11:33:12-03","IPA","IPA","10292","S","Plantae","Plantaginaceae","Plantago","catharinea","Plantago catharinea","Decne.","Gehrt",NA,NA,NA,"Pickel, B.","1937","10","25","Brasil","São Paulo","Santos","-46.3300018310547","-23.9599990844727",NA,NA,NA,"IPA0010292",NA,"Praia Grande, na areia da restinga, na casa de banho.",NA,NA,"4387","Plantae","26836","auto",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
