"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","order","coordinatePrecision","geoFlag","imagecode","individualCount","typeStatus","fieldNumber","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1028884","PreservedSpecimen","Plantae","Bryophyta","Sphagnaceae","Sphagnum","brasiliense","Sphagnum brasiliense","Warnst.","H. A. Crum","W. R. Buck","26625","1994","10","22","South America","Brazil","Minas Gerais","Santa Bárbara","Serra do Espinhaço, Parque Natural do Caraça, along trail from Santuário do Caraça to Pico da Carapuça","-43.5","-20.03","1300","1460","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179660' target='other'> <mi>dwc_moreinfo</mi></a>","NY01028884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1028885","PreservedSpecimen","Plantae","Bryophyta","Sphagnaceae","Sphagnum","brasiliense","Sphagnum brasiliense","Warnst.","H. A. Crum","W. R. Buck","26633","1994","10","22","South America","Brazil","Minas Gerais","Santa Bárbara","Serra do Espinhaço, Parque Natural do Caraça, along trail from Santuário do Caraça to Pico da Carapuça","-43.5","-20.03","1300","1460","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179665' target='other'> <mi>dwc_moreinfo</mi></a>","NY01028885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-12 15:31:34-03","UFABC","HUFABC","001809","PreservedSpecimen","Plantae",NA,"Sphagnaceae","Sphagnum","brasiliense","Sphagnum brasiliense","Warnst.","Peralta, DF","Yano, O; Peralta, DF; Martins, SE","28921","2006","09","23",NA,"Brasil","São Paulo","Piquete","trilha para o Pico dos Marins","-45.1034","-22.3649","1900","1900",NA,"No húmus na pedra úmida da trilha","HUFABC001809","2017","08","-45.1034","-22.3649",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-12 15:31:34-03","UFABC","HUFABC","001807","PreservedSpecimen","Plantae",NA,"Sphagnaceae","Sphagnum","brasiliense","Sphagnum brasiliense","Warnst.","Peralta, DF","Yano, O; Peralta, DF; Martins, SE","28900","2006","09","23",NA,"Brasil","São Paulo","Piquete","trilha para o Pico dos Marins","-45.1034","-22.3649","1830","1830",NA,"Sobre pedra úmida com húmus","HUFABC001807","2017","08","-45.1034","-22.3649",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-10-08 15:17:03-03","MICH","MICH","533707","PreservedSpecimen","Plantae","Bryophyta","Sphagnaceae","Sphagnum","brasiliense","Sphagnum brasiliense","Warnst.","H. Crum","W.R. Buck",NA,"1994",NA,NA,NA,"Brazil","Minas Gerais","Santa Barbara",NA,"-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphagnopsida","Sphagnales","33136","auto",NA,NA,NA,NA,NA
"6","2020-10-08 15:17:03-03","MICH","MICH","533708","PreservedSpecimen","Plantae","Bryophyta","Sphagnaceae","Sphagnum","brasiliense","Sphagnum brasiliense","Warnst.","H. Crum","W.R. Buck",NA,"1994",NA,NA,NA,"Brazil","Minas Gerais","Santa Barbara",NA,"-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphagnopsida","Sphagnales","33136","auto",NA,NA,NA,NA,NA
"7","2020-12-09 17:05:18-03","IAP","PACA-BRYOPHYTES","118097","PreservedSpecimen","Plantae",NA,"Sphagnaceae","Sphagnum","brasiliense","Sphagnum brasiliense","Warnst.","Peralta, D. F.","Gonzatti, F.","3023","2016","11","17",NA,"Brasil","SC","Garuva","alto quiriri","-48.976667","-26.024722","1370","1370",NA,"hucs 45834 Habitat: mata próxima à mangueira","PACA118097","2017","05","48º58'36w","26º01'29s",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-02-15 11:51:00-02","IPA","IPA","8753","S","Plantae","Plantae","Sphagnaceae","Sphagnum","brasiliense","Sphagnum brasiliense","Warnst.",NA,"Pickel, B.","s.n.","1937","10","25","Southern America","Brasil","São Paulo","Santos","Praia Grande, no solo úmido da restinga.","-46.3300018310547","-23.9599990844727",NA,NA,NA,NA,"IPA0008753",NA,NA,NA,NA,NA,NA,"26836","auto",NA,NA,NA,NA,NA
"9","2019-11-21 14:51:11-03","UFJF","CESJ","71017","PreservedSpecimen","Plantae","Musgo","Sphagnaceae","Sphagnum","brasiliense","Sphagnum brasiliense","Warnst.","D.F. Peralta","M.I. Silva; D.F. Peralta","1","2016","07","18","América do Sul","Brasil","Minas Gerais","Catas Altas","RPPN Parque do Caraça, Trilha para a Gruta de Lourdes, Mata de Encosta","-43.4075012207031","-20.0746994018555",NA,NA,NA,"Terra, duplicata SP477269","CESJ071017","2017","02",NA,NA,NA,NA,"11966","auto",NA,NA,NA,NA,NA
"10","2019-11-21 14:51:11-03","UFJF","CESJ","71104","PreservedSpecimen","Plantae","Musgo","Sphagnaceae","Sphagnum","brasiliense","Sphagnum brasiliense","Warnst.","M.I. Silva","M.I. Silva; D.F. Peralta","28","2016","07","18","América do Sul","Brasil","Minas Gerais","Catas Altas","RPPN Parque do Caraça, Trilha para a Gruta de Lourdes, Mata de Encosta","-43.4075012207031","-20.0746994018555",NA,NA,NA,"Terra, duplicata SP477296","CESJ071104","2017","03",NA,NA,NA,NA,"11966","auto",NA,NA,NA,NA,NA
"11","2019-11-06 09:57:46-03","UFOP","OUPR","7659","PreservedSpecimen","Plantae",NA,"Sphagnaceae","Sphagnum","brasiliense","Sphagnum brasiliense","Warnst.","Peralta, D.F.","Gomes, R.N.T.","02","1998","12","17",NA,"Brasil","Minas Gerais","Ouro Preto","Camarinhas","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Erva. Lugar úmido. Mata.",NA,"2016","08",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA
"12","2019-11-06 09:57:46-03","UFOP","OUPR","12387","PreservedSpecimen","Plantae",NA,"Sphagnaceae","Sphagnum","brasiliense","Sphagnum brasiliense","Warnst.","Peralta, D.F.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Serra do Veloso","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Adherente às rochas.",NA,"2016","08",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA
"13","2019-11-08 08:56:42-03","FURB","FURB","60286","PreservedSpecimen","Plantae",NA,"Sphagnaceae","Sphagnum","brasiliense","Sphagnum brasiliense","Warnst.","Peralta, D. .F.","Gonzatti, F.","3023","2016","11","17",NA,"Brasil","Santa Catarina","Garuva",NA,"-48.9766667","-26.0244445","1370","1370",NA,NA,"FURB60286","2017","05","-48.9766667","-26.0244445",NA,NA,NA,NA,"FURB60286",NA,NA,NA,NA
