"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","infraspecificEpithet","fieldNumber","typeStatus","individualCount","sex"
"1","2021-04-05 14:33:50-03","UNESC","CRI","1603","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","oxychela","Octomeria oxychela","Barb.Rodr.","Jorge Waechter","Vanilde Citadini-Zanette; J. L. Waechter e R. dos Santos","1993","08","06","Brasil","Santa Catarina","Orleans","-49.288056","-28.358611","49º17'17''W","28º21'31''S","CRI005820","CRI005820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1032244","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","oxychela","Octomeria oxychela","Barb.Rodr.","G. F. J. Pabst","A. C. Brade",NA,NA,NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,"NY01032244","NY01032244_01","Magnoliophyta","Asparagales","s.n.","South America","l.a.h.i. vereim pr. Peroupava, Iguape.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192324' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1032245","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","oxychela","Octomeria oxychela","Barb.Rodr.","F. C. Hoehne","F. C. Hoehne","1933","08","02","Brazil","São Paulo",NA,NA,NA,NA,NA,"NY01032245","NY01032245_01","Magnoliophyta","Asparagales","30874","South America","Pirapora","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192326' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1032246","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","pinicola","Octomeria pinicola","Barb.Rodr.","F. C. Hoehne","F. C. Hoehne","1925","09","07","Brazil","São Paulo",NA,NA,NA,NA,NA,"NY01032246","NY01032246_01","Magnoliophyta","Asparagales","17191","South America","Jaraguá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192329' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","28416","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","pinicola","Octomeria pinicola","Barb. Rodr.","Marcusso, G.M.","Marcusso, G.M.","2011","07","28","Brasil","São Paulo","São Manuel",NA,NA,"9999","9999","BOTU028416",NA,NA,NA,"15A",NA,"Sítio Vargem Grande, Toledo",NA,NA,"2011","12","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","28415","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","pinicola","Octomeria pinicola","Barb. Rodr.","Marcusso, G.M.","Marcusso, G.M.","2011","07","28","Brasil","São Paulo","São Manuel",NA,NA,"9999","9999","BOTU028415",NA,NA,NA,"15B",NA,"Sítio Vargem Grande, Toledo",NA,NA,"2011","12","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","27378","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","warmingii","Octomeria warmingii","Rchb.f.","Barros, F.","Arbex, Y.R.","2008","07","21","Brasil","São Paulo","Botucatu",NA,NA,"9999","9999","BOTU027378",NA,NA,NA,"5",NA,"Fazenda Edgárdia, Mata do Bexiguento, Cuesta de Botucatu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-24 17:10:56-03","UTFPR","DVPR","5883","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","warmingii","Octomeria warmingii","Rchb.f.","Silva, DR","Silva, DR; Dama, VJ; Moura, AP","2018","07","11","Brasil","Paraná","Capanema","-53.3924","-25.3044","-53.3924","-25.3044","DVPR005883",NA,"Magnoliophyta",NA,"372",NA,"Futuro reservatório da UHE Baixo Iguaçu, mata a esquerda do rio Iguaçu, ca. 400-500m da balsa.",NA,"Erva epífita. Frutos secos. Ponto 017.; Floresta Ripária ocorrendo sobre solo argiloso. Associação entre Latossolo e Nitossolo Vermelhos.","2018","08","11","238","238",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:52:49-03","EAO","IAN","29056","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","oxychella","Octomeria oxychella","Rodr.",NA,"Occhioni, P","1939","08",NA,"Brasil","Pará",NA,NA,NA,NA,NA,"IAN029056","IAN029056 IAN029056_1 IAN029056_e","Monocotiledônea",NA,"6088","Southern America",NA,NA,"Flor amarelo-pálido.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:26:38-03","PUCPR","HUCP","20861","S","Plantae","Orchidaceae","Octomeria","warmingii","Octomeria warmingii","Rchb. f.","Kersten, RA","Kersten, RA","2009","10","12","Brasil","Paraná","Pontal do Paraná","-48.511100769043","-25.6735992431641",NA,NA,"HUCP00003095","HUCP00003095","Monocotiledonea",NA,"s.n.",NA,"Balneário Santa Terezinha",NA,NA,NA,NA,NA,NA,NA,"19508","auto",NA,NA,NA,NA,NA,NA
