"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:16-03","UNESC","CRI","6770","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","forficata","Bauhinia forficata","Link","S. F. Smith","Reitz; Klein","14678","1963","04","12","Brasil","Santa Catarina","Lacerdópolis","-51.556111","-27.260556","51º33'22''W","27º15'38''S","500","500","CRI002631","CRI002631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:31-03","UNESC","CRI","9004","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","forficata","Bauhinia forficata","Link","Vanilde Citadini-Zanette","Vanilde Citadini-Zanette",NA,"2011","01","30","Brasil","Santa Catarina","Içara","-49.301667","-28.849722","49º18'6''W","28º50'59''S",NA,NA,"CRI012893","CRI012893","2011","01","30","Lagoa dos Esteves.","Flor amarela. Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:29-03","UNESC","CRI","13342","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","forficata","Bauhinia forficata","Link","Vanilde Citadini Zanette","Maria Eduarda Ferreira",NA,"2018","03","17","Brasil","Santa Catarina","Criciúma","-49.373333","-28.6725","49º22'24''W","28º40'21''S",NA,NA,"CRI011949","CRI011949","2018","03","17","Horto medicinal- UNESC","Habitat: Terrestre Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:16-03","UNESC","CRI","2716","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","forficata","Bauhinia forficata","Link","A. Burkart","Reitz; Klein","16867","1964","01","03","Brasil",NA,"Brasil","-53.516667","-26.724444","53º31'0''W","26º43'28''S","700","700","CRI002724","CRI002724",NA,NA,NA,"Canela Gaúcha.","Habitat: capoeira Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:16-03","UNESC","CRI","14042","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","forficata","Bauhinia forficata","Link","Catarina D. Rona","Catarina D. Rona",NA,NA,NA,NA,"Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S",NA,NA,"CRI012692",NA,NA,NA,NA,NA,"Flor branca Habitat: Terrestre Habito: Arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:31-03","UNESC","CRI","4660","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","forficata","Bauhinia forficata","Link","Narzi. Z. Roberge","Narzi Z. Roberge",NA,"1993","10","30","Brasil","Santa Catarina","Joinville","-48.845833","-26.305","48º50'45''W","26º18'18''S","32","32","CRI002722","CRI002722",NA,NA,NA,"Pxo Chevrolet.","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:31-03","UNESC","CRI","15307","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","forficata","Bauhinia forficata","Link","João Paulo Gava Just","João Paulo Gava Just",NA,"2020","01","17","Brasil","Santa Catarina","Nova Veneza","-49.593611","-28.668056","49º35'37''W","28º40'5''S","79","79","CRI014724",NA,"2020","01","17","Rio Cedro Alto","Flor branca. Habito: Arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:16-03","UNESC","CRI","2140","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","forficata","Bauhinia forficata","Link","S. F. Smith","R. Reitz",NA,"1966","12","15","Brasil","Santa Catarina","Porto Belo","-48.553333","-27.158333","48º33'12''W","27º9'30''S","5","5","CRI002632","CRI002632",NA,NA,NA,NA,"Habito: arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:31-03","UNESC","CRI","486","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","forficata","Bauhinia forficata","Link","F. E. Marcomin","Fátima E. Marcomin",NA,"1990","02","05","Brasil","Santa Catarina","Tubarão","-49.007222","-28.467222","49º0'26''W","28º28'2''S","11","11","CRI002726","CRI002726",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:31-03","UNESC","CRI","8979","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","forficata","Bauhinia forficata","Link","M. Verdi","M. Verdi; R. P. Hasckel & G. Klemz","1672","2009","02","27","Brasil","Santa Catarina","Tunápolis","-53.639167","-26.968889","53º38'21''W","26º58'8''S","401","401","CRI002721","CRI002721","2009","02","27","Raigão.","Floresta Estacional Decidual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","583664","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","forficata","Bauhinia forficata","Link","J. W. Grimes","G. G. Hatschbach","35520","1974","11","21","Brazil","Paraná","Guaraqueçaba","-48.426212","-25.176184",NA,NA,NA,NA,"NY00583664","NY00583664_01",NA,NA,NA,"Serra Negra","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=352796' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","777849","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","forficata","Bauhinia forficata forficata","Link",NA,"W. W. Thomas","13141","2002","08","07","Brazil","Bahia","Jussari","-39.52908","-15.155617",NA,NA,"300","450","NY00777849","NY00777849_01",NA,NA,NA,"Reserva Serra do Teimoso. 7.5 km N of Jussari on road to Palmira, then 2 km W to Fazenda Teimoso","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=760608' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet","forficata",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","02694811","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","forficata","Bauhinia forficata","Link","R. S. Souza","R. S. Souza","482","2014","05","06","Brazil","Bahia","Piraí do Norte","-39.383161","-13.811589",NA,NA,"438",NA,"NY02694811","NY02694811_01",NA,NA,NA,"BA-544. Às margens da rodovia, sentido Piraí do Norte-BA a Gandú-BA.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952956' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01874151","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","forficata","Bauhinia forficata forficata","Link","A. M. S. da F. Vaz","B. S. Amorim","1780","2013","01","31","Brazil","Pernambuco",NA,NA,NA,NA,NA,NA,NA,"NY01874151","NY01874151_01",NA,NA,NA,"Jaqueira, RPPN Frei Caneca, Mata próxima a Pedra do Cruzeiro, borda da mata.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2249892' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet","forficata",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","583642","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","forficata","Bauhinia forficata","Link","R. P. Wunderlin","C. E. O. Kuntze",NA,"1992","12",NA,"Brazil","Rio de Janeiro","Itatiaia","-44.5631","-22.4961",NA,NA,"1200","1200","NY00583642","NY00583642_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=352817' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","583665","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","forficata","Bauhinia forficata","Link","J. W. Grimes","G. G. Hatschbach","35627","1974","12","13","Brazil","Paraná","Morretes","-48.8342","-25.4769",NA,NA,NA,NA,"NY00583665","NY00583665_01",NA,NA,NA,"Porto Barreiro","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=352797' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","583677","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","forficata","Bauhinia forficata","Link",NA,"R. Reitz","1197","1953","11","05","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"2","2","NY00583677","NY00583677_01",NA,NA,NA,"Rio Tavares","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=352849' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1099558","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","forficata","Bauhinia forficata","Link","J. W. Grimes","J. M. Pires","9943","1965","06","28","Brazil","Rondônia",NA,NA,NA,NA,NA,NA,NA,"NY01099558","NY01099558_01",NA,NA,NA,"Rio Jamari. Cachoeira de Sta. Cruz.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1370588' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","583672","PreservedSpecimen","Plantae","Fabaceae","Bauhinia","forficata","Bauhinia forficata","Link","R. C. Barneby","J. R. Pirani","3376","1994","12","04","Brazil","Espírito Santo","Nova Venécia","-40.4006","-18.7108",NA,NA,NA,NA,"NY00583672","NY00583672_01",NA,NA,NA,"Rodovia ES-137, a 1 km N do Córrego Boa Esperança. Mata pluvial tropical no sopé da Pedra do Elefante","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=352811' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
