"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","typeStatus","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","804965","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","argenteus","Lessingianthus argenteus","(Less.) H.Rob.","P. K. H. Dusén","7751","1909","02","09","South America","Brazil","Paraná","Capao Grande.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797403' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804965","NY00804965_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","804964","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","argenteus","Lessingianthus argenteus","(Less.) H.Rob.","J. F. Gomes","1691",NA,NA,NA,"South America","Brazil","São Paulo","Bury","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797354' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804964","NY00804964_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","804967","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","argenteus","Lessingianthus argenteus","(Less.) H.Rob.","L. B. Smith","14863","1965","01","19","South America","Brazil","Paraná","By the road to Jaguariaiva","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804967","NY00804967_01","Sengés","-49.47","-24.13","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","804966","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","argenteus","Lessingianthus argenteus","(Less.) H.Rob.","A. Löfgren","16103",NA,NA,NA,"South America","Brazil","São Paulo","Itapetininga.","sheet","Ex. Herv. Museu Paulista s/n <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804966","NY00804966_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","804968","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lessingianthus","argenteus","Lessingianthus argenteus","(Less.) H.Rob.","J. G. Stutts","1202","1982","02","16","South America","Brazil","Paraná","Estrada de Arapoti","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797432' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804968","NY00804968_01","Jaguariaíva","-49.7056","-24.2511","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:35:14-03","EAO","IAN","21786","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Vernonia","argentea","Vernonia argentea","Less.","Sellow, F","5461",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN021786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-02 16:28:39-03","CPAN-UFMS","COR","4017","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","argenteus","Lessingianthus argenteus","(Less.) H.Rob.","Bortolotto, I.M.","167","1996","01","19",NA,"Brasil","Mato Grosso do Sul","Morro do Urucum.",NA,"Habito: Erva",NA,NA,"Corumbá","-57.608889","-19.194444","900","900","B. Loeuille","57º36'32''W","19º11'40''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-26 18:07:14-03","CPAN-UFMS","COR","13659","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","argenteus","Lessingianthus argenteus","(Less.) H.Rob.","Ishii, I.H.; Alves, F.M.; Urquiza, M.V.S.; Porfírio, G.E.O.","498","2004","06","23",NA,"Brasil","Mato Grosso do Sul","Área 2 Mina da Escarpa lado oeste. Campo de altitude ; ferrícola; morro.",NA,"folha pilosa aveludada de cor prateada; Com Flor: roxa",NA,NA,"Corumbá","-57.6533012390137","-19.0091991424561","809","809","B. Loeuille",NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-26 18:07:14-03","CPAN-UFMS","COR","12281","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","argenteus","Lessingianthus argenteus","(Less.) H.Rob.","Ishii, I.H.; G.A.Damasceno Jr; alunos do 4° ano","668","2004","12","07",NA,"Brasil","Mato Grosso do Sul","Áreas de trabalho 2 e 3 (Mina 5) MCR Rio Tinto. Campo limpo; ferrícola; morro.",NA,"Com Flor: roxas",NA,NA,"Corumbá","-57.6533012390137","-19.0091991424561",NA,NA,"B. Loeuille",NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-26 18:07:14-03","CPAN-UFMS","COR","12142","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lessingianthus","argenteus","Lessingianthus argenteus","(Less.) H.Rob.","Ishii, I.H.; G.A.Damasceno Jr; alunos do 4° ano","691","2004","12","07",NA,"Brasil","Mato Grosso do Sul","Áreas de trabalho 2 e 3 (Mina 5) MCR Rio Tinto. Campo limpo; ferrícola; morro.",NA,"Com Flor: inflorescencia lilás a roxa",NA,NA,"Corumbá","-57.6533012390137","-19.0091991424561",NA,NA,"B. Loeuille",NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA,NA,NA
