"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","locality"
"1","2021-02-25 10:11:24-03","CVRD","CVRD","16239","PreservedSpecimen","Plantae","Magnoliophyta","Liliopsida","Asparagales","Orchidaceae","Acianthera","pernambucensis","Acianthera pernambucensis","(Rolfe) F.Barros","V.C. Souza","2011","04","17","Lopes, J.C.","208","2011","04","17","América do Sul","BRASIL","ES","Linhares","-40.0722007751465","-19.3910999298096","40,06125 W","19,15961 S","48094","Epífita. Pétalas vináceas.","CVRD016239","auto",NA
"2","2017-09-11 17:12:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Orchidaceae","Pleurothallis","pernambucensis","Pleurothallis pernambucensis","Rolfe",NA,NA,NA,NA,"Rolfe, RA","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in prov. Pernambuco secund. Rolfe, loc. cit."
