"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1017936","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilsson","M. das G. L. Wanderley","S. A. Nicolau","1664","1998","01","23","South America","Brazil","São Paulo","Pindamonhangaba","Fazenda São Sebastião do Ribeirão Grande, São José dos Alpes.","-45.4597","-22.9203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1233434' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017936","NY01017936_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","503360","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilsson","M. das G. L. Wanderley","T. M. Koyama","13683","1970","02","05","South America","Brazil","Rio de Janeiro","Itatiaia","Along Rio Ribeirao at base of Pico das Agulhas Negras","-44.665982","-22.385479","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452961' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503360","NY00503360_01","2400","2400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","503196","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilsson","M. das G. L. Wanderley","T. M. Koyama","13683","1970","02","05","South America","Brazil","Rio de Janeiro","Itatiaia","Along Rio Ribeirao at base of Pico das Agulhas Negras","-44.665982","-22.385479","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=452960' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503196","NY00503196_01","2400","2400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:54:35-03","EAO","IAN","35024","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Xyridaceae","Xyris","fusca","Xyris fusca","A.Nilsson",NA,"Glaziou, AFM","6747",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN035024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-02-02 14:39:16-02","BGBM","B","B 10 0243260","S","Plantae",NA,NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilsson",NA,"A. F. M. Glaziou","6747",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100243260 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243260","B100243260",NA,NA,"holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-07-26 11:41:29-03","IPA","IPA","14602","S","Plantae","Plantae",NA,"Xyridaceae","Xyris","fusca","Xyris fusca","Nilsson","Smith, L.B.","Pontual, I.","438","1967","02","02","Southern America","Brasil","Rio de Janeiro","Rio de Janeiro","Parque Nacional do Itatiaia, Planalto. Agulhas Negras. Vivendo próximo ao abrigo Rebouças","-43.2075004577637","-22.9027996063232",NA,"Planta ca. 15 cm de altura; flores amarelas.","IPA0014602",NA,NA,NA,NA,"1972","02","12","57442","auto",NA,NA,NA,NA,NA
"7","2019-11-21 14:49:03-03","UFJF","CESJ","72079","PreservedSpecimen","Plantae","Angiosperma",NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilson","M.G.L. Wanderley","L.N. Gonçalves; P. Duffles","459","2017","10","19","América do Sul","Brasil","Minas Gerais","Marmelópolis","Pico dos Marins, 1º maciço","-45.135556","-22.500833",NA,"Inflorescência única, corola amarela; 1º maciço do Pico dos Marins;","CESJ072079",NA,"1900","1900",NA,"2017","10","23",NA,NA,"-45.135556","-22.500833",NA,NA,NA
"8","2019-11-21 14:49:03-03","UFJF","CESJ","70011","PreservedSpecimen","Plantae","Angiosperma",NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilson","L.V.V. Cruz","F.R.G. Salimena; P.H. Nobre","3834","2015","01","08","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Subida para a janela do céu.","-43.793098449707","-21.8425006866455",NA,"Erva, flores alvas. Campo rupestre encharcável.","CESJ070011",NA,NA,NA,NA,"2017","09","05","30417","auto",NA,NA,NA,NA,NA
"9","2019-11-21 14:49:03-03","UFJF","CESJ","47021","PreservedSpecimen","Plantae","Angiosperma",NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilson","N.F.O. Mota","P.L. Viana; N.F.O. Mota","1952","2006","02","26","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Burro de Ouro.","-43.8278007507324","-22.0891990661621",NA,"Em campo de altitude encharcado. Flores amarelas.","CESJ047021",NA,NA,NA,NA,"2011","06",NA,"20815","auto",NA,NA,NA,NA,NA
"10","2019-11-21 14:49:03-03","UFJF","CESJ","46698","PreservedSpecimen","Plantae","Angiosperma",NA,"Xyridaceae","Xyris","fusca","Xyris fusca","L.A.Nilson","M.G.L. Wanderley","T.M. Machado; T.U.P. Konno; C.N. Matozinhos; V. Belchior","9","2006","01","21","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Depois do ninho da égua (burrinho)&nf;S21°53', W43°53'","-43.8278007507324","-22.0891990661621",NA,"Erva de 20cm, heliófila, flores amarelas.","CESJ046698",NA,"1400","1400",NA,"2006","06","01","20815","auto",NA,NA,NA,NA,NA
