"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","class","verbatimLongitude","verbatimLatitude","monthIdentified","typeStatus","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","infraspecificEpithet","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1034233","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Heisteria","brasiliensis","Heisteria brasiliensis","Engl.","J. Richard Abbott","S. A. Mori","13850","1981","04","30","South America","Brazil","Bahia","Una","Maruim, border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Southern Bahian Wet Forest.","-39.1202492","-15.1148921","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236193' target='other'> <mi>dwc_moreinfo</mi></a>","NY01034233","NY01034233_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1034234","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Heisteria","brasiliensis","Heisteria brasiliensis","Engl.","A. M. Amorim","S. A. Mori","13828","1981","04","29","South America","Brazil","Bahia","Una","Maruim, border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Southern Bahian Wet Forest. Point 37-D.","-39.1202492","-15.1148921","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236194' target='other'> <mi>dwc_moreinfo</mi></a>","NY01034234","NY01034234_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","396011","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Heisteria","perianthomega","Heisteria perianthomega","(Vell.) Sleumer","H. O. Sleumer","D. S. D. de Araújo","139","1972","12","08","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara. Restinga da Jacarepaguá. Pedra de Itauna, lado sudoeste","-43.2075","-22.9031",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=410727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396011","NY00396011_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","396010","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Heisteria","perianthomega","Heisteria perianthomega","(Vell.) Sleumer","S. F. Smith","G. G. Hatschbach","58058","1992","10","14","South America","Brazil","Espírito Santo","Sao Mateus","Ligaçao Rod. BR-101 a Ponta do Ipiranga","-39.8589","-18.7161",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=410695' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396010","NY00396010_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","395998","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Heisteria","perianthomega","Heisteria perianthomega","(Vell.) Sleumer","J. A. Kallunki","A. M. Amorim","1474","1993","11","27","South America","Brazil","Sergipe","Santa Luzia do Itanhi","Cerca de 2,5 km do Distrito de Crasto, na estrada para Sta. Luzia do Itanhi. Mata Atlántica","-37.4481","-11.3508",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=410730' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395998","NY00395998_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","822611","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Heisteria","perianthomega","Heisteria perianthomega","(Vell.) Sleumer","P. Fiaschi","P. Fiaschi","2671","2004","11","27","South America","Brazil","Bahia","Ilhéus","Rodovia Ilhéus/Itacaré (BA 001), na altura do km 20, estrada à esquerda. Acesso ao Retiro. Ramal vicinal ca. 5.5 km à direita, para a Lagoa Encantada.","-39.11722222","-14.5861111","170","170","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=914762' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822611","NY00822611_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","396009","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Heisteria","perianthomega","Heisteria perianthomega","(Vell.) Sleumer","J. A. Kallunki","J. Almeida","145","1968","10","15","South America","Brazil","Bahia","Itacaré","Beira-mar","-38.9967","-14.2778",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=410726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396009","NY00396009_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","396018","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Heisteria","perianthomega","Heisteria perianthomega","(Vell.) Sleumer",NA,"A. P. Duarte","456","1953","12","16","South America","Brazil","Espírito Santo","Nova Venécia","Norte do Estado, Serra de Cima, Córrego da Boa Esperança","-40.4006","-18.7108",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=410729' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396018","NY00396018_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","822612","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Heisteria","perianthomega","Heisteria perianthomega","(Vell.) Sleumer","P. Fiaschi","P. Fiaschi","2501","2004","09","04","South America","Brazil","Bahia","Valença","Estrada Valença-Guaibim, ca. 2 km, entrada à esquerda, 8 km, ramo vicinal à esquerda. RPPN Água Branca.","-39.0902778","-13.3288889","220","220","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=914766' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822612","NY00822612_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","396004","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Olacaceae","Heisteria","perianthomega","Heisteria perianthomega","(Vell.) Sleumer","H. O. Sleumer","J. S. Blanchet","618","1831",NA,NA,"South America","Brazil","Bahia",NA,"Tropica circa Bahia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=410718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396004","NY00396004_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
