"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00983360","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","densiflora","Clitoria densiflora","(Benth.) Benth.","P. R. Fantz","P. Clausen","s.n.","1835","South America","Brazil","Minas Gerais","Minas Geraes, Bresil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114364' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983360","NY00983360_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00983459","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","densiflora","Clitoria densiflora","(Benth.) Benth.","P. R. Fantz","H. S. Irwin","26317","1970","South America","Brazil","Minas Gerais","Serra da Tiririca, ca. 35 km N.W. of Paracatú","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114354' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983459","NY00983459_01","02","08","Paracatú","-47.1541","-17.05385","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00983410","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","densiflora","Clitoria densiflora","(Benth.) Benth.","R. C. Barneby","W. W. Thomas","5686","1987","South America","Bolivia","Santa Cruz","Serrania de Huanchaca, Parque Nacional Prof. Noel Kempff Mercado, Rocky hills east of airstrip","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114379' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983410",NA,"12","04","José Miguel de Velasco","-60.72","-13.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-28 15:50:00-02","NY","NYBG","00983460","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","densiflora","Clitoria densiflora",NA,NA,"A. Krapovickas","33358","1978","South America","Brazil","Minas Gerais","Mun. Alto Paranaiba. 14 km NW de Araxá, camino a Uberlandia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114372' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983460","NY00983460_01","01","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-10-28 15:51:00-02","NY","NYBG","00983385","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","densiflora","Clitoria densiflora",NA,"P. R. Fantz","E. P. Heringer","11340","1967","South America","Brazil","Goiás","Cristalina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983385","NY00983385_01","02","02","Cristalina","-47.6133","-16.7686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00983484","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","densiflora","Clitoria densiflora","(Benth.) Benth.","P. R. Fantz","H. S. Irwin","25732","1970","South America","Brazil","Minas Gerais","Ca. 4 km N. of Patrocínio","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983484","NY00983484_01","01","31","Patrocínio","-46.99465","-18.9407","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00983435","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","densiflora","Clitoria densiflora","(Benth.) Benth.","R. C. Barneby","W. W. Thomas","5686","1987","South America","Bolivia","Santa Cruz","Serrania de Huanchaca, Parque Nacional Prof. Noel Kempff Mercado, Rocky hills east of airstrip","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114386' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983435",NA,"12","04","José Miguel de Velasco","-60.72","-13.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-10-21 09:27:00-02","NY","NYBG","6488","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Clitoria","densiflora","Clitoria densiflora mucronata","Hassl.",NA,"T. Rojas","9831",NA,"South America","Paraguay",NA,"In campis siccis Punta Pora.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176644' target='other'> <mi>dwc_moreinfo</mi></a>","NY00006488","NY00006488_01",NA,NA,NA,NA,NA,NA,NA,"mucronata","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","26448","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Neurocarpum","densiflorum","Neurocarpum densiflorum","Benth.","P. R. Fantz","J. B. E. Pohl","752387",NA,"South America","Brazil",NA,"Ad Rio S. Marcos Paracuta + ad Oliveira","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=319267' target='other'> <mi>dwc_moreinfo</mi></a>","NY00026448","NY00026448_01",NA,NA,NA,NA,NA,NA,NA,NA,"isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-24 17:10:40-03","UTFPR","DVPR","5494","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Clitoria","densiflora","Clitoria densiflora","(Benth.) Benth.","G. Felitto, E Barbosa","Silva, JM; et al.","s.n.","2012",NA,"Brasil","Paraná","Parque Estadual de Vila Velha.",NA,"Xilopodífera, flor creme . Campo recém queimado.","DVPR005494",NA,"03","19","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"2012","04","46557","auto",NA,NA,NA,NA,NA,NA
