"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","recordNumber","stateProvince","county","phylum","identifiedBy","yearIdentified","monthIdentified","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","preparationType","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount","verbatimLongitude","verbatimLatitude","dayIdentified"
"1","2020-02-08 08:49:43-03","NBC","NL-BOTANY","L.1299535","PreservedSpecimen","Plantae","Magnoliopsidae","Asterales","Compositae","Geissopappus","gentianoides","Geissopappus gentianoides","(DC.) Baker","Unreadable","1909","12","01","Southern America","Brazil","Brásil, Sao paolo, champa enta S Parlo et Cabatp.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1299535 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1299535","NL-L1299535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:49:43-03","NBC","NL-BOTANY","L.1299536","PreservedSpecimen","Plantae","Magnoliopsidae","Asterales","Compositae","Geissopappus","gentianoides","Geissopappus gentianoides","(DC.) Baker","Riedel JGF",NA,NA,NA,"Southern America","Brazil","Brasilia.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1299536 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1299536","NL-L1299536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:49:43-03","NBC","NL-BOTANY","L.1299537","PreservedSpecimen","Plantae","Magnoliopsidae","Asterales","Compositae","Geissopappus","gentianoides","Geissopappus gentianoides","(DC.) Baker","Unreadable",NA,NA,NA,"Southern America","Brazil","Brasilia.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1299537 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1299537","NL-L1299537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:15:45-03","UFV","VIC","052860","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","gentianoides","Calea gentianoides","(Baker) H.Rob.","Roth, L.","1961","01","26",NA,"Brasil",NA,"Herbácea do cerrado, flores amarelas.","VIC052860","VIC052860","1813","São paulo","Pinheiros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:15:45-03","UFV","VIC","052861","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","gentianoides","Calea gentianoides","(Baker) H.Rob.","Hoehne, W.","1942","01","14",NA,"Brasil","Campo seco.",NA,"VIC052861","VIC052861","s.n.","São paulo","São Migue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-10-27 15:53:14-03","UFJF","CESJ","1813","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Calea","gentianoides","Calea gentianoides","DC.","L. Roth","1961","01","26","América do Sul","Brasil",NA,"Herbácea do cerrado, flores amarelas.","CESJ001813","CESJ001813","CESJ1813","São Paulo","Pinheiros","Angiosperma","L.C.Pereira","2012","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:23:34-03","UNICAMP","UEC","196529","S","Plantae",NA,NA,"Asteraceae","Calea","gentianoides","Calea gentianoides","A.DC.","Hoehne, W","1942","01","14",NA,"Brazil","Pr. São Miguel","Campo seco","UEC139036","UEC139036","s.n.","São Paulo","São Paulo","Magnoliopsida","Magenta, M","1998","06","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:15:57-03","MBM","MBM","42709","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Geissopappus","gentianoides","Geissopappus gentianoides","Baker","Hatschbach, G.; Smith, L.B.; Klein, R.M.; Smith, L.B.; Klein, R.M.","1965","01","17","Southern America","Brazil","Estrada Jaguariaíva - Arapoti",NA,"MBM042709","MBM042709","12252","Paraná","Arapoti",NA,"Barroso, G.M.",NA,NA,"-49.8266983032227","-24.1578006744385","41852","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:15:57-03","MBM","MBM","42708","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Geissopappus","gentianoides","Geissopappus gentianoides","Baker","Hatschbach, G.; Smith, L.B.; Klein, R.M.; Smith, L.B.; Klein, R.M.","1965","01","17","Southern America","Brazil","Estrada Jaguariaíva - Arapoti",NA,"MBM042708","MBM042708","12218","Paraná","Jaguariaíva",NA,"Barroso, G.M.",NA,NA,"-49.7057991027832","-24.2511005401611","44368","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-09-09 16:02:09-03","MNHN","RECOLNAT_MNHN_P","P02419070","PreservedSpecimen",NA,NA,NA,"Asteraceae","Calea","gentianoides","Calea gentianoides","DC.","Glaziou, A.","1886","3","1",NA,"Brasil","(S. Paulo) Campo d'Ypiranga","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02419070' target='other'> <mi>dwc_moreinfo</mi></a>","P02419070","P02419070_01",NA,"São Paulo",NA,NA,"Bueno",NA,NA,NA,NA,NA,NA,"16149","hb",NA,NA,NA,NA,NA,NA,NA
