"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","coordinatePrecision","individualCount","geoFlag","continentOcean","preparationType","relationshipType","relatedCatalogItem","class","infraspecificEpithet","typeStatus"
"1","2021-04-05 14:25:06-03","UNESC","CRI","11615","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa","(Salm-Dyck ex Pfeiff.) Salm-Dyck","T. J. Cadorin","2010","03","10","T.J. Cadorin; B. Grosch, R. Zimmermann & C.P. Lopes","1498","2010","03","10","Brasil","Santa Catarina","Florianópolis","Parque Municipal da Lagoa do Peri.","-48.535","-27.724167","48º32'6''W","27º43'27''S","317","317","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: epífita","CRI008277","CRI008277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:22-03","UNESC","CRI","8757","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa","(Salm-Dyck ex Pfeiff.) Salm-Dyck","Peterson T. Padilha","2010","10","20","Peterson T. Padilha",NA,"2010","09","13","Brasil","Santa Catarina","Criciúma","Pátio do CEDUP.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58",NA,"CRI006355","CRI006355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1361","S","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa","(Salm-Dyck ex Pfeiff.) Salm-Dyck","Nygel Taylor",NA,NA,NA,"Juliana Ordones Rego;",NA,NA,NA,NA,"Brasil","São Paulo","Jundiaí","Serra do Japi","-46.8800010681152","-23.1800003051758",NA,NA,NA,NA,"254",NA,NA,"Magnoliophyta","Caryophyllales","17840","2","auto",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","645707","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa","(Salm-Dyck) Salm-Dyck ex Pfeiff.","L. Scheinvar",NA,NA,NA,"G. G. Hatschbach","32628","1973","10","03","Brazil","Paraná","Cerro Azul","Morro Grande","-49.2608","-24.8236",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=149687' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645707","NY00645707_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA
"5","2016-09-28 15:20:00-03","NY","NYBG","645706","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa",NA,"B. E. Leuenberger",NA,NA,NA,"R. Reitz","2193","1954","10","14","Brazil","Santa Catarina","Blumenau","Mata da Cia. Hering, Blumenau","-49.082834","-26.926032",NA,NA,"470","470","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=149689' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645706","NY00645706_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","03890291","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa","(Salm-Dyck) Salm-Dyck ex Pfeiff.",NA,NA,NA,NA,"Collector unknown","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4182349' target='other'> <mi>dwc_moreinfo</mi></a>","NY03890291","NY03890291_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA
"7","2016-09-28 15:20:00-03","NY","NYBG","645705","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa",NA,"B. E. Leuenberger",NA,NA,NA,"A. Gevieski","32","1953","11","20","Brazil","Santa Catarina","Ibirama","Hôrto Flroestal, I. N. P., Ibirama","-49.5178","-27.0569",NA,NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=149688' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645705","NY00645705_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA
"8","2016-09-28 15:20:00-03","NY","NYBG","645704","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa",NA,"N. P. Taylor; D. C. Zappi",NA,NA,NA,"R. Reitz","3115","1949","10","20","Brazil","Santa Catarina","Brusque","Brusque","-48.9172","-27.0983",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=149686' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645704","NY00645704_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","645709","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa","(Salm-Dyck) Salm-Dyck ex Pfeiff.",NA,NA,NA,NA,"J. N. Rose","20848","1915","08","14","Brazil","São Paulo","Sao Paulo","Garden of Museu Paulista, Sao Paulo","-46.63","-23.5403",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=149691' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645709","NY00645709_01","Magnoliophyta","Caryophyllales",NA,NA,NA,"South America","sheet",NA,NA,NA,NA,NA
"10","2021-02-18 09:29:03-03","UNESP-IBB","BOTU","1167","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa","(Salm-Dyck ex Pfeiff.) Salm-Dyck","Amaral Jr., A.","1972","11","21","Gagioti, S.M.","486972","1972","09","06","Brasil","São Paulo","Botucatu","A mais ou menos 20 km de Botucatu, Fazenda 4 Meninas",NA,NA,"9999","9999",NA,NA,"Epífita, caule suculenta","BOTU001167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-02-18 09:29:03-03","UNESP-IBB","BOTU","1173","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa","(Salm-Dyck ex Pfeiff.) Salm-Dyck","Aona, A.Y.S.","2015","08",NA,"Milde, L.C.E.","37","1972","09","05","Brasil","São Paulo","Botucatu","A mais ou menos 20 km de Botucatu, Fazenda 4 Meninas",NA,NA,"9999","9999",NA,NA,"Epífita, flores brancas","BOTU001173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-18 09:29:03-03","UNESP-IBB","BOTU","6186","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa","(Salm-Dyck ex Pfeiff.) Salm-Dyck","Bicudo, L.R.H.","1982","02",NA,"Amaral Jr., A.","1062","1972","09","04","Brasil","São Paulo","Botucatu",NA,NA,NA,"9999","9999",NA,NA,"Epífita, flores brancas, estames e estígmas brancos,","BOTU006186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-02-18 09:29:03-03","UNESP-IBB","BOTU","9699","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa","(Salm-Dyck ex Pfeiff.) Salm-Dyck","Amaral Jr., A.","1972","11","21","Arao, Y.","486972","1972","09","06","Brasil","São Paulo","Botucatu","A mais ou menos 20 km de Botucatu, Fazenda 4 Meninas",NA,NA,"9999","9999",NA,NA,"Epífita, caule suculenta","BOTU009699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:04:12-03","ESALQ","ESA","95194","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa","(Salm.-Dyck) Salm.-Dyck",NA,NA,NA,NA,"Carboni, M. et al.","155.0","2005","03","28","Brasil","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637",NA,NA,NA,NA,NA,"ESA095194","ESA095194","Magnoliophyta",NA,"38804",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:04:12-03","ESALQ","ESA","95216","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa",NA,"Calvente, A.M.","2010",NA,NA,"Braidotti, J.C. et al.","62.0","2005","03","25","Brasil","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637",NA,NA,NA,NA,NA,"ESA095216","ESA095216","Magnoliophyta",NA,"38804",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:04:12-03","ESALQ","ESA","16543","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa","(Pfeiff.) Salm.-Dyck","Taylor, N.P.",NA,NA,NA,"Souza, V.C. et al.","4971.0","1993","12","03","Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,NA,"ESA016543","ESA016543","Magnoliophyta",NA,"44778",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:04:12-03","ESALQ","ESA","11000","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa","(Pfeiff.) Salm.-Dyck","Taylor, N.P.",NA,NA,NA,"Barreto, K.D. et al.","1186.0","1993","09","14","Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,NA,"ESA011000","ESA011000","Magnoliophyta",NA,"44778",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:04:12-03","ESALQ","ESA","125477","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa",NA,"Kuntz, J.","2013","04","01","Polisel, R.T.","1201.0","2013","03","30","Brasil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). Trilha do Chagas, UHE da Fumaça. Floresta Ombrófila Densa à margem esquerda do Rio Juquiá.","-47.37897","-24.03882","-47.37897","-24.03882",NA,NA,"Epífita. Botões.","ESA125477",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:04:12-03","ESALQ","ESA","124139","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa",NA,"Kuntz, J.","2013","04","01","Polisel, R.T. ; Diogo, I.","1201.0","2013","03","30","Brasil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). Trilha do Chagas, UHE da Fumaça. Floresta Ombrófila Densa à margem esquerda do Rio Juquiá.","-47.37897","-24.03882","-47.37897","-24.03882","324","324","Epífita. Botões.","ESA124139","ESA124139","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 11:04:12-03","ESALQ","ESA","96527","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa","(Salm.-Dyck) Salm.-Dyck",NA,NA,NA,NA,"Oriani, A. et al.","548.0","2005","03","23","Brasil","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637",NA,NA,NA,NA,NA,"ESA096527","ESA096527","Magnoliophyta",NA,"38804",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"21","2021-01-14 15:26:44-03","MN","R","204547","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","paradoxa","Rhipsalis paradoxa","(Salm-Dyck ex Pfeiff.) Salm-Dyck",NA,NA,NA,NA,"Calvente, A.M.; Versieux, L.M.","116","2004","10","10","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010029136","R010029136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
