"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","day","county","coordinatePrecision","geoFlag","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","infraspecificEpithet","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00859319","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Molluginaceae","Glinus","radiatus","Glinus radiatus","(Ruiz & Pav.) Rohrb.","H. H. Rusby","1503","1886","10","South America","Brazil","Rondônia","Falls of Madeira [near to Quajará-Mirim)","-65.3465375","-10.7798649","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957688' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859319","NY00859319_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","439575","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Molluginaceae","Glinus","radiatus","Glinus radiatus","(Ruiz & Pav.) Rohrb.","T. M. Pedersen","13900","1984","04","South America","Argentina","Corrientes","Dep. Capital. Isla Lagrana",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261820' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439575",NA,"05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","439574","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Molluginaceae","Glinus","radiatus","Glinus radiatus","(Ruiz & Pav.) Rohrb.","B. Rambo","41116","1949","04","South America","Brazil","Rio Grande do Sul","Ilha da Pintada","-51.25","-30.03","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261819' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439574",NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00859317","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Molluginaceae","Glinus","radiatus","Glinus radiatus","(Ruiz & Pav.) Rohrb.","N. A. Rosa","2944","1978","12","South America","Brazil","Maranhão","Sta. Inês, margem direita do Rio Pindaré, proximo da Rod. BR-316.","-45.38","-3.6669","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957678' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859317","NY00859317_01","13","Santa Inês",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00859316","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Molluginaceae","Glinus","radiatus","Glinus radiatus","(Ruiz & Pav.) Rohrb.","S. L. M. Moore","634","1891",NA,"South America","Brazil","Mato Grosso","Iter Matogrossense",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957672' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859316","NY00859316_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02433545","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Molluginaceae","Glinus","radiatus","Glinus radiatus","(Ruiz & Pav.) Rohrb.","E. de Oliveira","3426","1965","09","South America","Brazil","Pará","Marajõ, Rio Genipapo, Faz. Tauá.","-48.991136","-0.41865","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2663255' target='other'> <mi>dwc_moreinfo</mi></a>","NY02433545","NY02433545_01","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2433549","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Molluginaceae","Glinus","radiatus","Glinus radiatus","(Ruiz & Pav.) Rohrb.","G. T. Prance","30389","1987","11","South America","Brazil","Pará","First Savanna on Rio Mocoões, Fazenda Fura Olho","-49.62","-0.6","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2663259' target='other'> <mi>dwc_moreinfo</mi></a>","NY02433549","NY02433549_01","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2433546","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Molluginaceae","Glinus","radiatus","Glinus radiatus","(Ruiz & Pav.) Rohrb.","G. T. Prance","26404","1980","11","South America","Brazil","Pará","Debanda, Gleba Bacaja, lote 88, Basin of Rio Xingu, just below mouth of Rio Bacaja.","-51.7328","-3.535","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2663256' target='other'> <mi>dwc_moreinfo</mi></a>","NY02433546","NY02433546_01","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02433550","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Molluginaceae","Glinus","radiatus","Glinus radiatus","(Ruiz & Pav.) Rohrb.","J. P. Edwards","2520","1987","03","South America","Brazil","Roraima","Reserva Ecológica de Maracá.","-61.497501373291","2.89582991600037","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2663260' target='other'> <mi>dwc_moreinfo</mi></a>","NY02433550","NY02433550_01","09","Alto Alegre","327834","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2433548","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Molluginaceae","Glinus","radiatus","Glinus radiatus","(Ruiz & Pav.) Rohrb.","J. G. Kuhlmann","75","1912","11","South America","Brazil","Roraima",NA,"-61.128101348877","1.81611001491547","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2663258' target='other'> <mi>dwc_moreinfo</mi></a>","NY02433548","NY02433548_01","12","Caracaraí","365858","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
