"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","class","imagecode","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","dayIdentified","individualCount","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","514560","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","hatschbachii","Serjania hatschbachii","Ferrucci","M. S. Ferrucci","J. Cordeiro","1226","1995","04","19","South America","Brazil","Paraná","Adrianópolis","Rodovia para Riverao de Rocha. Vale do Rio Ribeira.","-48.9908","-24.6572","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=524657' target='other'> <mi>dwc_moreinfo</mi></a>","NY00514560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:33:10-03","NBC","NL-BOTANY","WAG.1383885","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Serjania","hatschbachii","Serjania hatschbachii","Ferrucci",NA,"Hatschbach GG; Silva JM",NA,"1987","07","27","Southern America","Brazil",NA,NA,"Andrianópolis, rod. p/ Rib. do Rocha, Paraná.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1383885 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1383885","Magnoliopsidae","NL-WAG1383885",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:19:36-03","ESALQ","ESA","40051","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Serjania","hatschbachii","Serjania hatschbachii",NA,NA,"Cordeiro, J. et al.","1226.0","1995","04","19",NA,"Brasil","Paraná","Adrianópolis",NA,"-48.9911003112793","-24.6571998596191",NA,NA,"ESA040051",NA,"ESA040051","49901","auto",NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:44:39-03","MBM","MBM","53473","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Serjania","hatschbachii","Serjania hatschbachii","Ferrucci","Ferrucci, S.","Hatschbach, G.","38522","1976","04","04","Southern America","Brazil","Paraná","Adrianopolis","Barra do Rio Pardo","-48.9911003112793","-24.6571998596191",NA,"Trepadeira, flor creme.; Orla da mata.","MBM053473",NA,"MBM053473","49901","auto","HOLOTYPE",NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:44:39-03","MBM","MBM","47473","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Serjania","hatschbachii","Serjania hatschbachii","Ferrucci","Ferrucci, M.S.","Hatschbach, G.","8835",NA,NA,NA,"Southern America","Brazil","Paraná","Piraí do Sul","Serra das Furnas, Paranaí","-49.948600769043","-24.5261001586914",NA,NA,"MBM047473",NA,"MBM047473","37171","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:44:39-03","MBM","MBM","47482","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Serjania","hatschbachii","Serjania hatschbachii","Ferrucci","Ferrucci, M.S.","Hatschbach, G.","2957",NA,NA,NA,"Southern America","Brazil","São Paulo","Ribeira","Ribeira","-49","-24.6499996185303",NA,NA,"MBM047482",NA,"MBM047482","17907","auto",NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:44:39-03","MBM","MBM","115336","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Serjania","hatschbachii","Serjania hatschbachii","Ferrucci","Ferrucci, M.S.","Hatschbach, G.; Silva, J.M.; Silva, J.M.","51291",NA,NA,NA,"Southern America","Brazil","Paraná","Adrianópolis","Adrianópolis, rodovia para Ribeirão do Rocha","-48.9911003112793","-24.6571998596191",NA,NA,"MBM115336",NA,"MBM115336","49901","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:44:39-03","MBM","MBM","47472","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Serjania","hatschbachii","Serjania hatschbachii","Ferrucci","Ferrucci, M.S.","Hatschbach, G.","9167",NA,NA,NA,"Southern America","Brazil","Paraná","Adrianópolis","Paranaí","-48.9911003112793","-24.6571998596191",NA,NA,"MBM047472",NA,"MBM047472","49901","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:41:24-03","UFMG","BHCB","38462","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Serjania","hatschbachii","Serjania hatschbachii","Ferrucci",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-11 17:21:42-03","UFPR","UPCB","20242","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Serjania","hatschbachii","Serjania hatschbachii","M.S.Ferrucci",NA,"Hatschbach, G.",NA,NA,NA,NA,NA,"Brasil","São Paulo","Ribeira",NA,"-49","-24.6499996185303",NA,"Escandente. Paredões calcáreos..","UPCB0001650",NA,"UPCB0001650","17907","auto",NA,NA,NA,NA,NA,NA,NA
"11","2021-02-11 17:21:42-03","UFPR","UPCB","30418","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Serjania","hatschbachii","Serjania hatschbachii","M.S.Ferrucci","Ferrucci, S.","Cordeiro, J.","1226","1995","04","19",NA,"Brasil","Paraná","Adrianópolis","Rodovia para Ribeirão do Rocha","-48.9911003112793","-24.6571998596191",NA,"Escandente, flor alvescente. Paredão rochoso com mata. Vale do Rio Ribeira..","UPCB0001649",NA,"UPCB0001649","49901","auto",NA,"1995","01","01",NA,NA,NA
"12","2020-09-12 05:00:02-03","US","US","2104759","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Serjania","hatschbachii","Serjania hatschbachii",NA,"Acevedo-Rodríguez, P., (BOT), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","G. Hatschbach","2957",NA,NA,NA,"South America - Neotropics","Brazil","São Paulo",NA,"Ribeira.",NA,NA,NA,NA,"US00711946","Dicotyledonae","US00711946_01",NA,NA,NA,NA,NA,NA,"1",NA,NA
"13","2020-09-12 05:00:02-03","US","US","3132637","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Serjania","hatschbachii","Serjania hatschbachii",NA,"Ferrucci, M. S.","G. Hatschbach & J. M. Silva","51291",NA,NA,NA,"South America","Brazil","Paraná",NA,"Adrianopolis, rod. P/ Rib. Do Rocha.",NA,NA,NA,NA,"US00711945","Dicotyledonae","US00711945_01",NA,NA,NA,NA,NA,NA,"1","200","200"
"14","2019-10-07 09:37:14-03","UEFS","HUEFS","29336","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Sapindaceae","Serjania","hatschbachii","Serjania hatschbachii","Ferrucci",NA,"Cordeiro, J.","1226","1995","04","19",NA,"Brasil","Paraná","Adrianópolis","Rodovia para Ribeirão do Rocha.","-48.9911003112793","-24.6571998596191",NA,"Paredões rochosos com mata. Vale do Rio Ribeira.","HUEFS0029336","Rosanae","HUEFS0029336","49901","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-08-20 20:42:11-03","UFSC","FLOR","27620","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Serjania","hatschbachii","Serjania hatschbachii","Ferrucci","Ferrucci, M.S.","Cordeiro, J.; Silva, J.M. & Poliquesi, C.B.","1226","1995","04","19",NA,"Brasil","Paraná","Adrianópolis","Rodovia para Ribeirão do Rocha, Vale do Rio Ribeira.","-48.9911003112793","-24.6571998596191",NA,"escandente, flor alvacenta","FLOR0027620",NA,NA,"49901","auto",NA,"1995",NA,NA,NA,NA,NA
