"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","779307","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Picrosia","longifolia","Picrosia longifolia","D.Don","P. K. H. Dusén","8749","1909","10","19","South America","Brazil","Paraná","Curityba, in pamdosis","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344170' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779307","NY00779307_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","779306","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Picrosia","longifolia","Picrosia longifolia","D.Don","R. Reitz","7358","1958","10","19","South America","Brazil","Santa Catarina","Salto do Pilao, Lontras, Rio do Sul","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344168' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779306","NY00779306_01","Á. L. Cabrera","Rio do Sul","-49.6431","-27.2144","350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","779305","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Picrosia","longifolia","Picrosia longifolia","D.Don","L. B. Smith","12581","1964","10","16","South America","Brazil","Santa Catarina","Near Palmitos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779305","NY00779305_01","G. M. Barroso","Palmitos","-53.18","-27.07","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 08:14:00-03","NY","NYBG","779309","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Picrosia","longifolia","Picrosia longifolia",NA,"Petersen","616","1952","11","16","South America","Argentina","Tucumán","Dept. Tafí, Raco","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344165' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779309",NA,"J. P. K. Hjerting",NA,NA,NA,"1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 05:46:00-03","NY","NYBG","779310","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Picrosia","longifolia","Picrosia longifolia",NA,"I. G. Vargas Caballero","789","1990","11","03","South America","Bolivia","Santa Cruz","Huasacañada, 5 km al S de la ciudad de Vallegrande.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344166' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779310",NA,"J. F. Pruski","Vallegrande","-64.095","-18.525","2050","2050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","779308","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Picrosia","longifolia","Picrosia longifolia","D.Don","J. E. Leite","691","1941","10",NA,"South America","Brazil","Rio Grande do Sul","A. de S. L.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344171' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779308","NY00779308_01",NA,"Sao Leopoldo","-51.1469","-29.7606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","779304","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Picrosia","longifolia","Picrosia longifolia","D.Don","G. G. Hatschbach","27586","1971","10","25","South America","Brazil","Paraná","Saltinho","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=344169' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779304","NY00779304_01","M. O. Dillon","Tijucas do Sul","-49.1989","-25.9283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","231238","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Picrosia","longifolia","Picrosia longifolia angustissima","Kuntze","C. E. O. Kuntze","s.n.","1892","10",NA,"South America","Argentina","Santa Fé","Ceres","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=292400' target='other'> <mi>dwc_moreinfo</mi></a>","NY00231238","NY00231238_01",NA,NA,NA,NA,NA,NA,"angustissima","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:51:00-03","NBC","NL-BOTANY","AMD.45623","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Picrosia","longifolia","Picrosia longifolia","D.Don","Herter G",NA,"1925","11","01","Southern America","Uruguay",NA,"Cerro departamento de Montevideo.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.45623 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD45623","NL-AMD45623",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:51:00-03","NBC","NL-BOTANY","AMD.45624","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Picrosia","longifolia","Picrosia longifolia","D.Don","Herter G",NA,"1926","11","01","Southern America","Uruguay",NA,"Punta Yeguas, departamento d Montevideo.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.45624 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD45624","NL-AMD45624",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
