"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","continentOcean","preparationType","barcode","imagecode"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","3427","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","brownii","Neoregelia brownii","Leme","Machado, T.M.","2010","12","17","Machado, T.M.; Souza, F. S.; Gomides, S.C.","323","2010","12","17","Brasil","Espírito Santo","Ibitirama","Rio Norte","-41.6671981811523","-20.5414009094238","41°44'087","20°26' 438","22282","1176","1176","1","254","auto",NA,NA,NA,NA
"2","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","241","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","brownii","Neoregelia brownii","Leme","Elton. C. M. Leme","2009","05",NA,"Elton M. C. Leme; Gregory Brown; Pedro Nahoum; Lucio Leoni",NA,"1993","04","15","Brasil","Minas Gerais","Fervedouro","Serra do Brigadeiro; caminho para a Pedra do Pato","-42.2789001464844","-20.7255992889404",NA,NA,"20038",NA,NA,"1","254","auto",NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01112569","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","brownii","Neoregelia brownii","Leme","H. E. Luther",NA,NA,NA,"S. C. de Sant'Ana","1072","2003","03","07","Brazil","Bahia","Boa Nova","Fazenda São José, a 8.8 km de Boa Nova, na estrada para Dario Meira, a 1.4 km do ramal à esq.","-40.1544444","-14.4038889",NA,NA,NA,"850","850",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1215193' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY01112569","NY01112569_01"
"4","2020-11-04 11:03:56-03","ESALQ","ESA","49961","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Bromeliaceae","Neoregelia","brownii","Neoregelia brownii",NA,NA,NA,NA,NA,"Leme, E.M.C. et al.","2174.0","1993","04","15","Brasil","Minas Gerais","Carangola",NA,"-42.0293998718262","-20.7331008911133",NA,NA,"21913",NA,NA,NA,NA,"auto",NA,NA,"ESA049961",NA
"5","2020-12-20 21:16:26-03","UFV","VIC","13843","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","brownii","Neoregelia brownii","Leme","Paula, C. .C. de","1996","11","19","Paula, C. .C. de","1012","1995","02","04","Brasil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro., Pico do Boné a ca. 1800 m de altitude","-42.5208015441895","-20.6667003631592",NA,NA,"16385",NA,NA,NA,"Planta heliófila, epífita.","auto",NA,NA,"VIC013843","VIC013843"
"6","2020-12-20 21:16:26-03","UFV","VIC","24849","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Neoregelia","brownii","Neoregelia brownii","Leme","Goldschmidt, A.; Paula, C. .C. de","2000","05","15","Goldschmidt, A.; Paula, C. .C. de","37","2000","05","05","Brasil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro., Serra das Cabeças, em borda de mata na beira do riacho, a ca. 1600 m de altitude","-42.5208015441895","-20.6667003631592",NA,NA,"16385",NA,NA,NA,"Esciófila e saxícola. População com cerca de seis rosetas","auto",NA,NA,"VIC024849","VIC024849"
