"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","typeStatus","stateProvince","imagecode","scientificNameAuthorship","identifiedBy","decimalLongitude","decimalLatitude","county","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","class","fieldNumber","individualCount","relationshipType","relatedCatalogItem"
"1","2016-09-29 12:19:00-03","NY","NYBG","486436","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","luxurians","Ipomoea luxurians","E. L. Ekman","1416","1907","11","04","South America","Argentina","Posadas, ad flum. Alto-Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396513' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 12:19:00-03","NY","NYBG","319196","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Ipomoea","luxurians","Ipomoea luxurians","J. S. Blanchet","2914","1839",NA,NA,"South America","Brazil","Serra de Acurua","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=396512' target='other'> <mi>dwc_moreinfo</mi></a>","NY00319196","isotype","Bahia","NY00319196_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","486509","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Iseia","luxurians","Iseia luxurians","N. L. Britton","2440","1921","03","19","South America","Trinidad and Tobago","Trinidad. Moruga","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=126342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486509",NA,NA,NA,"(Moric.) O'Donell","D. F. Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02360647","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Iseia","luxurians","Iseia luxurians","D. F. Austin","6960","1979","09","30","South America","Brazil","Macapá, river-front next to Rio Amazonas, E of town","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2540298' target='other'> <mi>dwc_moreinfo</mi></a>","NY02360647",NA,"Amapá","NY02360647_01","(Moric.) O'Donell",NA,"-51.0667","0.0347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","494169","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Iseia","luxurians","Iseia luxurians","R. O. Williams","12096","1928","11","24","South America","Trinidad and Tobago","Trinidad.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=126343' target='other'> <mi>dwc_moreinfo</mi></a>","NY00494169",NA,NA,NA,"(Moric.) O'Donell","C. A. O'Donell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2360649","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Iseia","luxurians","Iseia luxurians","G. T. Prance","5341","1968","06","29","South America","Brazil","Island in rio Madeira at mouth of rio Jaciparaná.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2540300' target='other'> <mi>dwc_moreinfo</mi></a>","NY02360649",NA,"Rondônia","NY02360649_01","(Moric.) O'Donell",NA,"-64.397038","-9.194036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","494205","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Iseia","luxurians","Iseia luxurians","J. Revilla","795","1976","06","21","South America","Peru","Distrito: Pebas; Río Ampiyacu","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=126344' target='other'> <mi>dwc_moreinfo</mi></a>","NY00494205",NA,"Loreto",NA,"(Moric.) O'Donell",NA,NA,NA,"Maynas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2360650","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Iseia","luxurians","Iseia luxurians","E. Lleras","17364","1973","08","17","South America","Brazil","Rio Solimões, Barrio de Odorio, São Paulo de Olivença","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2540301' target='other'> <mi>dwc_moreinfo</mi></a>","NY02360650",NA,"Amazonas","NY02360650_01","(Moric.) O'Donell",NA,"-68.9422","-3.4675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","494206","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Iseia","luxurians","Iseia luxurians","W. E. Broadway","s.n.","1914","12","20","South America","Trinidad and Tobago","Trinidad. Cedras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=126341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00494206",NA,NA,NA,"(Moric.) O'Donell","C. A. O'Donell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","494168","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Iseia","luxurians","Iseia luxurians","G. G. Hatschbach","14496","1966","06","23","South America","Brazil","Rio Paranapanema","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=126338' target='other'> <mi>dwc_moreinfo</mi></a>","NY00494168",NA,"Paraná","NY00494168_01","(Moric.) O'Donell","L. B. Smith; S. F. Smith","-52.3419","-22.7347","Santo Antônio do Caiuá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
