"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","infraspecificEpithet","class","relatedCatalogItem","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","typeStatus"
"1","2021-04-05 14:25:01-03","UNESC","CRI","8498","PreservedSpecimen","Plantae","Asteraceae","Trichocline","catharinensis","Trichocline catharinensis","Cabrera","M. Sobral","2009","03","01","M. Verdi; R.P. Hasckel & G. Klemz","2009","01","24","Brasil","Santa Catarina","Cerro Negro","Macaco Branco.","-50.876111","-27.795833","50º52'34''W","27º47'45''S","608","608","Ecótono Floresta Estacional Decidual/Floresta Ombrófila Mista Habito: herbácea","CRI001385","CRI001385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:01-03","UNESC","CRI","11290","PreservedSpecimen","Plantae","Asteraceae","Trichocline","catharinensis","Trichocline catharinensis","Cabrera","M. Verdi",NA,NA,NA,"M. Verdi; B.O. Boeni","2012","02","08","Brasil","Rio Grande do Sul","Lagoa Vermelha","Boqueirão/PCH Boqueirão.","-51.344167","-28.400278","51º20'39''W","28º24'1''S","732","732","Fom - Estepe Habitat: campo Habito: herbácea","CRI001383","CRI001383","6122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:01-03","UNESC","CRI","11380","PreservedSpecimen","Plantae","Asteraceae","Trichocline","catharinensis","Trichocline catharinensis","Cabrera","Renato Colares","2017","09","14","J. Meirelles","2009","01","30","Brasil","Santa Catarina","Garuva","Alto Quiriri","-48.8549995422363","-26.0266990661621",NA,NA,NA,NA,"Doação Herbário JOI (12986)","CRI010818",NA,"265","22441","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","788707","PreservedSpecimen","Plantae","Asteraceae","Trichocline","catharinensis","Trichocline catharinensis","Cabrera","E. Pasini",NA,NA,NA,"E. Pereira","1964","01","15","Brazil","Santa Catarina",NA,"Entre Curitiba e Lagoa.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=394669' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788707","NY00788707_01","8896",NA,NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","788705","PreservedSpecimen","Plantae","Asteraceae","Trichocline","catharinensis","Trichocline catharinensis","Cabrera","E. Pasini",NA,NA,NA,"T. M. Pedersen","1984","03","12","Brazil","Rio Grande do Sul","Vacaria",NA,"-50.9339","-28.5122",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788705","NY00788705_01","13823",NA,NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","806705","PreservedSpecimen","Plantae","Asteraceae","Trichocline","catharinensis","Trichocline catharinensis","Cabrera","E. Pasini",NA,NA,NA,"R. A. Wasum","2002","05","06","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Fazenda do Baú.","-50.5833","-29.4483",NA,NA,"830","830","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806705","NY00806705_01","1485",NA,NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","788702","PreservedSpecimen","Plantae","Asteraceae","Trichocline","catharinensis","Trichocline catharinensis","Cabrera","E. Pasini",NA,NA,NA,"R. A. Wasum","2000","01","20","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Tainhas.","-50.8875","-29.2139",NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415228' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788702","NY00788702_01","411",NA,NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","806706","PreservedSpecimen","Plantae","Asteraceae","Trichocline","catharinensis","Trichocline catharinensis","Cabrera","E. Pasini",NA,NA,NA,"R. A. Wasum","2003","01","29","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Fazenda Violeta.","-50.5833","-29.4483",NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803605' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806706","NY00806706_01","1746a",NA,NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","788706","PreservedSpecimen","Plantae","Asteraceae","Trichocline","catharinensis","Trichocline catharinensis discolor","Cabrera","T. M. Pedersen",NA,NA,NA,"T. M. Pedersen","1979","07","12","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Fazenda Guirra (about 12km from S. Francisco, on old road to Canela).","-50.5833","-29.4483",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=288487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788706","NY00788706_01","12630",NA,NA,"Magnoliophyta","Asterales","South America","sheet","discolor",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","788701","PreservedSpecimen","Plantae","Asteraceae","Trichocline","catharinensis","Trichocline catharinensis","Cabrera","E. Pasini",NA,NA,NA,"G. G. Hatschbach","1998","11","15","Brazil","Paraná","Palmas","Horizonte.","-51.57403","-26.589411",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415230' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788701","NY00788701_01","68679",NA,NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
