"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","maximumElevationInMeters","individualCount","class","order","imagecode","fieldNumber","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","previousCatalogNumber","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","02246576","PreservedSpecimen","Plantae","Marchantiophyta","Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","J. Heinrichs","4416","1997","10","25","South America","Bolivia","Cochabamba","Chapare","Tiraque, road Aguirre-El Palmar, Serrania de Callejas.","-65.67","-17.18","3520","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2441218' target='other'> <mi>dwc_moreinfo</mi></a>","NY02246576",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02246574","PreservedSpecimen","Plantae","Marchantiophyta","Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","J. Heinrichs","4414","1997","10","25","South America","Bolivia","Cochabamba","Chapare","Tiraque, road Aguirre-El Palmar, Serrania de Callejas.","-65.67","-17.18","3320","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2441216' target='other'> <mi>dwc_moreinfo</mi></a>","NY02246574","3360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02246572","PreservedSpecimen","Plantae","Marchantiophyta","Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","J. Heinrichs","4411","1997","10","25","South America","Bolivia","Cochabamba","Chapare","Tiraque, road Aguirre-El Palmar, Serrania de Callejas.","-65.67","-17.18","3530","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2441213' target='other'> <mi>dwc_moreinfo</mi></a>","NY02246572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2011-04-12 10:52:00-03","MO","MOBOT","100364949","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","S. Churchill","Marko Lewis","Lewis 88-283","1988","4","30","South America","Bolivia","La Paz","Nor Yungas","Following the trail to Rio Coscapa its inception along the Yungas highway ca. 3 km. NE of Unduavi to the ridgeline.","-67.9","-16.2833333","3450.00000000",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2011-05-02 17:26:00-03","MO","MOBOT","100372983","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","S. Churchill","Marko Lewis","Lewis 88-243","1988","4","30","South America","Bolivia","La Paz","Nor Yungas","Following the trail to Rio Coscapa its inception along the Yungas highway ca. 3 km. NE of Unduavi to the ridgeline.","-67.9","-16.2833333","3350.00000000",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-12-29 16:47:00-02","MO","MOBOT","100945513","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","T. Herzog","Herzog 2816","1911","5",NA,"South America","Bolivia","Cochabamba","Chapare","Tables.","-66","-17.1166667","3400.00000000",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-12-29 16:52:00-02","MO","MOBOT","100945514","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","T. Herzog","Herzog 4328","1911","5",NA,"South America","Bolivia","Santa Cruz","Manuel Maria Caballero","Comarapa.","-64.5166667","-17.9","2600.00000000",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-12-29 16:56:00-02","MO","MOBOT","100945515","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","Marko Lewis","Lewis 85-183","1985","6","24","South America","Bolivia","Cochabamba","Arani","Codillera de Tiraque, around headwater´s streams of Rio manho Cueva near forks of streams flowing from Laguna Yana Khora, 14 km S of NE of Tiraque.","-65.6","-17.3833333","3400.00000000",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-12-29 17:00:00-02","MO","MOBOT","100945516","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","J. Heinrichs","Marko Lewis","Lewis 85-1727","1985","12","2","South America","Bolivia","Cochabamba","Chapare","On the side of Cerro Limbo between the headwaters of the Rio Chimpa Chako Mayo and Rio Yuraj Mayu, ca. 60 km 25 N of W from Cochabamba.","-65.6333333","-17.1166667","2460.00000000",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2018-04-25 16:06:00-03","MO","MOBOT","90104080","PreservedSpecimen","Plantae",NA,"Plagiochilaceae","Plagiochila","boryana","Plagiochila boryana","Gottsche ex Steph.","JH","Jochen Heinrichs","Heinrichs 4257","1997","10","25","South America","Bolivia","Cochabamba","Chapare","Tiraque, road Aguirre - El Palmar, Serranía de Callejas.","-65.6666667","-17.1833333","3350.00000000",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
