"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","coordinatePrecision","geoFlag","maximumElevationInMeters","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","583606","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","geminata","Bauhinia geminata","Vogel","W. Mantovani","M. das G. L. Wanderley","104","1976","12","15","South America","Brazil","São Paulo","Sao Paulo","Parque Estadual das Fontes do Ipiranga, Instituto de Botanica, Jardim Botanico. Area 6. Planta no. 27","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=228020' target='other'> <mi>dwc_moreinfo</mi></a>","NY00583606","NY00583606_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","583609","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","geminata","Bauhinia geminata","Vogel","W. Mantovani","L. B. Noffs","10","1976","12","15","South America","Brazil","São Paulo","Sao Paulo","Parque Estadual das Fontes do Ipiranga, Instituto de Botánica, Jardim Botanico","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=228022' target='other'> <mi>dwc_moreinfo</mi></a>","NY00583609","NY00583609_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","583608","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","geminata","Bauhinia geminata","Vogel","W. Mantovani","M. das G. L. Wanderley","118","1977","11","23","South America","Brazil","São Paulo","Sao Paulo","Parque Estadual das Fontes do Ipiranga, Jardim Botanico","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=228021' target='other'> <mi>dwc_moreinfo</mi></a>","NY00583608","NY00583608_01 NY00583608_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","583607","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","geminata","Bauhinia geminata","Vogel","J. V. Godoi","D. F. Pereira","2","1991","03","27","South America","Brazil","São Paulo","Moji-Guaçu","Fazenda Campininha. Mata de Mariana",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=228023' target='other'> <mi>dwc_moreinfo</mi></a>","NY00583607","NY00583607_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1015478","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","longifolia","Bauhinia longifolia","(Bong.) Steud.",NA,"C. Luchiari","373","1994","04","26","South America","Brazil","Rio de Janeiro","Silva Jardim","Reserva Biologica de Poço das Antes, Est. Juturnaiba, esquerda - km 6.","-42.3917","-22.6508","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106440' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015478","NY01015478_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02686782","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","longifolia","Bauhinia longifolia","(Bong.) Steud.",NA,"L. de S. Leoni","2477","1994","03","03","South America","Brazil","Minas Gerais",NA,"Próxima a Serra da Grama, cascata das abelhas",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2961128' target='other'> <mi>dwc_moreinfo</mi></a>","NY02686782","NY02686782_01","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00749034","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","longifolia","Bauhinia longifolia","(Bong.) Steud.","A. M. S. da F. Vaz","L. M. M. Carreira","615","1983","03","22","South America","Brazil","Mato Grosso","Cuiabá","Chapada dos Guimaraes, Sao Vicente, Cachoeirinha","-56.0967","-15.5961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=887365' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749034","NY00749034_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02686783","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","longifolia","Bauhinia longifolia","(Bong.) Steud.",NA,"L. de S. Leoni","7115","2008","03","20","South America","Brazil","Minas Gerais","Fervedouro","Entorno do Parque Estadual do Brigadeiro","-42.2789001464844","-20.7255992889404","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2961129' target='other'> <mi>dwc_moreinfo</mi></a>","NY02686783","NY02686783_01","970","20038","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02636728","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","longifolia","Bauhinia longifolia","(Bong.) Steud.","L. P. de Queiroz","P. Fiaschi","2787","2005","03","12","South America","Brazil","Bahia","Almadina","Rod. Almadina/Ibitupã, ca. 20Km. Fazenda São Roque, ca. 10Km da entrada do ramal.","-39.7131","-14.6408","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475361' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636728","NY02636728_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-10-28 14:46:00-02","NY","NYBG","885771","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","longifolia","Bauhinia longifolia",NA,"A. M. S. da F. Vaz","P. Fiaschi","1472","2003","04","12","South America","Brazil","Espírito Santo","Santa Teresa","15 de Agosto. Terreno de G. Pazollini.","-40.6889","-19.8025","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885771","NY00885771_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1184069","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","longifolia","Bauhinia longifolia","(Bong.) Steud.","A. M. S. da F. Vaz","R. Marquete","3826","2006","08","23","South America","Brazil","Minas Gerais","Conceição do Mato Dentro","Estrada de terra (Estrada Real) para o Morro do Pilar, lado esquerdo.","-43.4014","-19.0842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1461031' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184069","NY01184069_01","606",NA,NA,"606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02104755","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","longifolia","Bauhinia longifolia","(Bong.) Steud.","A. M. S. da F. Vaz","R. S. Souza","240","2013","06","06","South America","Brazil","Bahia","Nova Ibiá","Fazenda da Cabeceira","-39.6611","-13.8472","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2504515' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104755","NY02104755_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1019441","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Bauhinia","longifolia","Bauhinia longifolia","(Bong.) Steud.",NA,"R. D. Ribeiro","1112","2009","05","16","South America","Brazil","Rio de Janeiro","Macaé","Bairro dos Cavalheiros, estrada de acesso ao Vale Encantado.","-41.7867","-22.3708","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1282393' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019441","NY01019441_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
