"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:41:17-03","E","E","274286","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","Pott, A.;","5081","1989","10","07","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:284959","<a href=http://data.rbge.org.uk/herb/E00274286 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00274286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:17-03","E","E","274285","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","Pott, A.; Pott, V.J.; Boock, A.; Araujo, M.R.; Souza, O.; Pereira, M.","3921","1987","12","08","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:284960","<a href=http://data.rbge.org.uk/herb/E00274285 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00274285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:17-03","E","E","274334","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","Pott, A.;","4510","1988","11","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:285129","<a href=http://data.rbge.org.uk/herb/E00274334 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00274334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00909346","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","E. P. Heringer","5700","1980","11","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980290' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909346","Magnoliophyta","Malpighiales","Griseb.","M. C. H. Mamede","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797","NY00909346_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00909351","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","E. P. Heringer","16987-A","1978","08","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980335' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909351","Magnoliophyta","Malpighiales","Griseb.","M. C. H. Mamede","Distrito Federal","Brasília",NA,"-47.9294","-15.7797","NY00909351_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00893681","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","E. P. Heringer","17965","1980","11","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893681","Magnoliophyta","Malpighiales","Griseb.","W. R. Anderson","Goiás","Luziânia","Coletada em Luziania. (15 k ao sul da cidade).","-47.9503","-16.2528","NY00893681_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","475606","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","H. de F. Leitão Filho","12461","1981","04","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426454' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475606","Magnoliophyta","Malpighiales","Griseb.","M. C. H. Mamede","São Paulo","Araraquara","Rod. p/ Matao","-48.1697","-21.7903","NY00475606_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00909322","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","E. P. Heringer","1156","1979","04","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980168' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909322","Magnoliophyta","Malpighiales","Griseb.","M. C. H. Mamede","Distrito Federal","Brasília","Na região do Rio São Bartolomeu.","-47.9294","-15.7797","NY00909322_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00893674","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","H. S. Irwin","18655","1968","01","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971559' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893674","Magnoliophyta","Malpighiales","Griseb.","W. R. Anderson","Goiás","Cocalzinho de Goiás","15 km N. of Corumbá de Goiás on road to Niquelândia, in valley of Rio Corumbá. Serra dos Pirineus.","-48.77","-15.8","NY00893674_01","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00893679","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","laxiflora","Byrsonima laxiflora","J. A. Ratter","R.4063","1977","01","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971574' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893679","Magnoliophyta","Malpighiales","Griseb.","W. R. Anderson","Distrito Federal","Brasília","Close to the Escola Fazendária, c. 11 km SE of the Brasília TV Tower.","-47.9294","-15.7797","NY00893679_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
