"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00968801","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","J. A. Kallunki","M. Macedo","687","1978","05","06","South America","Brazil","Mato Grosso","Poconé","Transpantaneira highway, near Fazenda Santa Rosa.","-56.6067","-16.2567","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1047912' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968801","NY00968801_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","627575","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","C. L. Cristóbal","R. M. Harley","21996","1980","05","01","South America","Brazil","Bahia",NA,"Chapadao Ocidental da Bahia. 5 km. to the North of Tabocas, which is 10 km. N.W. of Serra Dourada. E3","-44.03","-12.65","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617344' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627575","NY00627575_01","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00968807","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.",NA,"J. A. Ratter","R2894","1976","04","12","South America","Brazil","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c 18 km SSW of Brasília TV tower.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048298' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968807","NY00968807_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","627568","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","L. C. Barnett","N. Lima","35","1968","01","05","South America","Brazil","Rio Grande do Norte",NA,"Santana, RN. Sítio do Sr. Otílio",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627568","NY00627568_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","627570","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","L. C. Barnett","J. N. Rose","19836","1915","06","09","South America","Brazil","Bahia",NA,"Queimadas",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617345' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627570","NY00627570_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","306138","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","M. H. Nee","M. H. Nee","48619","1998","03","10","South America","Bolivia","Santa Cruz","Andrés Ibáñez","Ca. 5 km SSW of Cotoca, vic. clay pits and brick works near Flat, near Santa Rosa de Provote.","-63","-17.78","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617347' target='other'> <mi>dwc_moreinfo</mi></a>","NY00306138",NA,"375","375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 02:32:00-03","NY","NYBG","627578","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata",NA,"C. L. Cristóbal","G. J. Schwarz","612","1945","01","31","South America","Argentina","Misiones","Candelaria","Puerto Santa Ana",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617336' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00968802","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","G. G. Hatschbach","G. G. Hatschbach","25084","1970","10","22","South America","Brazil","Mato Grosso do Sul","Rio Brilhante","Rod BR 267, Entroncamento.","-54.5464","-21.8019","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1047933' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968802","NY00968802_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02098491","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata pyramidata","L.","L. J. Dorr","L. A. Pereira","325","2011","09","01","South America","Brazil","Paraíba","Campina Grande","BR 230: Km 97","-35.8811","-7.2308","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2493266' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098491","NY02098491_01","551",NA,"pyramidata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","169736","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata flava","Kuntze",NA,"C. E. O. Kuntze","s.n.","1892","05",NA,"South America","Bolivia","Santa Cruz",NA,"Santa Cruz de Bolivia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=375390' target='other'> <mi>dwc_moreinfo</mi></a>","NY00169736","NY00169736_01",NA,NA,"flava","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","627577","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Melochia","pyramidata","Melochia pyramidata","L.","A. Goldberg","G. G. Hatschbach","14483","1966","06","23","South America","Brazil","Paraná","Santo Antônio do Caiuá","Rio Paranapanema","-52.3419","-22.7347","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617333' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627577","NY00627577_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
