"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","county","decimalLongitude","decimalLatitude","imagecode","identifiedBy","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","04207876","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","amethystina","Utricularia amethystina","Salzm. ex A.St.-Hil. & Girard","J. A. Steyermark","329","1960","04","19","South America","Venezuela","Bolívar","UEI-TEPUI: between southeastern slope and summit, between Luepa and Cerro Venamo","1100","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4565903' target='other'> <mi>dwc_moreinfo</mi></a>","NY04207876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02065448","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","amethystina","Utricularia amethystina","Salzm. ex A.St.-Hil. & Girard","T. J. Killeen","2438","1987","04","05","South America","Bolivia","Santa Cruz","Est. Santa María, 7 km S of Concepción.","500",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2200178' target='other'> <mi>dwc_moreinfo</mi></a>","NY02065448","Ñuflo de Chávez","-62","-16.17","NY02065448_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","04207852","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","amethystina","Utricularia amethystina","Salzm. ex A.St.-Hil. & Girard","B. Maguire","24197","1944","08","03","South America","Suriname",NA,"Tafelberg (Table Mountain), Savanna I",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4565873' target='other'> <mi>dwc_moreinfo</mi></a>","NY04207852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1281471","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","amethystina","Utricularia amethystina","Salzm. ex A.St.-Hil. & Girard","H. S. Irwin","28411","1970","03","26","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 2 km S. of São João da Chapada","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1694361' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281471","Diamantina","-43.7833","-18.0833","NY01281471_01","P. G. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1281476","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","amethystina","Utricularia amethystina","Salzm. ex A.St.-Hil. & Girard","W. R. Anderson","10473","1973","05","16","South America","Brazil","Goiás","Serra dos Pirineus, ca. 15 km (straight line) N of Corumbá de Goiás","1230","1230","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1694369' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281476","Cocalzinho de Goiás","-48.80861","-15.7880556","NY01281476_01","P. G. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1281459","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","amethystina","Utricularia amethystina","Salzm. ex A.St.-Hil. & Girard","G. T. Prance","21041","1974","05","09","South America","Brazil","Amazonas","Manaus-Caracarai Road; Km. 130, Igarapé Lages",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1694294' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281459",NA,"-60.086031","-1.8595815",NA,"P. G. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1281462","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","amethystina","Utricularia amethystina","Salzm. ex A.St.-Hil. & Girard","G. H. H. Tate","386","1927","11","26","South America",NA,NA,"Mount Roraima, summit, British Guiana [Guyana] and Northern Brazil.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1694312' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281462",NA,NA,NA,NA,"P. G. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","04207854","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","amethystina","Utricularia amethystina","Salzm. ex A.St.-Hil. & Girard","B. Maguire","54134","1963","07","11","South America","Suriname",NA,"2 km north of rivier, 2 km west of Oost Rivier","225",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4565875' target='other'> <mi>dwc_moreinfo</mi></a>","NY04207854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02065439","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","amethystina","Utricularia amethystina","Salzm. ex A.St.-Hil. & Girard","B. Maguire","32832","1951","12","30","South America","Venezuela","Bolívar","Cerro Guaiquinima, Río Paragua: Along west escarpment, 1 km. west of Cumbre Camp","1800",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2200158' target='other'> <mi>dwc_moreinfo</mi></a>","NY02065439",NA,NA,NA,"NY02065439_01","P. G. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02065441","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","amethystina","Utricularia amethystina","Salzm. ex A.St.-Hil. & Girard","B. Maguire","29745","1950","11","25","South America","Venezuela","Bolívar","Cerro Duida, Río Cunucunuma, Culebra Creek just above Culebra Falls","1400",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2200162' target='other'> <mi>dwc_moreinfo</mi></a>","NY02065441",NA,NA,NA,"NY02065441_01","P. G. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
