"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","continentOcean","coordinatePrecision","geoFlag","typeStatus","fieldNumber","preparationType","monthIdentified","dayIdentified","individualCount","class","order","sex"
"1","2021-03-01 16:24:00-03","UNICAMP","UEC","118900","S","Plantae","Magnoliopsida","Asteraceae","Dimerostemma","myrtifolium","Dimerostemma myrtifolium","M.D.Moraes","Moraes, MD","2005","Moraes, MD; Valls, JFM; Oliveira, RC; Silva, GP","619","2001","03","27","Brazil","Mato Grosso do Sul","Coronel Sapucaia","Corredor Internacional.","-55.554972","-23.320472","-55.554972","-23.320472","Subarbusto 30-50cm, com xilopódio.; Campo sujo, solo arenoso.","UEC122640","UEC122640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:24:00-03","UNICAMP","UEC","118902","S","Plantae","Magnoliopsida","Asteraceae","Dimerostemma","myrtifolium","Dimerostemma myrtifolium","M.D.Moraes","Moraes, MD","2005","Moraes, MD; Valls, JFM; Oliveira, RC; Silva, GP","621","2001","03","27","Brazil","Mato Grosso do Sul","Coronel Sapucaia","Corredor Internacional.","-55.554972","-23.320472","-55.554972","-23.320472","Subarbusto 20-40 cm, com xilopódio.; Campo sujo, solo arenoso.","UEC122643","UEC122643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:24:00-03","UNICAMP","UEC","118904","S","Plantae","Magnoliopsida","Asteraceae","Dimerostemma","myrtifolium","Dimerostemma myrtifolium","M.D.Moraes","Moraes, MD","2005","Moraes, MD; Valls, JFM; Oliveira, RC; Silva, GP","625","2001","03","27","Brazil","Mato Grosso do Sul",NA,"8 km de Iguatemi em direção a Eldorado.","-54.495583","-23.679806","-54.495583","-23.679806","Subarbusto 30-150cm, não ramificado na base, ramificado ou não na inflorescência, com xilopódio.; Cerrado, solo arenoso.","UEC122642","UEC122642",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:24:00-03","UNICAMP","UEC","118905","S","Plantae","Magnoliopsida","Asteraceae","Dimerostemma","myrtifolium","Dimerostemma myrtifolium","M.D.Moraes","Moraes, MD","2005","Moraes, MD; Valls, JFM; Oliveira, RC; Silva, GP","625","2001","03","27","Brazil","Mato Grosso do Sul",NA,"8 km de Iguatemi em direção a Eldorado.","-54.495583","-23.679806","-54.495583","-23.679806","Subarbusto 30-150cm, não ramificado na base, ramificado ou não na inflorescência, com xilopódio.; Cerrado, solo arenoso.","UEC122641","UEC122641",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:24:00-03","UNICAMP","UEC","142560","S","Plantae","Magnoliopsida","Asteraceae","Dimerostemma","myrtifolium","Dimerostemma myrtifolium","M.D.Moraes","Moraes, MD","2005","Moraes, MD; Valls, JFM; Oliveira, RC; Silva, GP","619","2001","03","27","Brazil","Mato Grosso do Sul","Coronel Sapucaia","Corredor Internacional.","-55.554972","-23.320472","-55.554972","-23.320472","Subarbusto 30-50cm, com xilopódio.; Campo sujo, solo arenoso.","UEC122644","UEC122644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:24:00-03","UNICAMP","UEC","142561","S","Plantae","Magnoliopsida","Asteraceae","Dimerostemma","myrtifolium","Dimerostemma myrtifolium","M.D.Moraes","Moraes, MD","2005","Moraes, MD; Valls, JFM; Oliveira, RC; Silva, GP","625","2001","03","27","Brazil","Mato Grosso do Sul",NA,"8 km de Iguatemi em direção a Eldorado.","-54.495583","-23.679806","-54.495583","-23.679806","Subarbusto 30-150cm, não ramificado na base, ramificado ou não na inflorescência, com xilopódio.; Cerrado, solo arenoso.","UEC122639","UEC122639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:24:00-03","UNICAMP","UEC","142562","S","Plantae","Magnoliopsida","Asteraceae","Dimerostemma","myrtifolium","Dimerostemma myrtifolium","M.D.Moraes","Moraes, MD","2005","Moraes, MD; Valls, JFM; Oliveira, RC; Silva, GP","621","2001","03","27","Brazil","Mato Grosso do Sul","Coronel Sapucaia","Corredor Internacional.","-55.554972","-23.320472","-55.554972","-23.320472","Subarbusto 20-40 cm, com xilopódio.; Campo sujo, solo arenoso.","UEC122638","UEC122638",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:15:45-03","MBM","MBM","156678","PreservedSpecimen","Plantae",NA,"Asteraceae","Dimerostemma","myrtifolium","Dimerostemma myrtifolium","(Chodat) M.D. Moraes","Moraes, M.D.","2005","Hatschbach, G.; Schinini, A.; Silva, J.M.; Schinini, A.; Silva, J.M.","58625","1993","02","07","Brazil","Mato Grosso do Sul","Iguatemi","Rod. MS-295, 15km L de Iguatemi","-54.5611000061035","-23.6802997589111",NA,NA,"Xilopodífera, ereta, 50 cm, capítulos amarelos.","MBM156678","MBM156678","Southern America","71460","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:15:45-03","MBM","MBM","87542","PreservedSpecimen","Plantae",NA,"Asteraceae","Dimerostemma","myrtifolium","Dimerostemma myrtifolium","(Chodat) M.D. Moraes","Moraes, M.D.","2005","Hatschbach, G.; et al.; et al.","47299","1983","12","16","Brazil","Mato Grosso do Sul","Amambai","Rod. MT-642, 20km L de Amambai","-55.2257995605469","-23.1042003631592",NA,NA,"Ereta, xilopodífera, capítulos amarelos. Campo cerrado","MBM087542","MBM087542","Southern America","73676","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-10-05 06:24:07-03","MNHN","RECOLNAT_MNHN_P","P02140320","PreservedSpecimen",NA,NA,"Asteraceae","Verbesina","myrtifolia","Verbesina myrtifolia","Chodat",NA,NA,"Hassler, E.",NA,NA,"10",NA,"Paraguay",NA,NA,"Iter ad Yerbales montium Sierra de Maracayu, in altoplanitie et decliviis, in campo pr. Ipé-hu",NA,NA,NA,NA,"reçu le 2 octobre 1900 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02140320' target='other'> <mi>dwc_moreinfo</mi></a>","P02140320","P02140320_01",NA,NA,NA,"type","4991","hb",NA,NA,NA,NA,NA,NA
