"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","year","month","day","yearIdentified","monthIdentified","dayIdentified","recordNumber","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:34:03-03","UNESC","CRI","11804","PreservedSpecimen","Plantae","Rubiaceae","Bathysa","australis","Bathysa australis","(A.St.-Hil.) K.Schum.","Guilherme Lodetti","Guilherme Alves Elias; Robson dos Santos, Peterson T. Padilha & Guilherme Lodetti","Brasil","Santa Catarina","Grão Pará","Parque Estadual Serra Furada.","-49.389167","-28.188889","49º23'21''W","28º11'20''S","502","502","Floresta Ombrófila Densa Montana Habito: árvore","CRI009078","CRI009078_1 CRI009078_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:03-03","UNESC","CRI","418","PreservedSpecimen","Plantae","Rubiaceae","Bathysa","australis","Bathysa australis","(A.St.-Hil.) K.Schum.","Fátima E. Marcomin","V. Citadini-Zanette; F. E. Marcomin","Brasil","Santa Catarina","Tubarão",NA,"-49.007222","-28.467222","49º0'26''W","28º28'2''S",NA,NA,NA,"CRI009076","CRI009076","1990","01","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:03-03","UNESC","CRI","298","PreservedSpecimen","Plantae","Rubiaceae","Bathysa","australis","Bathysa australis","(A.St.-Hil.) K.Schum.","Piero Delprete","V. Citadini-Zanette; S. Caznok","Brasil","Santa Catarina","Siderópolis","Alto Rio Fiorita.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","Habito: arbórea","CRI009077","CRI009077_1 CRI009077_2","1992","01","10","1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:58-03","UNESC","CRI","12125","PreservedSpecimen","Plantae","Rubiaceae","Bathysa","australis","Bathysa australis","(A.St.-Hil.) K.Schum.","Schmitt, J","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","Brasil","Santa Catarina","Presidente Nereu","Braço do Solão.","-49.231389","-27.181389","49º13'53''W","27º10'53''S","533","533","Florística IFFSC e518b (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbórea; Fruto verde;","CRI010303",NA,"2010","03","16","2010","04","07","1730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","501312","PreservedSpecimen","Plantae","Rubiaceae","Bathysa","australis","Bathysa australis","(A.St.-Hil.) K.Schum.",NA,"P. G. Delprete","Brazil","Santa Catarina","Ilhota","Alto Morro Baú, estrada para Parque Morro Baú, ca. 5 km ante da sede do parque","-48.92","-26.83",NA,NA,"80","80","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501312","NY00501312_01","1998","12","02",NA,NA,NA,"6960","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","949016","PreservedSpecimen","Plantae","Rubiaceae","Bathysa","australis","Bathysa australis","(A.St.-Hil.) K.Schum.","P. G. Delprete","R. de Castro","Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama","-42.9672","-21.4597",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022890' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949016","NY00949016_01","2001","01","23",NA,NA,NA,"68","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01091790","PreservedSpecimen","Plantae","Rubiaceae","Bathysa","australis","Bathysa australis","(A.St.-Hil.) K.Schum.","C. M. Taylor","A. M. Amorim","Brazil","Minas Gerais","Santa Maria do Salto","Divisa entre Bahia e Minas Gerais. Fazenda Duas Barras. Reserva do Alto Cariri. Trilha da Divisa Bahia-Minas Gerais.","-40.0544","-16.4064",NA,NA,"950","950","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1218526' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091790","NY01091790_01","2006","02","09",NA,NA,NA,"5631","Magnoliophyta","Gentianales","South America",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","949017","PreservedSpecimen","Plantae","Rubiaceae","Bathysa","australis","Bathysa australis","(A.St.-Hil.) K.Schum.","P. G. Delprete","E. T. Neto","Brazil","Minas Gerais",NA,"Mariana, UHE Fumaça/Caldeirões. Margem esquerda do rib. Belchior.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022895' target='other'> <mi>dwc_moreinfo</mi></a>","NY00949017","NY00949017_01","1997","07","03",NA,NA,NA,"2615","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","538624","PreservedSpecimen","Plantae","Rubiaceae","Bathysa","australis","Bathysa australis","(A.St.-Hil.) K.Schum.","P. G. Delprete","R. Reitz","Brazil","Santa Catarina","Joinville","Estrada Dona Francisca, Joinvile","-48.8456","-26.3044",NA,NA,"600","600","pollen sample removed by E. Moreno, 10-Nov-94 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538624","NY00538624_01","1957","11","06",NA,NA,NA,"5598","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","538625","PreservedSpecimen","Plantae","Rubiaceae","Bathysa","australis","Bathysa australis","(A.St.-Hil.) K.Schum.",NA,"A. C. Filho","Brazil","São Paulo",NA,"Salesopolis, Casa Grande, Estaçao Biologica de Boraceia","-45.886229","-23.65179",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756432' target='other'> <mi>dwc_moreinfo</mi></a>","NY00538625","NY00538625_01","1981","12","08",NA,NA,NA,"705","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
