"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","250302","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","campinasana","suboppositifolia","Peperomia campinasana suboppositifolia","C.DC.","isotype","C. A. W. Schwacke","11253","1894","11","25","South America","Brazil","Minas Gerais","Ouro Preto","Ouro Preto","-43.5081","-20.2878","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00250302","NY00250302_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00559448","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","mandiocana",NA,"Peperomia mandiocana","Miq.",NA,"W. R. Anderson","36194","1972","02","18","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço; Serra do Cipo","-43.566908","-19.391522","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=189308' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559448","NY00559448_01","R. Callejas Posada","1225","1225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","559447","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","mandiocana",NA,"Peperomia mandiocana","Miq.",NA,"G. G. Hatschbach","43971","1981","08","26","South America","Brazil","Paraná","Antonina","Rio Lagoa Vermelha","-48.7117","-25.4286","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=189310' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559447","NY00559447_01","R. Callejas Posada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","559446","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","mandiocana",NA,"Peperomia mandiocana","Miq.",NA,"G. G. Hatschbach","44389","1981","11","17","South America","Brazil","Paraná","Morretes","Morro Grande","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=189309' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559446","NY00559446_01","R. Callejas Posada","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:10:13-03","NBC","NL-BOTANY","U 0068764","PreservedSpecimen","Plantae",NA,"Piperales","Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.","type","Martius CFP von",NA,NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200068764 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0068764","NL-U0068764","Yuncker TG",NA,NA,"Magnoliopsidae","67723 A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:41:36-03","UFJF","CESJ","54921","PreservedSpecimen","Plantae","Angiosperma",NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"F.S. Souza; F.R.G. Salimena; A.P.G. de Faria","807","2009","11","01","América do Sul","Brasil","Minas Gerais","Descoberto","Serra do Relógio, RPPN Alto da Boa Vista","-42.9674987792969","-21.4596996307373",NA,"Epífita e rupícola no interior de mata. Espiga verde e frutos negros.","CESJ054921",NA,"D. Monteiro",NA,NA,NA,NA,"2010","05","11991","auto",NA,NA,NA,NA,NA
"7","2020-11-09 19:01:10-03","UFJF","CESJ","68078","PreservedSpecimen","Plantae","Angiosperma",NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"S.G. Furtado; L. Menini Neto","302","2014","07","16","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Nanofloresta Nebular na Gruta do Cruzeiro","-43.896917","-21.712389",NA,"Epífita Folhas levemente discolores, caule matizado de vinho, inflorescência verde-clara com frutos castanhos","CESJ068078",NA,"L. Menini Neto; S.G. Furtado","1662","1662",NA,NA,"2014","07",NA,NA,"-43.896917","-21.712389",NA,NA,NA
"8","2019-11-21 14:41:36-03","UFJF","CESJ","8578","PreservedSpecimen","Plantae","Angiosperma",NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"L. Krieger","CESJ8578","1970","05","12","América do Sul","Brasil","Minas Gerais",NA,"Serra de Ibitipoca",NA,NA,NA,"Epífita, flores esverdeadas, folhas verdes.","CESJ008578",NA,"E.F. Guimarães; E. von S. Medeiros",NA,NA,NA,NA,"2004","09",NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:41:36-03","UFJF","CESJ","8630","PreservedSpecimen","Plantae","Angiosperma",NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"L. Krieger","CESJ8630","1970","05","12","América do Sul","Brasil","Minas Gerais",NA,"Serra de Ibitipoca",NA,NA,NA,"Na mata de galerias, epífitas, lugares úmidos e sombreados.","CESJ008630",NA,"E. von Sohsten",NA,NA,NA,NA,"2004","09",NA,NA,NA,NA,"29",NA,NA
"10","2020-06-30 18:32:43-03","UFJF","CESJ","25517","PreservedSpecimen","Plantae","Angiosperma",NA,"Piperaceae","Peperomia","mandioccana",NA,"Peperomia mandioccana","Miq.",NA,"R.C. Oliveira","s.n.","1991","11","02","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,"Na mata, sobre tronco morto.","CESJ025517",NA,"E.F.Guimarães; E.Medeiros",NA,NA,NA,NA,"2004","09","30417","auto",NA,NA,NA,NA,NA
