"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","relatedCatalogItem"
"1","2016-09-30 01:04:00-03","NY","NYBG","1127999","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","multiflora","Ouratea multiflora","K. Yamamoto","M. Kuhlmann","3360","1946","05","23","South America","Brazil","São Paulo","Paranapiacaba (via férrea São Paulo-Santos)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1274195' target='other'> <mi>dwc_moreinfo</mi></a>","NY01127999","NY01127999_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 15:20:00-03","NY","NYBG","02175579","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","multiflora","Ouratea multiflora",NA,"Schott","4189",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2324979' target='other'> <mi>dwc_moreinfo</mi></a>","NY02175579","NY02175579_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 09:00:00-03","NY","NYBG","1552248","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Ouratea","multiflora","Ouratea multiflora","K. Yamamoto","M. Kuhlmann","3360","1946","05","23","South America","Brazil","São Paulo","Paranapiacaba (via férrea São Paulo-Santos)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1927148' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552248","NY01552248_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:31:45-03","UFRJ","RFA","10628","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae","Ouratea","multiflora","Ouratea multiflora","K. Yamamoto","A.P. Duarte; E. pereira 9907","8894","1965","09","17",NA,"Brasil","Minas Gerais","Paraibuna",NA,"Arbusto 3 m de altura; flores amarelas","RFA47126",NA,"(Pohl) Engl.","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:21:56-03","UFBA","ALCB","131992","PreservedSpecimen","Plantae","Dicotyledon",NA,"Ochnaceae","Ouratea","multiflora","Ouratea multiflora",NA,"Baez, C; Fernandez, E; Lima, T; Rossetti, A; Rossetti, S","1242","2017","07","04","Southern America","Brasil","Rio de Janeiro","Reserva Biológica do Tinguá Rocio, Estrada do Imperador.",NA,"ca 4m de altura, semmi-umbrófila. Folhas glabras discolores, coriáceas. Pedicelo vino. Cálece amarelado a róseo. Pétalas amarelas. Anteras amarelas-alaranjadas.","ALCB048671","ALCB048671","(Pohl) Engl.","Petrópolis","-43.275833","-22.492778","-43.275833","-22.492778","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:17:15-03","ESALQ","ESA","123642","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ochnaceae","Ouratea","multiflora","Ouratea multiflora","Ivanauskas, N.M.","Colletta, G.D. ; Souza, V.C.","1030.0","2013","04","30",NA,"Brasil","São Paulo","Reserva Particular da Votorantim (CBA), Trilha da Serraria.",NA,"Árvore, 3m","ESA123642",NA,NA,"Tapiraí","-47.5","-23.9599990844727",NA,NA,NA,NA,"2013","04","30","41034","auto",NA,NA,NA,NA
"7","2020-11-04 12:17:15-03","ESALQ","ESA","69654","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ochnaceae","Ouratea","multiflora","Ouratea multiflora",NA,"Oliveira, A.A. et al.","3682.0","2000","04","24",NA,"Brasil","São Paulo",NA,NA,NA,"ESA069654","ESA069654",NA,"Mogi das Cruzes","-46.1883010864258","-23.5228004455566",NA,NA,NA,NA,NA,NA,NA,"28666","auto",NA,NA,NA,NA
"8","2020-11-04 12:17:15-03","ESALQ","ESA","29546","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ochnaceae","Ouratea","multiflora","Ouratea multiflora",NA,"Ivanauskas, N.M.","699.0","1996","01","21",NA,"Brasil","São Paulo",NA,NA,NA,"ESA029546","ESA029546",NA,"Pariquera-Açu","-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,NA,NA,NA,"17990","auto",NA,NA,NA,NA
"9","2020-11-04 12:17:15-03","ESALQ","ESA","105510","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ochnaceae","Ouratea","multiflora","Ouratea multiflora","Aguiar, O.T.","Aguiar, O.T.",NA,"2002","03","13",NA,"Brasil","São Paulo",NA,NA,NA,"ESA105510","ESA105510",NA,"São Miguel Arcanjo","-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,"2002","03","17","27904","auto",NA,NA,NA,NA
"10","2020-11-04 12:17:15-03","ESALQ","ESA","68273","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ochnaceae","Ouratea","multiflora","Ouratea multiflora",NA,"Oliveira, A.A. et al.","3621.0","2000","04","19",NA,"Brasil","São Paulo",NA,NA,NA,"ESA068273","ESA068273",NA,"São Sebastião","-45.4099998474121","-23.7600002288818",NA,NA,NA,NA,NA,NA,NA,"41977","auto",NA,NA,NA,NA
