"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","470509","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","paranaensis","Oxalis paranaensis","Lourteig","G. G. Hatschbach","42777","1980","03","04","South America","Brazil","Paraná","Sao José dos Pinhais","Rio Pequeno","-49.2064","-25.5347","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=599540' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470509","NY00470509_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-04 15:25:36-03","PUCPR","HUCP","25094","S","Plantae","Eudicotiledonea",NA,"Oxalidaceae","Oxalis","paranaensis","Oxalis paranaensis","Lourteig","Hatschbach, GG","20785","1969","01","17",NA,"Brasil","Paraná","São José dos Pinhais","Rio Pequeno","-49.2064018249512","-25.5347003936768",NA,"Subarbusto, 70cm, flor amarela. Do brejo.","HUCP00025094","HUCP00025094","Lourteig, A","Paratypus","45291","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:25:36-03","PUCPR","HUCP","16657","S","Plantae","Eudicotiledonea",NA,"Oxalidaceae","Oxalis","paranaensis","Oxalis paranaensis","Lourteig","Ribas, OS","4271","2002","01","29",NA,"Brasil","Paraná","São José dos Pinhais","Rio Pequeno","-49.2064018249512","-25.5347003936768",NA,NA,"HUCP00016047","HUCP00016047","Ribas, OS",NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-14 14:10:41-03","UFBA","ALCB","043341","PreservedSpecimen","Plantae","Dicotyledon",NA,"Oxalidaceae","Oxalis","paranaensis","Oxalis paranaensis","Lourteig","Ribas, OS","2739","1998","10","18","Southern America","Brasil","Paraná","São José dos Pinhais","Rio Pequeno","-49.2064018249512","-25.5347003936768",NA,"Ereta, flor amarela.","ALCB036720","ALCB036720","Hatschbach, G",NA,"45291","auto","1999",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-14 14:10:41-03","UFBA","ALCB","03460","PreservedSpecimen","Plantae","Dicotyledon",NA,"Oxalidaceae","Oxalis","paranaensis","Oxalis paranaensis","Lourteig","Ribas, OS; Barbosa, E; Pereira, LBS","1599","1996","11","07","Southern America","Brasil","Paraná","São José dos Pinhais","Rio Pequeno","-49.2064018249512","-25.5347003936768",NA,"Apoiante, 1,50m. Flor amarela.; Solo turfoso.","ALCB036719","ALCB036719","Hatschbach, G",NA,"45291","auto","1997",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:17:54-03","ESALQ","ESA","13877","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Oxalidaceae","Oxalis","paranaensis","Oxalis paranaensis",NA,"Hatschbach, G.","20785.0","1969","01","17",NA,"Brasil","Paraná","São José dos Pinhais",NA,"-49.2064018249512","-25.5347003936768",NA,NA,"ESA013877","ESA013877",NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 12:17:54-03","ESALQ","ESA","80470","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Oxalidaceae","Oxalis","paranaensis","Oxalis paranaensis","Lourteig","Ribas, O.S. et al.","4271.0","2002","01","29",NA,"Brasil","Paraná","São José dos Pinhais",NA,"-49.2064018249512","-25.5347003936768",NA,NA,"ESA080470","ESA080470","Ribas, O.S.",NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-07-02 14:42:46-03","JBP","HPL","5904","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","paranaensis","Oxalis paranaensis",NA,"H. Lorenzi","3183","2002","02","26",NA,"Brasil","PR","São José dos Pinhais","Coletado no Rio Pequeno em campo de altitude.",NA,"-25.573667",NA,NA,NA,NA,"H. Lorenzi",NA,NA,NA,"2002","02","26","48° 59' 85,3 W","25° 34' 25,2 S",NA,NA,NA
"9","2019-08-27 13:30:05-03","IAP","PACA-AGP","67923","PreservedSpecimen","Plantae","Magnoliophyta","Geraniales","Oxalidaceae","Oxalis","paranaensis","Oxalis paranaensis","Lourteig","R. Kummrow","2145","1982","12","28",NA,"Brasil","PR","São Jose dos Pinhais","Rio pequeno- Serra Azul","-49.2064018249512","-25.5347003936768",NA,"Erva em flor amarela","PACA067923",NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA,"Magnoliatae",NA,NA
"10","2019-08-27 13:30:05-03","IAP","PACA-AGP","86127","PreservedSpecimen","Plantae","Magnoliophyta","Geraniales","Oxalidaceae","Oxalis","paranaensis","Oxalis paranaensis","Lourteig","O. S. Ribas",NA,"2002","01","29",NA,"Brasil","PR","São José dos Pinhais",NA,"-49.2064018249512","-25.5347003936768",NA,"Erva ereta, flor amarela, solo turfoso e úmido Habitat: No vale entre colinas e vegetação baixa","PACA086127",NA,"O. S. Ribas",NA,"45291","auto","2002",NA,NA,NA,NA,"Magnoliatae",NA,NA
