"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","fieldNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","dayIdentified","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","260202","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stevia","riedelii","Stevia riedelii","Sch.Bip. ex Baker","type","L. Riedel","s.n.","1823","South America","Brazil","[Locality not clear in the handwriting on this recent written label.]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=96410' target='other'> <mi>dwc_moreinfo</mi></a>","NY00260202","NY00260202_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","260203","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stevia","riedelii","Stevia riedelii","Sch.Bip. ex Baker","type","L. Riedel","s.n.",NA,"South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=96409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00260203","NY00260203_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","861041","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stevia","riedelii","Stevia riedelii","Sch.Bip. ex Baker",NA,"L. Riedel","1278","1833","South America","Brazil","Piebanha pr. Sumidouro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930441' target='other'> <mi>dwc_moreinfo</mi></a>","NY00861041","NY00861041_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:51:43-03","NBC","NL-BOTANY","L.1821788","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Stevia","riedelii","Stevia riedelii","Sch.Bip. ex Baker",NA,"Riedel JGF",NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1821788 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1821788","NL-L1821788","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:24:27-03","MN","R","152067","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","riedelii","Stevia riedelii","Sch.Bip. ex Baker",NA,"Glaziou, A.F.M.","15095","1884",NA,"Brasil",NA,NA,"Plantas do Brasil Central","R000152067","R000152067_001",NA,"02","17","Rio de Janeiro","Petrópolis","-43.1786003112793","-22.5049991607666","36524","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:25:19-03","UNICAMP","UEC","74101","S","Plantae","Magnoliopsida",NA,"Asteraceae","Stevia","riedelii","Stevia riedelii","Sch.Bip. ex Baker",NA,"Marcondes-Ferreira, W; Silva, AA; Zanini, E; Belinello, R; Torres Jr, AH; Rizzatti, ACS","1161","1995",NA,"Brazil","Estrada de Igaçaba a Rifaina. Cerrado em solo com afloramento quartzitivo e beirando um riacho.",NA,"Flores brancas com fauce vermelha","UEC127279","UEC127279",NA,"05","04","São Paulo",NA,NA,NA,NA,NA,"Nakajima, JN","1998","09",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-05 16:45:19-03","UFOP","OUPR","31415","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","riedelii","Stevia riedelii","Sch.Bip. ex Baker",NA,"Pedrosa, L.G.","474","2018",NA,"Brasil","Próximo a Três Moinhos.",NA,"Erva, ca. 40cm. Flores brancas. Curso d'água.",NA,NA,NA,"06","23","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto","Nakajima, J.N.","2019","06",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:17:23-03","MBM","MBM","122636","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stevia","riedellii","Stevia riedellii","Sch. Bip. ex Baker",NA,"Sobral, M.; et al.; et al.","5688","1987","Southern America","Brazil","Nova Lima",NA,NA,"MBM122636","MBM122636",NA,"09",NA,"Minas Gerais","Nova Lima","-43.8466987609863","-19.9855995178223","29211","auto","Nakajima, J.N.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-10-02 03:56:18-03","MNHN","RECOLNAT_MNHN_P","P00704339","PreservedSpecimen",NA,NA,NA,"Asteraceae","Stevia","riedelii","Stevia riedelii","Sch.Bip. ex Baker","isotype","Riedel, L.",NA,NA,NA,"Brasilia","s.l.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00704339' target='other'> <mi>dwc_moreinfo</mi></a>","P00704339","P00704339_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"546",NA,NA,NA,NA,NA,NA,NA
"10","2015-09-04 05:32:03-03","MNHN","RECOLNAT_MNHN_P","P02677755","PreservedSpecimen",NA,NA,NA,"Asteraceae","Stevia","riedelii","Stevia riedelii","Sch.Bip. ex Baker",NA,"Glaziou, A.",NA,"1884",NA,"Brasil","Brésil. Minas, Araial de Ouro Branco. Minas Gerais, Sudeste, Brasil, América do Sul","hb",". . Donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02677755' target='other'> <mi>dwc_moreinfo</mi></a>","P02677755","P02677755_01",NA,"6","18","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"15095",NA,NA,NA,NA,NA,NA,NA
