"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","occurrenceRemarks","geoFlag","phylum","order","continentOcean","preparationType","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:25:26-03","UNESC","CRI","874","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis","(Vell.) Mart.","Marcos Sobral","Vanilde Citadini-Zanette","246","1990","05","16","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI003819","CRI003819",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:37-03","UNESC","CRI","5452","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis","(Vell.) Mart.","Marcos Sobral","A. S. W. Werncke",NA,"1996","10","22","Brasil","Santa Catarina","Braço do Norte",NA,"-49.165833","-28.275556","49º9'57''W","28º16'32''S","89","89","CRI003707","CRI003707",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:37-03","UNESC","CRI","5454","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis","(Vell.) Mart.","Marcos Sobral","Aurea S. Werche",NA,"1996","10","22","Brasil","Santa Catarina","Braço do Norte",NA,"-49.165833","-28.275556","49º9'57''W","28º16'32''S","231","231","CRI003709","CRI003709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:26-03","UNESC","CRI","13527","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis","(Vell.) Mart.","Alexandre Medeiros","Alexandre Medeiros",NA,"2017","08","12","Brasil","Santa Catarina","Balneário Camboriú","Praia do Estaleiro.","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"CRI012134",NA,"2017","08","12","8793","Coleta 445. Habito: Trepadeira","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 09:52:00-03","NY","NYBG","590612","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff; J. V. Monachino","W. A. Ducke","s.n.","1948","02","19","Brazil","Pernambuco","Recife","Suburb Dois Irmaos","-34.950715","-8.007784",NA,NA,NA,NA,"NY00590612","NY00590612_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258708' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"6","2016-09-29 09:52:00-03","NY","NYBG","590600","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","J. Nadeaud","s.n.","1862","09",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Telégrapho","-43.2075","-22.9031",NA,NA,NA,NA,"NY00590600","NY00590600_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258732' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","590598","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis","(Vell.) Mart.","A. E. Brant","R. Reitz","3969","1956","10","25","Brazil","Santa Catarina","Palhoça","Piloes","-48.694057","-27.77489",NA,NA,"150","150","NY00590598","NY00590598_01",NA,NA,NA,NA,"Lenho na xiloteca <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258710' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"8","2016-09-29 09:52:00-03","NY","NYBG","590602","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"L. B. Smith","L. B. Smith","7616","1956","11","13","Brazil","Santa Catarina","Ibirama","Along Rio Itajaí do Oeste above Ibirama","-49.5178","-27.0569",NA,NA,"100","150","NY00590602","NY00590602_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258711' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"9","2016-09-29 09:52:00-03","NY","NYBG","590613","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","R. de Lemos Fróes","12679/44","1942","11","14","Brazil","Bahia","Itambé","Salobinho","-40.6242","-15.245",NA,NA,NA,NA,"NY00590613","NY00590613_01 NY00590613_02",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258730' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"10","2016-09-29 09:52:00-03","NY","NYBG","590605","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","R. Reitz","1899","1954","07","01","Brazil","Santa Catarina","Itajaí","Morro da Fazenda","-48.6617","-26.9081",NA,NA,"150","150","NY00590605","NY00590605_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258720' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"11","2016-09-29 09:52:00-03","NY","NYBG","590606","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","R. M. Klein","1368","1955","05","12","Brazil","Santa Catarina","Itajaí","Cunhas","-48.6617","-26.9081",NA,NA,"10","10","NY00590606","NY00590606_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258721' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"12","2016-09-29 09:52:00-03","NY","NYBG","590610","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,"B. A. Krukoff","J. G. Kuhlmann","6470","1943","11","18","Brazil","Rio de Janeiro","Campos dos Goytacazes","Goitacazes, Rio Doce","-41.3242","-21.7544",NA,NA,NA,NA,"NY00590610","NY00590610_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258712' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
"13","2016-11-01 11:26:00-02","NY","NYBG","01096351","PreservedSpecimen","Plantae","Loganiaceae","Strychnos","trinervis","Strychnos trinervis",NA,NA,"A. C. Cervi","7249","1994","11","29","Brazil","Alagoas","Quebrangulo","Reserva Biológica de Pedra Talhada. Agreste, Area de transição Florestas Estacional Semidecidual/Decidual Contrafortes de Borborema,.","-36.42","-9.25",NA,NA,NA,NA,"NY01096351","NY01096351_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236478' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA
