"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","coordinatePrecision","geoFlag","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2020-09-23 10:42:33-03","E","E","100756","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","Bridgewater, S., Ratter, J.A., Filho, J.F. & Dias, T.","1999","08","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109917","<a href=http://data.rbge.org.uk/herb/E00100756 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:33-03","E","E","100459","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","Bridgewater, S., Ratter, J.A., Filho, J.F. & Dias, T.","1999","08","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109853","<a href=http://data.rbge.org.uk/herb/E00100459 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:33-03","E","E","9572","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca","1996","09","29","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:47891","<a href=http://data.rbge.org.uk/herb/E00009572 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00009572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:42:33-03","E","E","100481","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","Bridgewater, S., Ratter, J.A. & Filho, J.F.","1999","04","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109874","<a href=http://data.rbge.org.uk/herb/E00100481 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:42:33-03","E","E","268632","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","C.A. Pendry","1999","03","17","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:108101","<a href=http://data.rbge.org.uk/herb/E00268632 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00268632","640","La Paz","Sud Yungas","Valley of Rio Tamampaya, c. 10 km from Chulamani on road to La Paz","-67.606667","-16.385556","-67.606667","-16.385556","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2042702","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","B. Maguire","1954","12","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2192279' target='other'> <mi>dwc_moreinfo</mi></a>","NY02042702","40212","Roraima",NA,"Vista Geral, Río Cotinga",NA,NA,NA,NA,"720","720","Magnoliophyta","Fabales","Willd.","NY02042702_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00846445","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","T. N. Guedes","1958","02","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=924682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846445","523","Ceará",NA,"Serra do Araripe",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Fabales","Willd.","NY00846445_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00846450","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","E. P. Heringer","1980","01","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=924700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846450","3064","Distrito Federal","Brasília","BR-251 após a cachoeirinha.","-47.9294","-15.7797",NA,NA,NA,NA,"Magnoliophyta","Fabales","Willd.","NY00846450_01","J. F. B. Pastore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2042705","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","C. A. Cid Ferreira","1985","04","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2192282' target='other'> <mi>dwc_moreinfo</mi></a>","NY02042705","5473","Amazonas","Humaitá","BR 230. Rod. Transamazônica a 94 km de Humaitá, reserva indígena dos Tenharim.","-62.25","-6.916667",NA,NA,NA,NA,"Magnoliophyta","Fabales","Willd.","NY02042705_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00846478","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","H. S. Irwin","1966","07","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=924822' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846478","18058","Distrito Federal","Brasília","Sobradinho, ca. 20 km. E. of Brasília.","-47.8167","-15.6333",NA,NA,"1000","1000","Magnoliophyta","Fabales","Willd.","NY00846478_01","J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","634284","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","F. C. Hoehne",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=670071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634284","27182","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta","Fabales","Willd.","NY00634284_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00846460","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","W. R. Anderson","1973","03","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=924755' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846460","7775","Goiás","São João d'Aliança","3 km by road S of São João da Aliança. Serra Geral do Paraná.","-47.5","-14.73",NA,NA,"1040","1040","Magnoliophyta","Fabales","Willd.","NY00846460_01","J. J. Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","2042721","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","T. C. Plowman","1980","02","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2192300' target='other'> <mi>dwc_moreinfo</mi></a>","NY02042721","8992","Pará","Conceição do Araguaia","Redenção. Área of cerrado vegetation about 4 Km west of town center along highway PA-150","-50.066667","-8.033333",NA,NA,"200","200","Magnoliophyta","Fabales","Willd.","NY02042721_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00846500","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","G. T. Prance","1964","08","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=924940' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846500","58651","Tocantins",NA,"Road Estreita to Tocantinopólis.",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Fabales","Willd.","NY00846500_01","J. J. Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00856709","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","G. T. Prance","1964","10","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931025' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856709","59448","Mato Grosso","Barra do Garças","Chavantina [Xavantina] to Barra do Garças, 55 km north of Barra do Garças.","-52.2567","-15.8903",NA,NA,NA,NA,"Magnoliophyta","Fabales","Willd.","NY00856709_01","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00846418","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","L. Riedel",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=924504' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846418","s.n.","Mato Grosso","Cuiabá","(Cuyaba)","-56.043867","-15.612755",NA,NA,NA,NA,"Magnoliophyta","Fabales","Willd.","NY00846418_01","M. H. Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","754704","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","A. R. S. de Oliveira","1995","06","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=61340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00754704","626","Acre","Sena Madureira","Riozinho do Andirá, colocaçao Curitiba.","-68.1481","-9.7292",NA,NA,NA,NA,"Magnoliophyta","Fabales","Willd.","NY00754704_01","D. C. Daly; M. Silveira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00856710","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","G. Gardner","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931019' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856710","2041","Piauí",NA,"Piauhy",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Fabales","Willd.","NY00856710_01","A. W. Bennett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00846423","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","E. P. Heringer","1979","12","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=924546' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846423","2948","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,NA,NA,"Magnoliophyta","Fabales","Willd.","NY00846423_01","J. J. Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00846451","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","L. M. M. Carreira","1983","05","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=924704' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846451","969","Mato Grosso","Vila Bela de Santíssima Trindade","Estrada para a fazenda Formosa. Km 12",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Fabales","Willd.","NY00846451_01","J. F. B. Pastore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","634288","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","C. E. O. Lohmann","1992","05","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=670062' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634288","9","São Paulo","Moji-Guaçu","Reserva Biológica e Estaçao Experimental de Moji-Guaçu. Mata da Mariana",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Fabales","Willd.","NY00634288_01","C. E. O. Lohmann",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00846407","PreservedSpecimen","Plantae","Polygalaceae","Bredemeyera","floribunda","Bredemeyera floribunda","J. A. Ratter","1967","08","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=924405' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846407","355","Mato Grosso",NA,"4 km S. of Xavantina","-52.33","-14.73",NA,NA,NA,NA,"Magnoliophyta","Fabales","Willd.","NY00846407_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
