"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus","continentOcean","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","order"
"1","2021-03-01 16:25:14-03","UNICAMP","UEC","39959","S","Plantae","Magnoliopsida","Asteraceae","Senecio","hatschbachii","Senecio hatschbachii","Cabrera","Teles, AM","2007","09","17","Leitão Filho, HF; Martins, FR; Semir, J; Tamashiro, JY","17365","1985","05","04","Brazil","Minas Gerais","Conselheiro da Mata","Estrada Guinda. Conselheiro da Mata Km 176.","Subarbusto até 1m, capítulos com flores creme.","UEC130320","UEC130320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:25:14-03","UNICAMP","UEC","2956","S","Plantae","Magnoliopsida","Asteraceae","Senecio","hatschbachii","Senecio hatschbachii","Cabrera","Teles, AM","2007","09","17","Shepherd, GJ; Andrade, JB; Andrade, LS; Kinoshita, LS; Tamashiro, JY","3913","1976","12","01","Brazil","Minas Gerais","Diamantina","Estrada Diamantina a Corinto até 20 Km.","Subarbusto até 2,5m, capítulos amarelo-claro.; Campo rupestre e cerrado.","UEC130319","UEC130319","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:25:14-03","UNICAMP","UEC","27957","S","Plantae","Magnoliopsida","Asteraceae","Senecio","hatschbachii","Senecio hatschbachii","Cabrera","Teles, AM","2007","09","17","Menezes, NL; Semir, J; Furlan, A; Pirani, JR; Castro, NM","CFCR99","1980","07","18","Brazil","Minas Gerais","Diamantina","Estrada para Conselheiro, km 190","Subarbusto 1,50m. Capítulos roxo.; Mata","UEC093987","UEC093987","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:17:11-03","MBM","MBM","27038","PreservedSpecimen","Plantae",NA,"Asteraceae","Senecio","hatschbachii","Senecio hatschbachii","Cabr.","Cabrera, A.L.","1974",NA,NA,"Hatschbach, G.","30116","1971","08","09","Brazil","Minas Gerais","Santo Antônio do Itambé","Pico Itambé","Ereta, até 1,50m, capítulo creme. Beira do campo.; Ereta, até 1,50m, capítulo creme.; Beira do campo.","MBM027038","MBM027038","-43.3067016601562","-18.465799331665","19014","auto","ISOTYPE","Southern America","1800","1800",NA,NA,NA,NA
"5","2020-12-11 11:33:29-03","UFMG","BHCB","167194","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Senecio","hatschbachii","Senecio hatschbachii","Cabrera",NA,NA,NA,NA,"Machado, TM; Gomides, SC","553","2013","10","23","Brasil","Minas Gerais","Serro","Parque Estadual do Pico do Itambé","Herbáceo. Folhas com indumento alvo, flores amarelas.; Campo rupestre.","BHCB048527",NA,"-43.344722","-18.398056",NA,NA,NA,"Southern America","1962","1962","-43.344722","-18.398056",NA,NA
"6","2020-12-11 11:33:29-03","UFMG","BHCB","84437","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Senecio","hatschbachii","Senecio hatschbachii","Cabrera",NA,"2008","01",NA,"Souza, VC de; Souza, JP; Romão, GO; Araújo, AO","25426","2001","07","08","Brasil","Minas Gerais","Diamantina","Estrada entre Diamantina e Conselheiro Mata, 22km da Estrada Diamantina-Gouveia.","Afloramento rochoso (paredão) com campo arenoso adjacente; entre rochas. Herbáceo robusto, ca. 2m. Folhas esbranquiçadas. Flores amarelas. PRENSADO EM ÁLCOOL.; Afloramento rochoso (paredão) com campo arenoso adjacente; entre rochas. H","BHCB008948",NA,"-43.842778","-18.295278",NA,NA,NA,"Southern America","1180","1180","-43.842778","-18.295278",NA,NA
"7","2020-12-11 11:33:29-03","UFMG","BHCB","122209","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Senecio","hatschbachii","Senecio hatschbachii","Cabrera",NA,"2007","10","10","Kameyama, C; Zappi, DC; Prado, J","s.n.","1987","07","18","Brasil","Minas Gerais","Diamantina","Estrada para Conselheiro da Mata. Km 165.","Flora de Campos Rupestres. Entre pedras; solo arenoso; afloramento rochoso em campo rupestre. Capítulos amarelos.; Capítulos amarelos.; Flora de Campos Rupestres. Entre pedras; solo arenoso; afloramento rochoso em campo rupestre.","BHCB008949",NA,"-43.6002998352051","-18.2493991851807","101169","auto",NA,"Southern America",NA,NA,NA,NA,NA,NA
"8","2020-12-11 11:33:29-03","UFMG","BHCB","48313","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Senecio","hatschbachii","Senecio hatschbachii","Cabrera",NA,"2007",NA,NA,"Hatschbach, G; Hatschbach, M; Barbosa, E","68249","1998","07","25","Brasil","Minas Gerais","Diamantina","Rio Pardo., Rodovia Guinda-Conselheiro Mata.","Campo rupestre; afloramentos rochosos. Ereta, até 1,5m. Flor creme.; Ereta, até 1,5m, flor creme, campo rupestre, afloramento rochoso","BHCB006661",NA,"-43.6002998352051","-18.2493991851807","101169","auto",NA,"Southern America",NA,NA,NA,NA,NA,NA
"9","2019-10-07 09:11:59-03","UEFS","HUEFS","76704","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Senecio","hatschbachii","Senecio hatschbachii","Cabrera","A.M.Teles","2013","09",NA,"Souza, V.C.","25426","2001","07","08","Brasil","Minas Gerais","Diamantina","Estrada entre Diamantina e Conselheiro Mata, 22 km da estrada Diamantina - Gouveia","Alforamento rochoso (paredão) com campo arenoso adjacente.","HUEFS0076704","HUEFS0076704","-43.842778","-18.295278",NA,NA,NA,NA,"1180","1180","43W50'34''","18S17'43''","Asteranae","Asterales"
"10","2019-10-07 09:11:59-03","UEFS","HUEFS","39887","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Senecio","hatschbachii","Senecio hatschbachii","Cabrera","A.M.Teles","2013","09",NA,"Hatschbach, G.","68249","1998","07","25","Brasil","Minas Gerais","Diamantina","Rodovia Guinda - Conselheiro Mata, Rio Pardo.","Campo rupestre, afloramentos rochosos.","HUEFS0039887","HUEFS0039887","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,NA,NA,NA,NA,"Asteranae","Asterales"
