"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","yearIdentified","monthIdentified","dayIdentified","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00864621","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.","F. O. Zuloaga","G. J. Shepherd","3916","1976","12","01","South America","Brazil","Minas Gerais","Estrada Diamantina a Corinto até 20 km.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957127' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864621","NY00864621_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","662724","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.","F. O. Zuloaga; O. Morrone","S. A. Mori","11941","1979","06","12","South America","Brazil","Bahia","Rod. BR 030, trecho Ubaitaba/Maraú, 45-50 km a leste de Ubaitaba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568813' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662724","NY00662724_01","Maraú","-39.02","-14.18","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","662722","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.","F. O. Zuloaga","R. P. Belém","2431","1966","06","28","South America","Brazil","Bahia","Canavieiras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662722","NY00662722_01","Canavieiras","-38.94","-15.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","662721","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"M. A. Chase","8307","1925","01","17","South America","Brazil","Rio de Janeiro","Alto de Itatiaia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662721","NY00662721_01",NA,NA,NA,"2000","2200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","662723","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.","G. Davidse","H. S. Irwin","32392","1971","02","17","South America","Brazil","Bahia","Serra do Tombador. Ca. 18km E. of Morro do Chapéu","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=568814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662723","NY00662723_01",NA,NA,NA,"1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-08 11:09:52-03","UNESP-IBB","BOTU","16232","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.","Sendulsky, T.","Janssen, A.","3","1980","05","28",NA,"Brasil","Amazonas","em todos os campos",NA,NA,"BOTU016232",NA,"Humaitá","-63.166667","-7.516667",NA,NA,"63º10'w","07°31's",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:53:57-03","EAO","IAN","64839","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"Widgren","s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais",NA,NA,NA,"IAN064839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:53:57-03","EAO","IAN","65864","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"Netto, L","1879","1879",NA,NA,"Southern America","Brasil","São Paulo","Campo Bocayna.",NA,NA,"IAN065864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:53:57-03","EAO","IAN","66964","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.","Pilger, R","Markgraf, F","3462","1938","12",NA,"Southern America","Brasil","Minas Gerais","Serra do Grão Mongol.",NA,NA,"IAN066964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:53:57-03","EAO","IAN","67811","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.","Chase","Barreto, M","12240","1938","11","12","Southern America","Brasil","Minas Gerais",NA,NA,NA,"IAN067811",NA,"Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:53:57-03","EAO","IAN","62590","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","subulatum","Panicum subulatum","Spreng.",NA,"Chase, A","8307","1925","01","17","Southern America","Brasil","Rio de Janeiro","(Herbario do Jardim Botânico do Rio).",NA,NA,"IAN062590",NA,"Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA
