"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","imagecode","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","572330","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Elaeocarpaceae","Sloanea","obtusifolia","Sloanea obtusifolia","(Moric.) K.Schum.","D. A. Folli","86","1979","07","27","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD, Estr. 151, km 1,712, lado esquerdo","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=72618' target='other'> <mi>dwc_moreinfo</mi></a>","NY00572330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","572329","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Elaeocarpaceae","Sloanea","obtusifolia","Sloanea obtusifolia","(Moric.) K.Schum.","L. A. Mattos Silva","3134","1995","06","07","South America","Brazil","Bahia","Ilhéus","Campus da Universidade Estadual de Santa Cruz (UESC), km 16 da Rod. Ilhéus/Itabuna (BR 415)","-39.17","-14.8","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=72617' target='other'> <mi>dwc_moreinfo</mi></a>","NY00572329","40","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","214347","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Elaeocarpaceae","Sloanea","obtusifolia","Sloanea obtusifolia","(Moric.) K.Schum.","R. P. Belém","3422","1967","02","20","South America","Brazil","Bahia","Ilhéus","Centro de Pesquisas do Cacau--CEPEC. Ilhéus, Bahia","-39.2273659","-14.771874","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=72615' target='other'> <mi>dwc_moreinfo</mi></a>","NY00214347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","214346","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Elaeocarpaceae","Sloanea","obtusifolia","Sloanea obtusifolia","(Moric.) K.Schum.","R. P. Belém","3422","1967","02","20","South America","Brazil","Bahia","Ilhéus","Centro de Pesquisas do Cacau--CEPEC. Ilhéus, Bahia","-39.2273659","-14.771874","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=72614' target='other'> <mi>dwc_moreinfo</mi></a>","NY00214346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","572331","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Elaeocarpaceae","Sloanea","obtusifolia","Sloanea obtusifolia","(Moric.) K.Schum.","H. de F. Leitão Filho","1009","1970","04","30","South America","Brazil","São Paulo","Sao Paulo","Capital. Horto Florestal de Cantareira","-46.63","-23.5403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=72619' target='other'> <mi>dwc_moreinfo</mi></a>","NY00572331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-19 15:43:53-03","UNEB","HUNEB","1377","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Elaeocarpaceae","Sloanea","obtusifolia","Sloanea obtusifolia","Schum.","Mattos Silva, L.A.","3134","1995","06","07",NA,"Brasil","Bahia","Ilhéus","Campus da UESC, km 16 Rod. Ilhéus/Itabuna (BR 415).","-39.166667","-12.8",NA,"Solo argiloso.","HUNEB0001377","40","40","Dicotyledoneae","39W10'","12S48'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-19 15:43:53-03","UNEB","HUNEB","10786","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Elaeocarpaceae","Sloanea","obtusifolia","Sloanea obtusifolia",NA,"Guedes, M.L.","ALCB 61211","2003","02","10",NA,"Brasil","Bahia","Santa Cruz Cabrália","Extremo Sul Da Bahia. RPPN Veracel.","-39.016667","-16.266667",NA,NA,"HUNEB0010786",NA,NA,"Dicotyledoneae","39W1'0''","16S16'0''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:37:54-03","EAO","IAN","31109","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Elaeocarpaceae","Sloanea","obtusifolia","Sloanea obtusifolia","(Moric.) K.Schum.","Riedel, L","668",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN031109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2013-07-03 10:43:27-03","EBDA","BAH","9982","S","Plantae",NA,NA,"Elaeocarpaceae","Sloanea","obtusifolia","Sloanea obtusifolia","(Moric.) K. Schum.","L.A. Mattos Silva","3134","1995","07",NA,NA,"Brasil","Bahia","Ilhéus","Campus da Universidade Estadual de Santa Cruz (UESC), km 16 da Rod. Ilhéus/Itabuna (BR 415).","-39.166667","-14.8",NA,"Árvore, 25m alt. X 60cm diâm. Frutos imaturos e na fase de vez, cor verde e cobertos com espinhos, quando maduros mamtem a cor verde e tornam-se glabros. Sementes alaranjadas.",NA,"40","40",NA,"39W 10' 00","14S 48' 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-01-20 14:40:26-03","UPM","MACK","1195","PreservedSpecimen","Plantae",NA,NA,"Elaeocarpaceae","Sloanea","obtusifolia","Sloanea obtusifolia","(Moric.) K. Schum.","D. Sampaio","1600","2005","04","07",NA,"Brasil","ES","Linhares","Mata de tabuleiro.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,NA,NA,NA,NA,"D. Sampaio","2005","02","48094","auto",NA,NA,NA,NA,NA,NA
