"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","locality","decimalLongitude","decimalLatitude","county","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","individualCount","minimumElevationInMeters","maximumElevationInMeters","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","01193098","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","cavalcantei","Manilkara cavalcantei","Pires & Rodr.","T. D. Pennington","R. de Lemos Fróes","31586","1955","02","14","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1419032' target='other'> <mi>dwc_moreinfo</mi></a>","NY01193098","NY01193098_01 NY01193098_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01193097","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","cavalcantei","Manilkara cavalcantei","Pires & Rodr.","L. O. A. Teixeira","M. G. da Silva","5419","1980","06","07","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1419025' target='other'> <mi>dwc_moreinfo</mi></a>","NY01193097","NY01193097_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1551456","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","cavalcantei","Manilkara cavalcantei","Pires & Rodr.","T. D. Pennington","A. Vicentini","527","1994","05","10","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1330082' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551456","NY01551456_01","Reserva Florestal Ducke-Trilha Torre-Acará, próx. torre. Solo argiloso.","-59.9281883","-2.9548699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01193100","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","cavalcantei","Manilkara cavalcantei","Pires & Rodr.","T. D. Pennington","R. de Lemos Fróes","31690","1955","04","15","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1419035' target='other'> <mi>dwc_moreinfo</mi></a>","NY01193100","NY01193100_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01193101","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","cavalcantei","Manilkara cavalcantei","Pires & Rodr.","L. O. A. Teixeira","M. G. da Silva","5501","1980","06","14","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1419037' target='other'> <mi>dwc_moreinfo</mi></a>","NY01193101","NY01193101_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01193099","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","cavalcantei","Manilkara cavalcantei","Pires & Rodr.","T. D. Pennington","C. W. Smith","605","1941","05","09","South America","Brazil","Pará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1419034' target='other'> <mi>dwc_moreinfo</mi></a>","NY01193099","NY01193099_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01193185","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Manilkara","cavalcantei","Manilkara cavalcantei","Pires & Rodr.","J. M. Pires","A. S. L. da Silva","419","1980","06","28","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1330375' target='other'> <mi>dwc_moreinfo</mi></a>","NY01193185","NY01193185_01","Noroeste do Rio Jurua. Poço NEJI.","-66.8958","-4.88278","Carauarí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:49:12-03","EAO","IAN","165960","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Manilkara","cavalcantei","Manilkara cavalcantei","Pires & W.A.Rodrigues ex T.D. Penn.",NA,"Nascimento, JR; Silva, CF da","696","1994","12","22","Southern America","Brasil","Amazonas",NA,"Árvore de 32m x 30cm de DAP. Fuste cilíndrico; ritidoma espesso, persistente, pardo, com manchas brancas; ao corte vermelha, alburno branco-escuro; látex branco. Flores cremes.","IAN165960",NA,"Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Trilha Torre-Acará. Floresta de Vertente. Solo argiloso. Planta fichada: 2252-05.","-59.966667","-2.883333","Manaus","2007","-59.966667","-2.883333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:49:12-03","EAO","IAN","165960","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Manilkara","cavalcantei","Manilkara cavalcantei","Pires & W.A.Rodrigues ex T.D. Penn.",NA,"Nascimento, JR; Silva, CF da","696","1994","12","22","Southern America","Brasil","Amazonas",NA,"Árvore de 32m x 30cm de DAP. Fuste cilíndrico; ritidoma espesso, persistente, pardo, com manchas brancas; ao corte vermelha, alburno branco-escuro; látex branco. Flores cremes.","IAN165960",NA,"Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Trilha Torre-Acará. Floresta de Vertente. Solo argiloso. Planta fichada: 2252-05.","-59.966667","-2.883333","Manaus","2007","-59.966667","-2.883333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:49:12-03","EAO","IAN",NA,"PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Manilkara","cavalcantei","Manilkara cavalcantei","Pires & W.A.Rodrigues ex T.D. Penn.","Pires, JM","Aluízio de Souza, J","4","1968","04","23","Southern America","Brasil","Amazonas",NA,"Árvore de 25m de altura por 35cm de diâmetro.",NA,NA,"Reserva Florestal Ducke. Mata de terra firme, solo argiloso.","-60.0250015258789","-3.10193991661072","Manaus","1977",NA,NA,"09","138090","auto",NA,NA,NA,NA,NA,NA
