"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","imagecode","class","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","378039","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","pernambucensis","Couepia pernambucensis","Prance","G. T. Prance","T. S. dos Santos","322","1968","12","16","South America","Brazil","Bahia","Una","Fazenda Sao Rafael","-39.2481074","-15.2189248","sheet","Coleçao de madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=230555' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378039",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:36:47-03","EAO","IAN","84549","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Chrysobalanaceae","Couepia","pernambucensis","Couepia pernambucensis","Prance",NA,"Andrade-Lima, D de","1206","1954","01","14","Southern America","Brasil","Pernambuco","Recife","Mata dois irmãos, córrego da Sabiá, encosta Leste.","-34.8810997009277","-8.05389022827148",NA,"Árvore alta, Fl. alvas. Fol Lig. glaucas.","IAN084549","holotipo","18865","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-02-15 11:36:18-02","IPA","IPA","76470","S","Plantae","Plantae",NA,"Chrysobalanaceae","Couepia","pernambucensis","Couepia pernambucensis","Prance","Sothes, C.","Paiva, F.","3379","1967","01","17","Southern America","Brasil","Alagoas","Colônia Leopoldina",NA,"-35.7249984741211","-8.90888977050781",NA,"Árvore de grande porte; flor alva pequena e perfumada; fruto arredondado, amarelo, comestível pela paca.","IPA0076470",NA,"21331","auto","2008","03","27",NA,NA,NA,NA,NA,NA,NA
"4","2019-02-15 11:36:18-02","IPA","IPA","5531","S","Plantae","Plantae",NA,"Chrysobalanaceae","Couepia","pernambucensis","Couepia pernambucensis","Prance","Prance, G.T.","Andrade-Lima","53-1206","1953","04","14","Southern America","Brasil","Pernambuco","Recife","Dois Irmãos, mata, Córrego do Sabiá, encosta leste.","-34.8810997009277","-8.05389022827148",NA,"Árvore alta; flores alvas. Folhas lig. glaucas.","IPA0005531","ISOTYPE","18865","auto","1967","04",NA,"IPA0005531",NA,NA,NA,NA,NA,NA
"5","2021-01-04 11:58:10-03","UFRPE","PEUFR","985","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","pernambucensis","Couepia pernambucensis","Prance","J. T. Prance","A. Lima","1206","1953","01","14",NA,"Brasil","Pernambuco","Recife","Mata de Dois Irmãos, Córrego da Sabiá","-34.8810997009277","-8.05389022827148",NA,"Árvore alta; flores alvas; folhas ligeiramente glaucas. IPA nº 5531.","PEUFR000985","Isotype","18865","auto","1992","10","27","PEUFR000985_1",NA,NA,NA,NA,NA,NA
"6","2021-02-04 10:26:59-03","UFRPE","HST","1968","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","pernambucensis","Couepia pernambucensis","Prance","C.Sothes","F.Paiva","3379","1967","01","17",NA,"Brasil","Alagoas","Colônia de Leopoldina",NA,NA,NA,NA,"Árvore de grande porte; flor alva pequena e perfumada; fruto arredondado, amarelo, comestível pela paca.","HST001968",NA,NA,NA,"2008","03","27",NA,NA,NA,NA,NA,NA,NA
"7","2021-02-04 10:26:59-03","UFRPE","HST","3239","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","pernambucensis","Couepia pernambucensis","Prance","C.Sothes","F.Paiva","14862","1967","01","23",NA,"Brasil","Pernambuco","Maraial","Engenho Laranjeira","-35.8088989257812","-8.78250026702881",NA,"Material fértil.","HST003239",NA,"17320","auto","2008","03","27",NA,NA,NA,NA,NA,NA,NA
"8","2019-01-23 11:06:42-02","F","FMNH-SEEDPLANTS","V0053873F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Chrysobalanaceae","Couepia","pernambucensis","Couepia pernambucensis",NA,NA,"D. Andrade-Lima","53-1206","1953","1","14","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0053873F","Isotype",NA,NA,NA,NA,NA,"V0053873F_01","Dicotyledoneae",NA,NA,NA,NA,NA
"9","2020-07-23 12:02:51-03","CEPLAC","CEPEC","122647","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","pernambucensis","Couepia pernambucensis",NA,"Sem Informação","Martini, A.",NA,NA,NA,NA,NA,"Brasil","Bahia","URUÇUCA","Estrada de Serra Grande para Uruçuca. Área do inventário do plano manejo do Parque Estadual da Serra do Conduru. Mata da Torre do Celular.","-39.115","-14.499722",NA,"Individuo J 7.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W6'54","14S29'59","380","380",NA
"10","2020-07-23 12:02:51-03","CEPLAC","CEPEC","5084","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","pernambucensis","Couepia pernambucensis",NA,"G. T. Prance","T. S. dos Santos","322","1968","12","16",NA,"Brasil","Bahia","UNA","Faz. Sao Rafael.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,"36070","auto",NA,NA,NA,NA,NA,"0*0'99","99*99'99",NA,NA,"30/12/1979"
