"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","relatedCatalogItem","monthIdentified","dayIdentified","relationshipType","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","498453","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.","F. Zapata","G. G. Hatschbach","39193","1976","11","18","South America","Brazil","Paraná","Piraí do Sul","Joaquim Murtinho","-49.9483","-24.5261","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=361588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498453","NY00498453_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","498446","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.","J. A. Kallunki","P. E. Gibbs","3442","1976","11","08","South America","Brazil","São Paulo","Cunha","Estrada Cunha a Parati","-44.852794","-23.155388","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=15693' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","498451","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.","F. Zapata","L. B. Smith","9075","1956","12","22","South America","Brazil","Santa Catarina","Caçador","Crest of Serra do Espigao, northeast of Caçador","-51.0147","-26.7756","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443193' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498451",NA,"1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1039819","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.","F. Zapata","L. R. Landrum","4031","1982","01","01","South America","Brazil","Paraná","Piraquara","Piraquara, from Piraquara E along railroad ca. 1 km and N along first road crossing railroad ca. 1 km","-49.08","-25.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1497308' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039819","NY01039819_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","498450","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.","F. Zapata","G. G. Hatschbach","23198","1969","12","12","South America","Brazil","Paraná","Sao José dos Pinhais","Rio Pequeno","-49.2064","-25.5347","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443195' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498450","NY00498450_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","498458","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.","F. Zapata","J. C. Lindeman","3986","1967","01","10","South America","Brazil","Paraná","Almirante Tamandaré","Parque Santa Maria near Tamandaré. 15 km N. of Curitiba","-49.31","-25.3247","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=622373' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498458","NY00498458_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","498454","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.","F. Zapata","P. K. H. Dusén","15954","1914","11","25","South America","Brazil","Paraná","Jaguariaíva","Jaguariahyva","-49.713647","-24.340602","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=361589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498454","NY00498454_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","498452","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.","F. Zapata","E. Pereira","8063","1963","11","22","South America","Brazil","Paraná",NA,"Araucária Tomaz Coelho",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443198' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498452",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","498449","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.","F. Zapata","E. Pereira","8063","1963","11","22","South America","Brazil","Paraná","Araucária","Araucária Tomaz Coelho","-49.4103","-25.5933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=443197' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498449","NY00498449_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","498438","PreservedSpecimen","Plantae","Magnoliophyta","Escalloniales","Escalloniaceae","Escallonia","farinacea","Escallonia farinacea","A.St.-Hil.","F. Zapata","G. J. Shepherd","12893","1981","09","08","South America","Brazil","São Paulo","Silveiras","Serra da Bocaina, km 25 estr. p/ faz.Pinheirinho","-44.8497","-22.66","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413302' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498438","NY00498438_01","1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
