"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","individualCount","class","order","typeStatus","minimumElevationInMeters","maximumElevationInMeters","imagecode","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","previousCatalogNumber"
"1","2021-03-30 12:47:48-03","EAO","IAN","134355","PreservedSpecimen","Plantae","Dicotiledônea","Rubiaceae","Ferdinandusa","nitida","Ferdinandusa nitida","Ducke","Anunciação, EA","2007","01","30","Silva, NT da","2530","1969","07","29","Southern America","Brasil","Pará","Região do Rio Jarí, Rio Branco, campo cerrado, km 12. terra firme.","Arbusto de 80cm; flor amarelada.","IAN134355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2009-07-16 15:43:00-03","MO","MOBOT","100201355","PreservedSpecimen","Plantae",NA,"Rubiaceae","Ferdinandusa","nitida","Ferdinandusa nitida","Ducke","E.A. Anunciação",NA,NA,NA,"A. Ducke","Ducke 17146",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2009-07-16 15:48:00-03","MO","MOBOT","100201362","PreservedSpecimen","Plantae",NA,"Rubiaceae","Ferdinandusa","nitida","Ferdinandusa nitida","Ducke","E.A. Anunciação",NA,NA,NA,"A. Ducke","Ducke 17273",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","1441594","PreservedSpecimen","Plantae",NA,"Rubiaceae","Ferdinandusa","nitida","Ferdinandusa nitida","Ducke",NA,NA,NA,NA,"A. Ducke","17146","1918","7","28","South America - Neotropics","Brazil","Pará","Montealgre, Serra Itauajury.",NA,"US00131296","1","Dicotyledonae","Rubiales","Isotype","300","300","US00131296_01",NA,NA,NA,NA,NA
"5","2019-09-04 18:23:30-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Ferdinandusa","nitida","Ferdinandusa nitida",NA,NA,NA,NA,NA,"A. Ducke","17146","1918","7","28","South America","Brazil",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"Isotype",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA
"6","2019-01-23 11:14:06-02","F","FMNH-SEEDPLANTS","V0069191F","PreservedSpecimen","Plantae","Spermatophyta","Rubiaceae","Ferdinandusa","nitida","Ferdinandusa nitida",NA,NA,NA,NA,NA,"A. Ducke","17146","1918","7","28","South America","Brazil",NA,NA,NA,"V0069191F",NA,"Dicotyledoneae",NA,"Isotype",NA,NA,"V0069191F_01","-52.8731","-10.8339",NA,NA,NA
"7","2020-02-20 14:37:38-03","IAC","IAC","14831","S","Plantae",NA,"Rubiaceae-311.Cinchonoideae-Condamineeae","Ferdinandusa","nitida","Ferdinandusa nitida","Ducke","E.A. Anunciação","2007","02","10","R.L. Fróes","25306","1972","09","19",NA,"Brasil","Amazonas","Rio Urubu, Jatuarana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-08-23 11:00:13-03","NHMLondon","NHM-LONDON-BOT","BM000582164","S","Plantae",NA,"Rubiaceae","Ferdinandusa","nitida","Ferdinandusa nitida","Ducke","Elisete A. da Anunciação","2007","01","29","Walter Adolpho Ducke; b.1876; d.1959; Ducke","17146","1918","07","28",NA,"Brasil","Pará",NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/73c3faea20207f055a0654361103edc6b624612a/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"Isotype",NA,NA,NA,"-52.4957","-3.601317","-52.4957","-3.601317","NHMUK:ecatalogue:4691764"
"9","2016-08-23 11:00:13-03","NHMLondon","NHM-LONDON-BOT","BM000582168","S","Plantae",NA,"Rubiaceae","Ferdinandusa","nitida","Ferdinandusa nitida","Ducke","Elisete A. da Anunciação","2007","01","29","Walter Adolpho Ducke; b.1876; d.1959; Ducke","11894","1912","07","04",NA,"Brasil","Pará",NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/9d43cce62d35e4cbb1f2e573230f2ee351acf83b/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"Isolectotype",NA,NA,NA,"-52.4957","-3.601317","-52.4957","-3.601317","NHMUK:ecatalogue:4691780"
"10","2019-11-21 10:17:54-03","IBt","SP","57433","S","Plantae",NA,"Rubiaceae","Ferdinandusa","nitida","Ferdinandusa nitida","Ducke","Anunciação, EA","2007","02","10","Fróes, RL","25306","1949","09","19",NA,"Brasil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
