"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","phylum","order","typeStatus","continentOcean","locality","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:33:44-03","UNESC","CRI","4149","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","speciosa","Eugenia speciosa","Cambess.","Ribeiro, C.L.","2019","08","05","V. P. Boff","1995","11","28","Brasil","Santa Catarina","Araranguá","-49.492222","-28.935833","49º29'32''W","28º56'9''S","CRI005132","CRI005132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:44-03","UNESC","CRI","14321","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","speciosa","Eugenia speciosa","Cambess.","Fábio C. S. Vieira","2020","04","21","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","2017","10","23","Brasil","Santa Catarina","Araranguá","-49.32","-28.89","49º19'12''W","28º53'24''S","CRI013422","CRI013422","1306","13","13","flor branca Habitat: borda do fragmento Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","386735","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","macrocalyx","Calycorectes macrocalyx","Rusby",NA,NA,NA,NA,"H. H. Rusby","1921","09","12","Bolivia",NA,NA,NA,NA,NA,NA,"NY00386735","NY00386735_01","666","914.4","914.4","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=578532' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","isotype","South America","Bopi River Valley","sheet",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","386736","PreservedSpecimen","Plantae","Myrtaceae","Calycorectes","macrocalyx","Calycorectes macrocalyx","Rusby",NA,NA,NA,NA,"H. H. Rusby","1921","09","12","Bolivia",NA,NA,NA,NA,NA,NA,"NY00386736","NY00386736_01","666","914.4","914.4","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=578533' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","type","South America","Bopi River Valley","sheet",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00981391","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","macrocalyx","Eugenia macrocalyx","(Rusby) McVaugh","B. K. Holst",NA,NA,NA,"E. L. Taylor","1983","04","04","Brazil","Maranhão","Santa Luzia","-46.4","-4.05",NA,NA,"NY00981391","NY00981391_01","E1143",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1098564' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,"South America","Fazenda AGRIPEC (Varig Airlines). 7km. W of Buriticupu on BR222; 11 km. from entrance, along Fazenda road to Rio Pindare where Carajas railroad runs parallel to river. Collections made along the western boundary picada for 5 km","sheet",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1017335","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","speciosa","Eugenia speciosa","Cambess.",NA,NA,NA,NA,"P. E. Gibbs","1976","11","10","Brazil","São Paulo","São Sebastião","-45.4097","-23.7603",NA,NA,"NY01017335","NY01017335_01","3519",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205938' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,"South America","Bertiago.","sheet",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","594860","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","speciosa","Eugenia speciosa","Cambess.","M. Sobral",NA,NA,NA,"G. G. Hatschbach","1967","08","26","Brazil","Paraná","Tapejara","-52.8733","-23.7331",NA,NA,"NY00594860","NY00594860_01","16993",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479222' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,"South America","Tapejura; Bacia de Rio Paraná","sheet",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00981343","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","speciosa","Eugenia speciosa","Cambess.","B. K. Holst",NA,NA,NA,"Y. E. J. Mexia","1931","01","02","Brazil","Minas Gerais","Viçosa","-42.8817","-20.7542",NA,NA,"NY00981343","NY00981343_01","5472","710","710","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1098473' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,"South America","Viçosa. Fazenda do Paraiso; Pau de Paina","sheet",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00981320","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","speciosa","Eugenia speciosa","Cambess.","B. K. Holst",NA,NA,NA,"Y. E. J. Mexia","1930","11","04","Brazil","Minas Gerais","Viçosa","-42.8817","-20.7542",NA,NA,"NY00981320","NY00981320_01","5249","700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1098476' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,"South America","Viçosa. Fazenda do Paraiso; Pau de Paina","sheet",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","594896","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","speciosa","Eugenia speciosa","Cambess.","M. Sobral",NA,NA,NA,"D. S. D. de Araújo","1979","10","11","Brazil","Espírito Santo",NA,NA,NA,NA,NA,"NY00594896",NA,"15530",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479328' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales",NA,"South America","Praia do Morobá","sheet",NA,NA,NA,NA,NA,NA
