"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","individualCount","fieldNumber","infraspecificEpithet","typeStatus","relatedCatalogItem","previousCatalogNumber"
"1","2021-04-05 14:34:11-03","UNESC","CRI","14637","PreservedSpecimen","Plantae","Solanaceae","Brugmansia","suaveolens","Brugmansia suaveolens","(Willd.) Sweet","Magagnin, J. F. & Rosa, M. Z.","1997","10","04","Magagnin, J. F.; Rosa, M. Z.","1997","10","04","Brasil","Santa Catarina","Turvo","Morro chato","-49.681944","-28.928056","49º40'55''W","28º55'41''S","Planta herbácea tipica de mata ciliar, quando ingerida é venenosa; flores brancas , caule esverdeado. Habito: Herbácea","CRI013945","CRI013945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:11-03","UNESC","CRI","4218","PreservedSpecimen","Plantae","Solanaceae","Brugmansia","suaveolens","Brugmansia suaveolens","(Willd.) Sweet","Vanilde Citadini-Zanette",NA,NA,NA,"Valdemar P. Boff","1995","11","02","Brasil","Santa Catarina","Jacinto Machado",NA,"-49.761111","-29.000278","49º45'40''W","29º0'1''S",NA,"CRI007546","CRI007546","204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:11-03","UNESC","CRI","10607","PreservedSpecimen","Plantae","Solanaceae","Brugmansia","suaveolens","Brugmansia suaveolens","(Willd.) Sweet","Santos, R","2001","10","24","Santos, R.; Citadini-Zanette","2001","10","24","Brasil","Santa Catarina","Praia Grande","Aparados","-49.950278","-29.198611","49º57'1''W","29º11'55''S",NA,"CRI013700","CRI013700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:11-03","UNESC","CRI","438","PreservedSpecimen","Plantae","Solanaceae","Brugmansia","suaveolens","Brugmansia suaveolens","(Willd.) Sweet","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1990","05","16","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S",NA,"CRI007543","CRI007543","855","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:11-03","UNESC","CRI","12678","PreservedSpecimen","Plantae","Solanaceae","Brugmansia","suaveolens","Brugmansia suaveolens","(Willd.) Sweet","Renato Colares & Aline V. Guislon","2017","09","18","Alexandre Medeiros","2017","07","05","Brasil","Santa Catarina","Balneário Camboriú",NA,"-48.6347007751465","-26.9906005859375",NA,NA,"Coleta 545. Flor Branca.","CRI010892",NA,NA,NA,NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 13:30:00-03","NY","NYBG","88026","PreservedSpecimen","Plantae","Solanaceae","Brugmansia","suaveolens","Brugmansia suaveolens",NA,"M. M. Ponce",NA,NA,NA,"M. Ponce","1993","04","13","Ecuador","Napo",NA,"Jatun Sacha","-77.6","-1.07",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461536' target='other'> <mi>dwc_moreinfo</mi></a>","NY00088026",NA,"187","450","450",NA,NA,"Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01874294","PreservedSpecimen","Plantae","Solanaceae","Brugmansia","suaveolens","Brugmansia suaveolens","(Humb. & Bonpl. ex Willd.) Bercht. & J.Presl","S. D. Knapp",NA,NA,NA,"G. S. Silva","2012","09","24","Brazil","Bahia","Boa Nova","Parque Nacional de Boa Nova.","-40.2075004577637","-14.3625001907349",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2503793' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874294","NY01874294_01","152",NA,NA,"31265","auto","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2017-06-21 11:38:00-03","NY","NYBG","02681326","PreservedSpecimen","Plantae","Solanaceae","Datura","suaveolens","Datura suaveolens",NA,NA,NA,NA,NA,"E. W. Davis","1981","04","24","Ecuador","Napo",NA,"Confluence of Quiwado and Tiwaeno Rivers.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2973016' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681326","NY02681326_01","1054",NA,NA,NA,NA,"Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2016-09-27 18:15:00-03","NY","NYBG","656058","PreservedSpecimen","Plantae","Solanaceae","Datura","suaveolens","Datura suaveolens",NA,"W. Hoehne",NA,NA,NA,"W. Hoehne","1956","01","20","Brazil","São Paulo","Sao Paulo","Cidade Universitária.","-46.63","-23.5403",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=199606' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656058","NY00656058_01","s.n.",NA,NA,NA,NA,"Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","656053","PreservedSpecimen","Plantae","Solanaceae","Datura","suaveolens","Datura suaveolens","Humb. & Bonpl. ex Willd.",NA,NA,NA,NA,"J. L. Hage","1981","05","05","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilhéus/Itabuna (BR 415). Quadra D.","-39.2263","-14.7583",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=199610' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656053","NY00656053_01","646","50","50",NA,NA,"Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
