"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","coordinatePrecision","geoFlag","phylum","recordNumber","continentOcean","occurrenceRemarks","class","order","individualCount","minimumElevationInMeters","typeStatus"
"1","2021-04-05 14:33:29-03","UNESC","CRI","2722","PreservedSpecimen","Plantae","Fabaceae","Aeschynomene","fructipendula","Aeschynomene fructipendula","Abruzzi de Oliveira","A. Burkart","R. Reitz; R. M. Klein","1959","01","20","Brasil","Santa Catarina","Itajaí","-48.670833","-26.910556","48º40'15''W","26º54'38''S","CRI002558","CRI002558",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-14 10:01:30-03","FURB","FURB","1391","PreservedSpecimen","Plantae","Fabaceae","Aeschynomene","fructipendula","Aeschynomene fructipendula","Abruzzi de Oliveira","Sobral, M","Sobral, M.","2001","12","01","Brasil","Rio Grande do Sul","Osório","-50.2696990966797","-29.8866996765137",NA,NA,"FURB01602","FURB01602","2001","12","01","BR 101.","27350","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-21 19:34:34-03","UFC","EAC","21448","PreservedSpecimen","Plantae","Fabaceae","Aeschynomene","fructipendula","Aeschynomene fructipendula","Abruzzi de Oliveira","Abruzzi, M.L.","Abruzzi, M.L.","1992","03","20","Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,"EAC0021448","EAC0021448","1992","03","20","Condomínio Jardim da Lagoa, Margem da lagoa do Palmital.",NA,NA,"Dicotyledon","s.n.","Southern America","Arbusto ca. 3m de altura.;Frutos pendentes; Flor Amarela.; Lacustre",NA,NA,NA,NA,NA
"4","2020-12-21 16:25:13-03","MBM","MBM","324475","PreservedSpecimen","Plantae","Fabaceae","Aeschynomene","fructipendula","Aeschynomene fructipendula","M.L.A. Oliveira",NA,"Sobral, M.; et al.; et al.","2001","11",NA,"Brazil","Rio Grande do Sul","Osório","-50.2696990966797","-29.8866996765137",NA,NA,"MBM324475","MBM324475",NA,NA,NA,NA,"27350","auto",NA,"9521","Southern America","Região de mata atlântica. Arbusto 2-3 m, em banhado à beira da BR 101; flores amarelas; frutos maduros castanhos",NA,NA,NA,NA,NA
"5","2020-12-21 16:25:13-03","MBM","MBM","316930","PreservedSpecimen","Plantae","Fabaceae","Aeschynomene","fructipendula","Aeschynomene fructipendula","M.L.A. Oliveira","Cordeiro, J.; Costa, E.F.","Sobral, M.; et al.; et al.","2001","12",NA,"Brazil","Rio Grande do Sul","Osório","-50.2696990966797","-29.8866996765137",NA,NA,"MBM316930","MBM316930","2006",NA,NA,"Rod. BR 101","27350","auto",NA,"s.n.","Southern America","Arbusto, 2-3m, flor amarela, fruto maduro castanho. Mata atlântica",NA,NA,NA,NA,NA
"6","2020-12-21 16:25:13-03","MBM","MBM","271306","PreservedSpecimen","Plantae","Fabaceae","Aeschynomene","fructipendula","Aeschynomene fructipendula","M.L.A. Oliveira",NA,"Sobral, M.; et al.; et al.","2001","11",NA,"Brazil","Rio Grande do Sul","Osório","-50.2696990966797","-29.8866996765137",NA,NA,"MBM271306","MBM271306",NA,NA,NA,"Rod. BR-101","27350","auto",NA,"9521","Southern America","= 266727",NA,NA,NA,NA,NA
"7","2020-12-21 16:25:13-03","MBM","MBM","266727","PreservedSpecimen","Plantae","Fabaceae","Aeschynomene","fructipendula","Aeschynomene fructipendula","M.L.A. Oliveira",NA,"Sobral, M.; et al.; et al.","2001","11",NA,"Brazil","Rio Grande do Sul","Osório","-50.2696990966797","-29.8866996765137",NA,NA,"MBM266727","MBM266727 MBM266727_1",NA,NA,NA,"Rod. BR-101","27350","auto",NA,"9521","Southern America","= 271306",NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","939699","PreservedSpecimen","Plantae","Fabaceae","Aeschynomene","fructipendula","Aeschynomene fructipendula","Abruzzi de Oliveira",NA,"E. H. Ule","1889","1",NA,"Brazil","Santa Catarina",NA,NA,NA,NA,NA,"US02045832","US02045832_01",NA,NA,NA,"An feuchter, offenen Stellen bei Tubarao, Pr. St. Catharina",NA,NA,NA,"1018","South America",NA,"Dicotyledonae","Rosales","1",NA,NA
"9","2020-09-12 05:00:02-03","US","US","3304787","PreservedSpecimen","Plantae","Fabaceae","Aeschynomene","fructipendula","Aeschynomene fructipendula","Abruzzi de Oliveira",NA,"-- Reitz & Klein, --","1959","1","20","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"US02045578","US02045578_01",NA,NA,NA,"Itajai, Banhado.",NA,NA,NA,"8289","South America",NA,"Dicotyledonae","Rosales","1","3",NA
"10","2019-11-01 14:58:17-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Fabaceae","Aeschynomene","fructipendula","Aeschynomene fructipendula","Abruzzi de Oliveira","Antunes, LLC","Antunes, LLC; Souza, AO","2018","01","26","Brasil","Rio Grande do Sul","Osório","-50.106944","-29.873889","-50.106944","-29.873889",NA,NA,"2018","01","26","RS-396",NA,NA,"Dicotyledoneae","2542","Southern America","Arbusto ereto, ca. 3 m altura, flor amarela, cálice mais longo que o estandarte, verde, ramos glabros; banhado do rio Tranmandaí",NA,NA,NA,NA,NA
