"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","occurrenceRemarks","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","monthIdentified","continentOcean","coordinatePrecision","barcode","imagecode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","typeStatus"
"1","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","1701","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Amaryllidaceae","Griffinia","cf. paubrasilica","Griffinia cf. paubrasilica","Ravenna","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-26 18:06:52-03","CPAN-UFMS","COR","8924","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","paubrasilica","Griffinia paubrasilica","Ravenna","Erva, 30-50 cm de altura; flor alva, ápice lilás Habito: Erva","Ravenna, P.","1999","Hatschbach, G.","69792","1997","10","07","Brasil","Bahia","Pau Brasil","Fazenda Pau-Brasil","-39.651389","-15.464722","39º39'5''W","15º27'53''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:27:21-03","UFBA","ALCB","112216","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Amaryllidaceae","Griffinia","paubrasilica","Griffinia paubrasilica","Ravenna","20cm, folhas discolores, tépalas com base alva e margem e ápice rosa.","Moura, L; Rodrigues, AR; Campos, L","2012","PROUFBA","96","2012","07","31","Brasil","Bahia","Salvador","Campus Ondina-UFBA.","-38.510799407959","-12.9710998535156",NA,NA,"09","Southern America","26018","ALCB006538","ALCB006538","auto",NA,NA,NA,NA
"4","2019-10-09 11:27:21-03","UFBA","ALCB","118110","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Amaryllidaceae","Griffinia","cf. paubrasilica","Griffinia cf. paubrasilica","Ravenna","Escapo floral esbranquiçado. Flores passadas. Frutos jovens verdes.","Guedes, ML","2015","Guedes, ML; Alves, M; Costa, TF; Alunos de Botânica Econômica","23169","2014","11","29","Brasil","Bahia","Porto Seguro","Extremo Sul, Refugio Ecocapivara, Caminho para Trancoso.","-39.291667","-16.414722","-39.291667","-16.414722","02","Southern America",NA,"ALCB006537","ALCB006537",NA,"115","115",NA,NA
"5","2019-10-09 11:27:21-03","UFBA","ALCB","108658","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Amaryllidaceae","Griffinia","paubrasilica","Griffinia paubrasilica","Ravenna","20cm de altura, folhas discolores, tépalas com base alva e margem e ápice rosa.","Rodrigues, AR; Campos, L","2013","PROUFBA","96","2012","07","31","Brasil","Bahia","Salvador","UFBA- Campus Ondina.","-38.5","-12.966667","-38.5","-12.966667","05","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:00:12-03","JBP","HPL","336","S","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","pau-brasilica","Griffinia pau-brasilica","Ravenna",NA,"H. Lorenzi","2002","H. Lorenzi","3530","2002","11","05","Brasil","BA","Pau-Brasil","Em Mata Atlântica e cultivada na sapitanduva em Morretes.",NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,"05",NA
"7","2019-08-27 13:26:19-03","IAP","PACA-AGP","86762","PreservedSpecimen","Plantae","Magnoliophyta","Liliatae","Liliales","Amaryllidaceae","Griffinia","paubrasilica","Griffinia paubrasilica","P. Ravenna","flor alva, ápice lilás, alt. 30-50m, loco classico; Habitat: floresta atlântica","P. Ravenna","1999","Hatschbach, G.","69792","1997","10","07","Brasil","BA","Pau Brasil","Fazenda Pau Brasil","-39.6511001586914","-15.4642000198364",NA,NA,NA,NA,"26306","PACA086762",NA,"auto",NA,NA,NA,NA
"8","2021-03-01 16:18:54-03","UNICAMP","UEC","185653","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Griffinia","paubrasilica","Griffinia paubrasilica","Ravenna","herbácea bulbosa, ca. 30 cm de altura, flores alvas na base e lilases no ápice","Campos-Rocha, A","2014","Campos-Rocha, A; Dutilh, JHA","1508","2014","11","20","Brazil","Bahia","Itamaraju","em cultivo em propriedade particular no município de Mogi das Cruzes - SP, procedente da Fazenda Pau-Brasil","-39.5311012268066","-17.0391998291016",NA,NA,"11",NA,"55932","UEC109161","UEC109161","auto",NA,NA,"20",NA
"9","2021-03-01 16:18:54-03","UNICAMP","UEC","185657","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Griffinia","paubrasilica","Griffinia paubrasilica","Ravenna","herbácea bulbosa, ca. 30 cm de altura, flores alvas na base e lilás no ápice, frutos imaturos esverdeados","Campos-Rocha, A","2012","Campos-Rocha, A","963","2012","10","11","Brazil","Bahia","Itamaraju","em cultivo no Jardim Botânico Plantarum, proveniente da Fazenda Pau-Brasil","-39.5311012268066","-17.0391998291016",NA,NA,"10",NA,"55932","UEC109162","UEC109162","auto",NA,NA,"11",NA
"10","2021-03-01 16:18:54-03","UNICAMP","UEC","171096","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Griffinia","paubrasilica","Griffinia paubrasilica","Ravenna","Folhas manchadas de branco. Flores violeta intenso.",NA,NA,"Dutilh, JHA","s.n.","2003","11","11","Brazil","São Paulo","Nova Odessa","Cultivada no Instituto Plantarum, sem procedência.","-47.2900009155273","-22.7700004577637",NA,NA,NA,NA,"8440","UEC045173","UEC045173","auto",NA,NA,NA,NA
