"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","locality","identifiedBy","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","class","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","133529","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Bombax","marginatum","apaense","Bombax marginatum apaense","Hassl.","type","E. Hassler","410","1885","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00133529","NY00133529_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","133530","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Bombax","marginatum","apaense","Bombax marginatum apaense","Hassl.","type","E. Hassler","410","1885","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33183' target='other'> <mi>dwc_moreinfo</mi></a>","NY00133530","NY00133530_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","133531","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Bombax","marginatum","rupestre","Bombax marginatum rupestre","Hassl.","type","E. Hassler","6031",NA,"South America","Paraguay","sheet","Herb. DC. 1900. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628012' target='other'> <mi>dwc_moreinfo</mi></a>","NY00133531","NY00133531_01","Rupestribus Cordillera de Altos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00996791","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., A.Juss. & Cambess.) A.Robyns",NA,"H. S. Irwin","15090","1966","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117394' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996791","NY00996791_01 NY00996791_02","Serra do Morcêgo, Côrrego Estrema, ca. 40 km N.E. of Formosa","A. G. M. W. A. Robyns","04","20","Goiás","Formosa","-47.06965","-15.27769","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00996798","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"H. S. Irwin","24000","1969","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117416' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996798","NY00996798_01","Chapada dos Veadeiros, ca. 8 km south of Cavalcante","A. G. M. W. A. Robyns","03","07","Goiás","Cavalcante","-47.5","-13.87231","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00996809","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"A. F. Regnell","III.269","1861","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996809","NY00996809_01",NA,"A. G. M. W. A. Robyns",NA,NA,"Minas Gerais","Caldas","-46.3858","-21.9236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00996807","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"G. T. Prance","26162","1979","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117445' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996807","NY00996807_01","Transpantaneira Highway; 15 km after gateway.","J. A. Kallunki","06","12","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","402508","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"M. F. F. da Silva","1078","1983","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=211109' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402508","NY00402508_01","BR 010; Transamazônica, margem esquerda da rodovia, lugar Pedra Caida.","J. A. Kallunki","04","13","Maranhão","Carolina","-47.4692","-7.3331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00996803","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"H. S. Irwin","21157","1968","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117438' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996803","NY00996803_01","Ca. 5 km N. of Araguaína.","A. G. M. W. A. Robyns","03","14","Tocantins","Araguaína","-48.2","-7.15467","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","298835","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pseudobombax","marginatum",NA,"Pseudobombax marginatum","(A.St.-Hil., Juss. & Cambess.) A.Robyns",NA,"M. H. Nee","48323","1998","South America","Bolivia",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=211105' target='other'> <mi>dwc_moreinfo</mi></a>","NY00298835",NA,"Zone of massive red sandstone mountains along highway from Santa Cruz to Samaipata, 7 km (by winding road) SW of bridge over Río Laja [upstream extension of Río Bermejo], 7.7 km (by winding road) SW of bridge over Río Las Cruces (Río Vicoquín).","M. H. Nee","02","15","Santa Cruz","Florida","-63.73","-18.17","980","980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
