"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","502611","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea","minor","calycina","Rudgea minor calycina","(Benth.) Zappi","Schott","890d","South America","Brazil","Brasilia: Porto d'Estrella","sheet","Possible type of Rudgea calycina Benth., John Pruski, 1990: unlikely unless the collector Schott was written on the label in error <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200433' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502611","NY00502611_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-12 15:31:50-03","UFABC","HUFABC","001132","PreservedSpecimen","Plantae","Angiospermas",NA,"Rubiaceae","Rudgea","minor",NA,"Rudgea minor","(Cham.) Standl.","Bruniera, C P; Lobão, A Q; Saavedra, M M","428",NA,"Brasil","Horto Florestal, Mata do Rumo, mata de encosta.",NA,"Voucher para estudos moleculares; Arbusto ca 2m alt. Folhas cartáceas, discolores, estípulas apendiculadas. Estéril","HUFABC001132","HUFABC001132","Brunieira, C P","2011","2011","09","27","Rio de Janeiro","Rio de Janeiro","-43.241444","-22.969667","-43.241444","-22.969667","124","124",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-12 15:31:50-03","UFABC","HUFABC","001133","PreservedSpecimen","Plantae","Angiospermas",NA,"Rubiaceae","Rudgea","minor",NA,"Rudgea minor","(Cham.) Standl.","Bruniera, C P; Lobão, A Q; Santos, M F","425",NA,"Brasil","Parque Nacional da Tijuca, Setor floresta da Tijuca, trilha das Grutas, mata de encosta.",NA,"Voucher para estudos moleculares; Arbusto ca 1,6 m alt. Folhas cartáceas, discolores, estípulas apendiculadas. Estéril","HUFABC001133","HUFABC001133","Brunieira, C P","2011","2011","09","26","Rio de Janeiro","Rio de Janeiro","-43.2915","-22.953333","-43.2915","-22.953333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-12 15:31:50-03","UFABC","HUFABC","001136","PreservedSpecimen","Plantae","Angiospermas",NA,"Rubiaceae","Rudgea","minor",NA,"Rudgea minor","(Cham.) Standl.","Bruniera, C P; Lobão, A Q; Santos, M F","424",NA,"Brasil","Parque Nacional da Tijuca, Setor Floresta da Tijuca, trilha das grutas, mata de encosta.",NA,"Voucher para estudos moleculares; Arbusto ca 1,7 m alt. Folhas cartáceas, discolores, estípulas apendiculadas. Estéril.","HUFABC001136","HUFABC001136","Brunieira, C P","2011","2011","09","26","Rio de Janeiro","Rio de Janeiro","-43.2915","-22.953333","-43.2915","-22.953333","585","585",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-12 15:31:50-03","UFABC","HUFABC","001147","PreservedSpecimen","Plantae","Angiospermas",NA,"Rubiaceae","Rudgea","minor",NA,"Rudgea minor","(Cham.) Standl.","Bruniera, C P; Silva, W","734",NA,"Brasil","REBIO do Tinguá, Trilha da Catanuda, subindo pela represa da Serra Velha, floresta submontana e montana.",NA,"Voucher para estudos moleculares, fotos, prensada em álcool 70%.; Arbuso ca 1m alt. folhas cartáceas, discolores, lustrosas na face adaxial. Estéril.","HUFABC001147","HUFABC001147","Brunieira, C P","2012","2012","03","30","Rio de Janeiro","Nova Iguaçu","-43.416667","-22.583333","-43.416667","-22.583333",NA,NA,"03","30",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:16:07-03","ESALQ","ESA","139379","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","minor",NA,"Rudgea minor","(Cham.) Standl.","A.L. Scudeler; F.B. Piccolo; R. Parmigiani; C.G. Badari; M. Borda-Niño; I. Koch; R.R. Rodrigues & V.C. Souza","407.0",NA,"Brasil","Base dos Fuzileiros Navais da Ilha do Governador. Ao lado da casa de abrigo.",NA,"Arbusto ca. 2 m, frutos verdes.","ESA139379",NA,"R. Parmigiani","2017",NA,NA,NA,"Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","-43,159,195","-22,780,183",NA,NA,"05","23","57442","auto",NA,NA,NA,NA,NA
"7","2020-11-04 11:18:57-03","ESALQ","ESA","27645","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Rudgea","minor",NA,"Rudgea minor","(Cham.) Standl","Leitão Filho, H.F. et al.","34849.0",NA,"Brasil",NA,NA,NA,"ESA027645","ESA027645","Zappi, D.C.","2004","1996","02","07","São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"01","01","34265","auto",NA,NA,NA,NA,NA
"8","2020-11-04 12:16:07-03","ESALQ","ESA","141284","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","minor",NA,"Rudgea minor","(Cham.) Standl.","A.L. Scudeler; F.B. Piccolo; R. Parmigiani; C.G. Badari; M. Borda-Niño; I. Koch; R.R. Rodrigues & V.C. Souza","407.0",NA,"Brasil","Base dos Fuzileiros Navais da Ilha do Governador. Ao lado da casa de abrigo.",NA,"Arbusto ca. 2 m, frutos verdes.","ESA141284",NA,"R. Parmigiani","2017",NA,NA,NA,"Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","-43,159,195","-22,780,183",NA,NA,"05","23","57442","auto",NA,NA,NA,NA,NA
"9","2020-11-04 11:18:57-03","ESALQ","ESA","26164","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Rudgea","minor",NA,"Rudgea minor","(Cham.) Standl","Souza, V.C.; Souza, J.P.; Ivanauskas, N.M.; Duarte, A.R.; Eterovic, A.; Marques, O.A.V.","11099.0",NA,"Brasil","Ilha da Queimada Grande",NA,"Arbusto, até 3 m alt.; flores alvas; frutos avermelhados. Subosque.","ESA026164","ESA026164","Zappi, D.C.","2005","1996","04","11","São Paulo","Itanhaém","-46.7799987792969","-24.1800003051758",NA,NA,NA,NA,"01","01","26998","auto",NA,NA,NA,NA,NA
"10","2020-11-04 12:16:07-03","ESALQ","ESA","139578","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","minor",NA,"Rudgea minor","(Cham.) Standl.","Cornia, M. G. K., Silva, R. F; Nahssen, M. H. C; Fernandes, N. L; Alves, D. M; Souza, V. C; Rodrigues, R. R; Koch, I. Colletta, G.","405.0",NA,"Brasil","Ilha do Governador. Base de Fusileiros Navais. Floresta Ombrófila Densa",NA,"Frutos vináceos. Altura 1.5 m.","ESA139578",NA,"Bruniera C. P.","2017",NA,NA,NA,"Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","-43,160,600","-22,778,867",NA,NA,"06","25","57442","auto",NA,NA,NA,NA,NA
"11","2020-11-04 12:16:07-03","ESALQ","ESA","141048","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","minor",NA,"Rudgea minor","(Cham.) Standl.","Cornia, M. G. K.; Silva, R. F; Nahssen, M. H. C; Fernandes, N. L; Alves, D. M; Souza, V. C; Rodrigues, R. R; Koch, I. Colletta, G. D.","405.0",NA,"Brasil","Ilha do Governador. Base de Fusileiros Navais. Floresta Ombrófila Densa",NA,"Frutos vináceos. Altura 1.5 m.","ESA141048",NA,"Bruniera C. P.","2017",NA,NA,NA,"Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","-43,160,600","-22,778,867",NA,NA,"06","25","57442","auto",NA,NA,NA,NA,NA
"12","2020-11-04 11:18:57-03","ESALQ","ESA","94751","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Rudgea","minor",NA,"Rudgea minor","(Cham.) Standl","Farah, F.T. ; Gorenstein, M.R.","22.0",NA,"Brasil",NA,NA,NA,"ESA094751","ESA094751","Zappi, D.C.",NA,NA,NA,NA,"São Paulo","Itanhaém","-46.7799987792969","-24.1800003051758",NA,NA,NA,NA,NA,NA,"26998","auto",NA,NA,NA,NA,NA
"13","2019-07-26 11:41:16-03","IPA","IPA","45047","S","Plantae","Plantae",NA,"Rubiaceae","Rudgea","minor","minor","Rudgea minor minor","(Cham.) Standl.","Emygdio, L.; Rente, J.A.; Rente, J.A.","45047","Southern America","Brasil","Ilha da Queimada Grande, mata perto do Farol.",NA,"Abundante em toda mata. Arbusto; flores alvas.","IPA0045047",NA,"Zappi, D.","2004","1961","11","26","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-07-26 11:41:16-03","IPA","IPA","45057","S","Plantae","Plantae",NA,"Rubiaceae","Rudgea","minor","minor","Rudgea minor minor","(Cham.) Standl.","Emygdio, L.; Rente, J.A.; Rente, J.A.","45057","Southern America","Brasil","Ilha da Queimada Grande, orla da mata.",NA,"Arvoreta 4m; flor alva.","IPA0045057",NA,NA,NA,"1961","10","26","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-01 16:40:16-03","UNICAMP","UEC","134408","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","minor",NA,"Rudgea minor","(Cham.) Standl.","Souza, VC; Souza, JP; Ivanauskas, NM; Duarte, AR; Eterovic, A; Marques, OAV","11099",NA,"Brazil","Ilha da Queimada Grande",NA,"Arbusto, até 3m alt.; flores alvas; frutos avermelhados. Subosque.",NA,NA,"Zappi, DC","2005","1996","04","11","São Paulo","Itanhaém","-46.7799987792969","-24.1800003051758",NA,NA,NA,NA,NA,NA,"26998","auto",NA,NA,NA,NA,NA
"16","2021-03-01 16:40:16-03","UNICAMP","UEC","80585","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","minor",NA,"Rudgea minor","(Cham.) Standl.","Leitão Filho, HF; Rodrigues, RR; Santin, DA; Nave, AG; Sanchez, M; Mansano, VF; Seoane, CE","34849",NA,"Brazil","Ilha Anchieta - Trilha da Prainha.",NA,"Encosta atlântica. Árvore de 5m de altura, com frutos imaturos.",NA,NA,"Zappi, DC","2007","1996","02","07","São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA
"17","2021-03-01 16:40:16-03","UNICAMP","UEC","87907","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Rudgea","minor",NA,"Rudgea minor","(Cham.) Standl.","Goldenberg, F; Rezende, AA; et al.","32429",NA,"Brazil","Praia do Leste - Ilha Anchieta.",NA,"Árvore 7m. Frutos esverdeados.",NA,NA,NA,NA,"1994","12","14","São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA
"18","2020-11-27 17:10:14-03","UFPB","JPB","65835","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Rubiaceae","Rudgea","minor","minor","Rudgea minor minor","(Cham.) Standl.","Braga, JMA; Bovini, MG","3563","Southern America","Brasil","Topo do Morro da Boa Vista",NA,"; HABITAT: Mata seca de encosta litorâneam cume de costão rochoso voltado para o mar; DESC: Arvoreta, cerca de 4 metros de alt., saxícola e ciófila. Ramosa; folhas discolores e subcartáceas. Inflorescências numerosas, raque alva. Flor","JPB0065835",NA,"Bruniera, CP","2014","1996","10","09","Rio de Janeiro","Bairro do Recreio dos Bandeira",NA,NA,NA,NA,"359","359",NA,NA,NA,NA,NA,NA,NA,NA,NA
