"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","geoFlag","fieldNumber","preparationType","phylum","class","order","sex"
"1","2020-12-21 16:38:16-03","MBM","MBM","38870","PreservedSpecimen","Plantae","Orchidaceae","Brachystele","hatschbachii","Brachystele hatschbachii","Pabst","Pabst, G.","1976","01","27","HOLOTYPE","Hatschbach, G.","24709","1970","09","18","Southern America","Brazil","Paraná","Balsa Nova","Serra São Luiz do Purunã","-49.6356010437012","-25.5839004516602","27346","1100","1100","Campo limpo, flor alvecente. Junto a Poligala chaptalia, etc. Solo arenoso, levemente úmido. Raríssimo. Unicata; Flor alvecente.; Campo limpo, junto a Polygala, Chaptalia, etc. Solo arenoso, levemente úmido.","MBM038870","MBM038870","auto",NA,NA,NA,NA,NA,NA
"2","2018-01-02 16:46:57-02","MNHN","RECOLNAT_MNHN_P","P00362959","PreservedSpecimen",NA,"Orchidaceae","Stigmatosema","hatschbachii","Stigmatosema hatschbachii","(Pabst) Garay",NA,NA,NA,NA,NA,"Dusén, P.",NA,"1909","10","26",NA,"Brazil",NA,NA,"Parana: Serra do Mor Banhado",NA,NA,NA,NA,NA,"Séparé de Cyclopogon diversifolius <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00362959' target='other'> <mi>dwc_moreinfo</mi></a>","P00362959","P00362959_01",NA,"8826","hb",NA,NA,NA,NA
"3","2009-07-09 17:05:00-03","MO","MOBOT","2480144","PreservedSpecimen","Plantae","Orchidaceae","Stigmatosema","hatschbachii","Stigmatosema hatschbachii","(Pabst) Garay",NA,NA,NA,NA,NA,"Gert G. Hatschbach","Hatschbach 24709","1970","9","18","South America","Brazil","Paraná",NA,"Balsa Nova. Serra de São Luiz",NA,NA,NA,"1100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-07 09:19:49-03","UEFS","HUEFS","89667","PreservedSpecimen","Plantae","Orchidaceae","Brachystele","hatschbachii","Brachystele hatschbachii","Pabst",NA,NA,NA,NA,"Isótipo","Hatschbach, G.","24709","1970","09","18",NA,"Brasil","Paraná","Balsa Nova","Serra de São Luiz","-49.6356010437012","-25.5839004516602","27346","1100","1100",NA,"HUEFS0089667",NA,"auto",NA,NA,"Angiospermae","Lilianae","Asparagales",NA
"5","2010-08-16 16:44:12-03","AMES","HU-HERB","AMES 00082330","PreservedSpecimen","Plantae","Orchidaceae","Brachystele","hatschbachii","Brachystele hatschbachii","Pabst",NA,NA,NA,NA,"Type","G. G. Hatschbach","24709",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24709","Microscope slide",NA,NA,NA,"undetermined"
