"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","individualCount","occurrenceRemarks","coordinatePrecision","geoFlag","recordNumber","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","class"
"1","2021-04-05 14:25:04-03","UNESC","CRI","8086","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","kertesziae","Aechmea kertesziae","Reitz","Telma Elyta V. Azeredo","2008","08","11","Telma Elyta V. Azeredo","2008","08","04","Brasil","Santa Catarina","Pedras Grandes","Barragem do rio são Bento.","-49.185278","-28.436389","49º11'7''W","28º26'11''S","CRI001763","CRI001763",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","3469","S","Plantae","Bromeliaceae","Aechmea","kertesziae","Aechmea kertesziae","Reitz","Elton. C. M. Leme","2009","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta","Poales","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","169","S","Plantae","Bromeliaceae","Aechmea","kertesziae","Aechmea kertesziae","Reitz","Elton. C. M. Leme","2011","08",NA,"Jones Caldas da Silva;","1990","03",NA,"Brasil","Santa Cararina","Porto Belo","Praia do Mariscal","-48.5531005859375","-27.1578006744385",NA,NA,NA,NA,"Magnoliophyta","Poales","1","254","13032","auto",NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","208","S","Plantae","Bromeliaceae","Aechmea","kertesziae","Aechmea kertesziae","Reitz","Elton. C. M. Leme","2011","08",NA,"Alvim Seidel;",NA,NA,NA,"Brasil","Paraná","Castro",NA,"-50.0119018554688","-24.7910995483398",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,"254","50779","auto","Seidel1151",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","376329","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","kertesziae","Aechmea kertesziae","Reitz","R. C. Tardivo",NA,NA,NA,"A. C. Cervi","1996","04","04","Brazil","Santa Catarina","Balneário Camboriú","Estaleirinho","-48.65","-26.15",NA,NA,"NY00376329","NY00376329_01","Magnoliophyta","Poales",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=649962' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"6119","South America","sheet",NA,NA,NA,NA
"6","2021-01-14 15:25:32-03","MN","R","103002","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","kertesziae","Aechmea kertesziae","Reitz",NA,NA,NA,NA,"Smith, L.B. 5947; Reitz, R.","1952","02","25","Brasil","Santa Catarina","Laguna",NA,"-48.783333","-28.466667","48°47'W","28°28'S","R010000792","R010000792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:25:32-03","MN","R","193222","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","kertesziae","Aechmea kertesziae","Reitz",NA,NA,NA,NA,"Smith, L.B. 7299; Klein, R.M.","1956","11","04","Brasil","Santa Catarina","Itajaí",NA,"-48.6618995666504","-26.9078006744385",NA,NA,"R010000793","R010000793",NA,NA,NA,NA,"27253","auto",NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:32:45-03","UFJF","CESJ","62360","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","kertesziae","Aechmea kertesziae","Reitz","A.S.Mello","2011","05","08","A.Nuernberg; A.S.Mello","2011","05","08","Brasil","Santa Catarina","Bombinhas","Área de Relevante Interesse Ecológico Costeira de Zimbros.","-48.5169982910156","-27.1380004882812",NA,NA,"CESJ062360",NA,"Angiosperma",NA,NA,"Hábito: rupícola;Habitat: floresta atlântica de encosta; Flor: amarela com brácteas rosas.","11943","auto","178","América do Sul",NA,NA,NA,NA,NA
"9","2019-11-21 14:32:45-03","UFJF","CESJ","32135","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","kertesziae","Aechmea kertesziae","Reitz","E.M.C. Leme","1993","07",NA,"G.; M. Hatschbach; et al.","1992","08","21","Brasil","Santa Catarina","Imaruí","Fazenda São Paulo","-48.8199996948242","-28.3414001464844",NA,NA,"CESJ032135",NA,"Angiosperma",NA,NA,"Cálice vermelho, corola amarela. Afloramentos rochosos; mata de morro.","29971","auto","s.n.","América do Sul",NA,NA,NA,NA,NA
"10","2021-04-07 11:41:58-03","UFMS","CGMS","76606","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","kertesziae","Aechmea kertesziae","Reitz","G. Hatschbach",NA,NA,NA,"G. Hatschbach","1965","10","27","Brasil","Paraná","Guaratuba","Rio Bonito.","-48.5746994018555","-25.8827991485596",NA,NA,"CGMS1109594",NA,NA,NA,NA,"Brácteas vermelhas, flor amarela. Doação UPCB 5061. Habitat: Mata pluvial. Habito: Epífita.","41937","auto","12187",NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:19:02-03","UNICAMP","UEC","198755","S","Plantae","Bromeliaceae","Aechmea","kertesziae","Aechmea kertesziae","Reitz","Romanini, RP","2016","10","24","Romanini, RP; Martins, SE","2016","10","24","Brazil","Santa Catarina","Penha","Praia Vermelha.","-42.5975","-26.804444","-42.5975","-26.804444","UEC167161","UEC167161","Liliopsida",NA,NA,"Folhas largas, espinhos mais concentrado no ápice das folhas, bainha branca. Flores: brácteas e sépalas laranja, múcron marrom, pétalas amarelas, ovário sub-trígono. Frutos imaturos verdes, em maturação laranja, frutos maduros pretos",NA,NA,"400",NA,NA,"10","10",NA,NA
"12","2021-03-01 16:19:02-03","UNICAMP","UEC","198748","S","Plantae","Bromeliaceae","Aechmea","kertesziae","Aechmea kertesziae","Reitz","Romanini, RP","2016","10","24","Romanini, RP; Martins, SE","2016","10","24","Brazil","Santa Catarina","Penha","Praia Vermelha, no costão ao norte.","-42.596389","-26.802778","-42.596389","-26.802778","UEC167209","UEC167209","Liliopsida",NA,NA,"Folhas com bainhas brancas com mancha roxa. Pedúnculo vermelho, escuro na base, mais claro para o ápice, lanugem intensa, brácteas laranja-escuro. Flores: ovário laranja escuro, com lanugem, sépalas esverdeado-amareladas, múcron mar",NA,NA,"398",NA,NA,"10","10",NA,NA
"13","2020-10-14 10:00:03-03","FURB","FURB","14365","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","kertesziae","Aechmea kertesziae","Reitz","Costa, A","2010","09","29","Verdi, M.; Klettenberg, D.H. & Klemz, G.","2008","09","24","Brasil","Santa Catarina","Jacinto Machado","Tenente.","-49.86","-29.07","-49.8600000","-29.0700000","FURB19273","FURB19273",NA,NA,NA,"Florística IFFSC 10 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: epífita;",NA,NA,"2676",NA,NA,"80","80",NA,NA
"14","2020-10-14 10:00:03-03","FURB","FURB","20528","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","kertesziae","Aechmea kertesziae","Reitz","Costa, A","2010","09","29","Schmitt, J.L.; Cristofolini, C. & Caglioni, E.","2009","11","19","Brasil","Santa Catarina","Siderópolis","Serrinha.","-49.59","-28.62","-49.5900000","-28.6200000","FURB19267","FURB19267",NA,NA,NA,"Epífita IFFSC e47a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: epífita de arbórea; flor inflorescência verde",NA,NA,"613",NA,NA,"479","479",NA,NA
"15","2020-10-14 10:00:03-03","FURB","FURB","28101","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","kertesziae","Aechmea kertesziae","Reitz","Uribbe, FP","2011","10","27","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","2010","04","27","Brasil","Santa Catarina","Praia Grande","Trilha do Rio do Boi.","-50.0744445","-29.205","-50.0744445","-29.2050000","FURB19271","FURB19271",NA,NA,NA,"Epífita IFFSC e01a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita de arbórea; flor botão floral",NA,NA,"2026",NA,NA,"330","330",NA,NA
"16","2020-10-14 10:00:03-03","FURB","FURB","28103","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","kertesziae","Aechmea kertesziae","Reitz","Uribbe, FP","2011","10","26","Stival-Santos, A.; Legal, E.; Meyer, D. & Silveira, S.","2010","05","05","Brasil","Santa Catarina","Balneário Camboriú","Entorno do Parque Interpraias.","-48.6","-27","-48.6000000","-27.0000000","FURB19264","FURB19264",NA,NA,NA,"Florística IFFSC 642 (Erva Terrícola) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: erva terrícola; flor amarela",NA,NA,"2721",NA,NA,"140","140",NA,NA
"17","2020-10-14 10:00:03-03","FURB","FURB","39150","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","kertesziae","Aechmea kertesziae","Reitz","Funez, L.A.","2014","08","07","Funez, L.A.","2012","09","29","Brasil","Santa Catarina","Penha","Praia Vermelha.","-48.5977777","-26.8047222","-48.5977777","-26.8047222","FURB19265","FURB19265",NA,NA,NA,"Densa população em sub-bosque de restinga arbórea Habitat: Floresta Ombrófila Densa; restinga arbórea Habito: erva terrícola; flor pétalas amarelas",NA,NA,"973",NA,NA,"13","13",NA,NA
"18","2020-10-14 10:00:03-03","FURB","FURB","66336","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","kertesziae","Aechmea kertesziae","Reitz","Kassner-Filho, A.","2019","09","30","Kassner-Filho, A.","2019","09","30","Brasil","Santa Catarina","Itapema","Ilhota.","-48.5983333","-27.0683334","-48.5983333","-27.0683334","FURB66336","FURB66336",NA,NA,NA,"flor amarela Habitat: interior do fragmento Habito: epífita",NA,NA,"5537",NA,NA,"22","22",NA,NA
