"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","251730","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","saldanhai","Piper saldanhai","Yunck.","isotype","J. de Saldanha da Gama","s.n.","1849","South America","Brazil","Petropolis","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=473138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00251730","NY00251730_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-02 16:35:55-03","Cenargen","CEN","51631","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","saldanhai","Piper saldanhai","Yuncker",NA,"Júlio Antônio Lombardi","3111","1999",NA,"Brasil","Parque Estadual da Serra do Brigadeiro. 20°42'58- 20°43'19S e 42°29'09 - 42°29'02W.","Exsicatas","Mata Atlântica em diversos graus de perturbação. Folhas papiráceas, inflorescências verdes. Doação do Departamento de Botânica - ICB - UFMG. Herbário BHCB (48079).","CEN00051631","CEN00051631","E. G. Gonçalves","2001","09","07","10","MG","FERVEDOURO","-42.2789001464844","-20.7255992889404","20038","1400","1400","1","auto"
"3","2021-02-23 13:22:59-03","MN","R-TIPOS","52022a","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","saldanhai","Piper saldanhai","Yunck.","Isotypus","Saldanha da Gama, J.","s.n.","1849",NA,"Brasil",NA,NA,NA,"R000052022a","R000052022a_001","Guimarães, E.F.","2011",NA,NA,NA,"Rio de Janeiro","Petrópolis","-43.1786003112793","-22.5049991607666","36524",NA,NA,NA,"auto"
"4","2021-02-23 13:22:59-03","MN","R-TIPOS","52022","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","saldanhai","Piper saldanhai","Yunck.","Holotypus","Saldanha da Gama, J.","s.n.","1849",NA,"Brasil",NA,NA,NA,"R000052022","R000052022_001","Guimarães, E.F.","2011",NA,NA,NA,"Rio de Janeiro","Petrópolis","-43.1786003112793","-22.5049991607666","36524",NA,NA,NA,"auto"
