"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","stateProvince","preparationType","typeStatus","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:33-03","UNESC","CRI","11274","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","kleinii","Tibouchina kleinii","Wurdack","A. A. de Oliveira","2011","03","09","M. Verdi; J. Dognini, R.A. Rebelo","5896","2011","02","26","Brasil","Brasil","Região do Parque Eólico.","-49.66","-28.485","49º39'36''W","28º29'6''S","1335","1335","Estepe Ombrófila","CRI004446","CRI004446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1016785","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","kleinii","Tibouchina kleinii","Wurdack","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","61702","1995","02","17","Brazil","Urubici","Corvo Branco.","-49.5917","-28.015",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193138' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016785","NY01016785_01","Magnoliophyta","Myrtales","South America","Santa Catarina","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01164738","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","kleinii","Tibouchina kleinii","Wurdack","P. Guiamaraes",NA,NA,NA,"F. Almeda","9868","2009","03","19","Brazil","Urubici","About 2 km from Serra do Corvo Branco on the road to Urubici.","-49.38088","-28.05059",NA,NA,"996",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487699' target='other'> <mi>dwc_moreinfo</mi></a>","NY01164738","NY01164738_01","Magnoliophyta","Myrtales","South America","Santa Catarina","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","245774","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","kleinii","Tibouchina kleinii","Wurdack",NA,NA,NA,NA,"L. B. Smith","11249","1957","02","11","Brazil","Lajes","Ruderal, 1 km E of Indios","-50.3258","-27.8161",NA,NA,"800","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668097' target='other'> <mi>dwc_moreinfo</mi></a>","NY00245774","NY00245774_01","Magnoliophyta","Myrtales","South America","Santa Catarina","sheet","isotype",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","778184","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","kleinii","Tibouchina kleinii","Wurdack","P. J. F. Guimarães",NA,NA,NA,"L. B. Smith","12039","1957","03","11","Brazil","Rio Negrinho","7 km west of Rio Negrinho","-49.5181","-26.2544",NA,NA,"800","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668095' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778184","NY00778184_01","Magnoliophyta","Myrtales","South America","Santa Catarina","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","778185","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","kleinii","Tibouchina kleinii","Wurdack","J. J. Wurdack",NA,NA,NA,"R. Reitz","5267","1953","01","02","Brazil","Mafra","Mafra","-49.810717","-26.134487",NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778185","NY00778185_01","Magnoliophyta","Myrtales","South America","Santa Catarina","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","778186","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","kleinii","Tibouchina kleinii","Wurdack","J. J. Wurdack",NA,NA,NA,"G. G. Hatschbach","16104","1967","03","09","Brazil","Rio Negro","Lageado das Mortes","-49.7975","-26.1058",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=668094' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778186","NY00778186_01","Magnoliophyta","Myrtales","South America","Paraná","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-18 09:30:11-03","UNESP-IBB","BOTU","31282","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","kleinii","Tibouchina kleinii","Wurdack","Hatschbach, G.","2000",NA,NA,"Hatschbach, G.","61702","1995","02","17","Brasil","Urubici","Corvo Branco",NA,NA,"9999","9999",NA,NA,NA,"BOTU031282",NA,NA,NA,NA,"Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:25:26-03","PUCPR","HUCP","11851","S","Plantae","Melastomataceae","Tibouchina","kleinii","Tibouchina kleinii","Wurdack, JJ",NA,NA,NA,NA,"Molina, V","001","1997","05","29","Brasil","Curitiba","Barigui","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00014136","HUCP00014136","Eudicotiledonea",NA,NA,"Paraná",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:05:10-03","NBC","NL-BOTANY","WAG.1095149","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","kleinii","Tibouchina kleinii","Wurdack",NA,NA,NA,NA,"Hatschbach GG",NA,"1964","02","07","Brazil",NA,"Fragosos (mun. Pien) Paraná.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1095149 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1095149","NL-WAG1095149",NA,"Myrtales","Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
