"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","continentOcean","preparationType","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","typeStatus","eventTime","fieldNumber","infraspecificEpithet"
"11","2020-02-08 10:09:27-03","NBC","NL-BOTANY","L.2120271","PreservedSpecimen","Plantae",NA,"Oxalidales","Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Martius CFP von",NA,"1864","01","01","Brazil",NA,NA,"Brasilia, Sebartianopol.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2120271 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Southern America",NA,"NL-L2120271","NL-L2120271",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 10:09:27-03","NBC","NL-BOTANY","U.1471423","PreservedSpecimen","Plantae",NA,"Oxalidales","Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Maas PJM; Martinelli G",NA,"1977","10","21","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1471423 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Southern America",NA,"NL-U1471423","NL-U1471423",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 12:17:49-03","ESALQ","ESA","131241","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","36444.0","2013","04","16","Brasil","Rio de Janeiro","Seropédica","Fragmento 62 (TAV). Floresta Ombrófila Densa.","-22.6671","-43.7017",NA,NA,"Erva. Flores amarelas.",NA,NA,NA,"ESA131241","ESA131241","Souza, V.C.","149","149",NA,"2013","-22.6671","-43.7017",NA,NA,NA,NA,NA,NA
"14","2020-11-04 12:17:49-03","ESALQ","ESA","131243","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","36446.0","2013","04","16","Brasil","Rio de Janeiro","Seropédica","Fragmento 61 (TAV). Floresta Ombrófila Densa..","-22.6908","-43.7211",NA,NA,"Erva.",NA,NA,NA,"ESA131243","ESA131243","Souza, V.C.","141","141",NA,"2013","-22.6908","-43.7211",NA,NA,NA,NA,NA,NA
"15","2020-11-04 12:17:49-03","ESALQ","ESA","66119","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi.","Stehmann, J.R. ; Arantes, A.A.",NA,"1992","10","31","Brasil","Minas Gerais","Marliéria",NA,"-42.7322006225586","-19.7122001647949","28215",NA,NA,"auto",NA,NA,"ESA066119","ESA066119","Fiaschi, P.",NA,NA,NA,"2013",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 12:17:49-03","ESALQ","ESA","124656","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana",NA,"Martinelli, G.","10258.0","1905","06","06","Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232","20531",NA,NA,"auto",NA,NA,"ESA124656","ESA124656",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-01-14 15:32:50-03","MN","R","8019","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Glaziou, A.F.M.","6500","1872","08","22","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central",NA,NA,NA,"R000008019","R000008019_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-01-14 15:32:50-03","MN","R","70412","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Glaziou, A.F.M.; Netto, L.S.M. & Schwacke, C.A.W.",NA,"1881","09",NA,"Brasil","Rio de Janeiro","Cabo Frio",NA,"-42.0186004638672","-22.8794002532959","40069",NA,"Plantas do Brasil Central","auto",NA,NA,"R000070412","R000070412_001","Lourteig, A.",NA,NA,NA,"1958",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-01 16:37:31-03","UNICAMP","UEC","60118","S","Plantae","Magnoliopsida",NA,"Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Vieira, AOS; Yamamoto, K","26226","1992","05","02","Brazil","Rio de Janeiro","Magé","Bairro Paraíso., Centro de Primatologia do Rio de JAneiro (FEEMA), dentro da área do CEDAE. Mata úmida, atravessada por curso d' água.","-43.040599822998","-22.6527996063232","20531",NA,"Planta lenhosa; folhas com face infewrior às vezes vinosas, corola branco-esverdeada.","auto",NA,NA,"UEC109782","UEC109782","Abreu, MC",NA,NA,NA,"2009",NA,NA,"09","29",NA,NA,NA,NA
"20","2014-10-14 15:57:03-03","BS","M","M-0172307","S","Plantae","Magnoliophyta","Oxalidales","Oxalidaceae","Oxalis","mandioccana","Oxalis mandioccana","Raddi","Martius, C.F.P. von",NA,"1817","08","15","Brasil",NA,NA,"Habitat in subhumidis sylvaticis prope Mandioccam; Provinciae Sebastianopol.",NA,NA,NA,NA,NA,NA,NA,NA,"M0172307",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,"NOTATYPE","21:00",NA,NA
