"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:25:32-03","UNESC","CRI","14588","PreservedSpecimen","Plantae","Melastomataceae","Mouriri","chamissoana","Mouriri chamissoana","Cogn.","Peterson T. Padilha","2016","08","24","Peterson T. Padilha; Martin Molz","2015","11","20","Brasil","Santa Catarina","Itapoá","-48.616667","-26.1175","48º37'0''W","26º7'3''S","Habito: Arbustivo","CRI013893","CRI013893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","522645","PreservedSpecimen","Plantae","Melastomataceae","Mouriri","chamissoana","Mouriri chamissoana","Cogn.","R. Reitz",NA,NA,NA,"R. M. Klein","1957","11","28","Brazil","Santa Catarina","Vidal Ramos","-49.3556","-27.3919",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215664' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522645","NY00522645_01","Magnoliophyta","Myrtales","2218","South America","Sabiá","600","600","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","522651","PreservedSpecimen","Plantae","Melastomataceae","Mouriri","chamissoana","Mouriri chamissoana","Cogn.",NA,NA,NA,NA,"D. Restrepo","1991","11","08","Colombia","Caquetá",NA,"-72.5","-0.42",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522651","NY00522651_01","Magnoliophyta","Myrtales","411","South America","Region de Aracuara. Alrededores de la pista aérea","200","300","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","522639","PreservedSpecimen","Plantae","Melastomataceae","Mouriri","chamissoana","Mouriri chamissoana","Cogn.","R. Reitz",NA,NA,NA,"R. Reitz","1954","11","05","Brazil","Santa Catarina","Luiz Alves","-48.941177","-26.748537",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215662' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522639","NY00522639_01","Magnoliophyta","Myrtales","2272","South America","Braça Joaquim Luis Alves, Itajaí","300","300","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","522648","PreservedSpecimen","Plantae","Melastomataceae","Mouriri","chamissoana","Mouriri chamissoana","Cogn.","J. J. Wurdack",NA,NA,NA,"G. G. Hatschbach","1968","11","07","Brazil","Paraná","Morretes","-48.8342","-25.4769",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215672' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522648","NY00522648_01","Magnoliophyta","Myrtales","20223","South America","Col. Floresta","100","100","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","522649","PreservedSpecimen","Plantae","Melastomataceae","Mouriri","chamissoana","Mouriri chamissoana","Cogn.","J. J. Wurdack",NA,NA,NA,"G. G. Hatschbach","1966","11","18","Brazil","Paraná","Guaratuba","-48.5744","-25.8831",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215671' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522649","NY00522649_01","Magnoliophyta","Myrtales","15131","South America","Rio S. Joao, Porto Miranda",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","522642","PreservedSpecimen","Plantae","Melastomataceae","Mouriri","chamissoana","Mouriri chamissoana","Cogn.","J. J. Wurdack",NA,NA,NA,"R. Reitz","1956","03","22","Brazil","Santa Catarina","Luiz Alves","-48.941177","-26.748537",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215670' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522642","NY00522642_01","Magnoliophyta","Myrtales","2899","South America","Braço Joaquim, Luis Alves, Itajaí","400","400","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4218372","PreservedSpecimen","Plantae","Melastomataceae","Mouriri","chamissoana","Mouriri chamissoana","Cogn.",NA,NA,NA,NA,"F. Almeda","2004","11","12","Brazil","Rio de Janeiro",NA,"-42.49911499","-22.39369965",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451372' target='other'> <mi>dwc_moreinfo</mi></a>","NY04218372",NA,"Magnoliophyta","Myrtales","8806","South America","Serra do Mar. Macae de Cima road out of Nova Friburgo along the Macae river.","990","990","Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","522652","PreservedSpecimen","Plantae","Melastomataceae","Mouriri","chamissoana","Mouriri chamissoana paulistana","Hoehne",NA,NA,NA,NA,"F. C. Hoehne","1932","11","18","Brazil","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=590651' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522652","NY00522652_01","Magnoliophyta","Myrtales","29921","South America","Jardim Botanico",NA,NA,"sheet","paulistana",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","687335","PreservedSpecimen","Plantae","Melastomataceae","Mouriri","chamissoana","Mouriri chamissoana","Cogn.","R. Goldenberg",NA,NA,NA,"M. das G. L. Wanderley","1981","11","04","Brazil","São Paulo",NA,"-46.621883","-23.654505",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=874272' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687335","NY00687335_01","Magnoliophyta","Myrtales","402","South America","Capital, Reserva Biológica do Parque Estadual das Fontes do Ipiranga",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
