"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","geoFlag","monthIdentified","dayIdentified"
"1","2019-11-21 10:19:55-03","IBt","SP","440995","S","Plantae","Xyridaceae","Xyris","caparaoensis","Xyris caparaoensis","Wand.","Wanderley, MGL","2010","Paratype","Leoni, LS","5257","2003","02","21","Brasil","Minas Gerais","Alto Caparaó","Alto Caparaó. PARNA","-41.8683013916016","-20.4333000183105","21645","2330","2330","SP002850","SP002850","auto",NA,NA
"2","2019-11-21 10:19:55-03","IBt","SP","361436","S","Plantae","Xyridaceae","Xyris","caparaoensis","Xyris caparaoensis","Wand.","Wanderley, MGL","2004","Isotype","Leoni, LS","4092","1999","01","09","Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Picada para o Arrozal","-41.8683013916016","-20.4333000183105","21645","2200","2200","SP003031","SP003031","auto","11","08"
"3","2020-12-30 07:49:03-03","IBt","SP","445265","S","Plantae","Xyridaceae","Xyris","caparaoensis","Xyris caparaoensis","Wand.",NA,NA,NA,"Braga, JMA","4648","1998","01","02","Brasil","Minas Gerais","Caparaó",NA,"-41.9043998718262","-20.523099899292","15056",NA,NA,NA,NA,"auto",NA,NA
