"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","phylum","order","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber"
"1","2019-06-10 10:10:27-03","FZB-BH","CVJBFZB","4433","S","Plantae","Orchidaceae","Cycnoches","pentadactylum","Cycnoches pentadactylum","Carlos Alberto Ferreira Júnior","2018","09","14","2","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","04038817","PreservedSpecimen","Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4357480' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Lindl.","O. del Castillo","5015-2","1991","12","13","South America","Peru","Pasco","Oxapampa","near the road junction of Puerto Bermudezand Iscozacin in the Quebrada of Rio Cacazu","-75.046237","-10.243711","650","sheet","NY04038817","NY04038817_01",NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","04038816","PreservedSpecimen","Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4357477' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Lindl.","D. E. Bennett","4173-2",NA,NA,NA,"South America","Peru","Junín","Chanchamayo",NA,NA,NA,NA,"sheet","NY04038816","NY04038816_01",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","04038818","PreservedSpecimen","Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4357482' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Asparagales","Lindl.","O. del Castillo","5016-3","1991","12","13","South America","Peru","Pasco","Oxapampa","near the road junction of Puerto Bermudezand Iscozacin in the Quebrada of Rio Cacazu","-75.046237","-10.243711","650","sheet","NY04038818","NY04038818_01",NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:40:49-03","MN","R","44757","PreservedSpecimen","Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon","Rodrigues, J.B.",NA,NA,NA,NA,NA,NA,NA,"Lindl.","Rodrigues, J.B.",NA,"1881","04",NA,NA,"Brasil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-07-05 11:14:16-03","FFCLRP","LBMBP","895","S","Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,"Lindl.",NA,NA,NA,NA,NA,NA,"Brasil","Rondônia","Espigão d'Oeste",NA,"-61","-11.516667",NA,NA,NA,NA,"61°00'W","11°31'S",NA,NA,NA,NA
"7","2019-11-21 14:40:40-03","UFJF","CESJ","72430","PreservedSpecimen","Plantae","Orchidaceae","Cycnoches","pentadactylum","Cycnoches pentadactylum","L. Menini Neto","2019","03","07",NA,"Epífita entre 1m e 12m. Flores com sépalas e pétalas esverdeadas maculadas de castanho. Borda de floresta a margem de leito seco.","Angiosperma",NA,"Lindl.","D.E.F. Barbosa; G.A. Basilio","599","2019","03","06","América do Sul","Brasil","Minas Gerais","Itamarati de Minas","RPPN Usina Maurício, Floresta semidecidual","-42.832778","-21.470278","250",NA,"CESJ072430",NA,"-42.832778","-21.470278","250",NA,NA,NA
"8","2019-08-20 10:00:41-03","UNICAMP","UEC","140335","S","Plantae","Orchidaceae","Cycnoches","pentadactylon","Cycnoches pentadactylon",NA,NA,NA,NA,NA,"Data de floração: 25/VI/2004. Cultivado no Orquidário bela Vista.","Liliopsida",NA,"Lindl.","s/ coletor","s.n.",NA,NA,NA,NA,"Brazil","São Paulo","Assis","Cultivado no Orquidário bela Vista.","-50.4099998474121","-22.6599998474121",NA,NA,"UEC064369","UEC064369",NA,NA,NA,"23972","auto",NA
"9","2020-12-21 16:38:21-03","MBM","MBM","421142","PreservedSpecimen","Plantae","Orchidaceae","Cycnoches","pentadactylum","Cycnoches pentadactylum","Mazziero, F.F.F.","2019","02","01",NA,"Epífita no interior da floresta. Pétalas e sépalas verdes com máculas morrom-vináceas.; Vegetação secundária média/avançada",NA,NA,"Lindl.","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4173","2019","01","24","Southern America","Brazil","Minas Gerais","Bugre",NA,"-42.355278","-19.307778","69",NA,"MBM421142",NA,"-42.355278","-19.307778","69",NA,NA,NA
"10","2020-12-21 16:38:21-03","MBM","MBM","421028","PreservedSpecimen","Plantae","Orchidaceae","Cycnoches","pentadactylum","Cycnoches pentadactylum","Molina, J.M.P.","2019","01","12",NA,"Epífita.; Vegetação secundária média/avançada",NA,NA,"Lindl.","Molina, J.M.P.; Pujals, A.; Pujals, A.","312","2019","01","11","Southern America","Brazil","Minas Gerais","Sem Peixe",NA,"-42.801667","-20.136389","281",NA,"MBM421028",NA,"-42.801667","-20.136389","281",NA,NA,NA
