"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","identifiedBy","recordedBy","recordNumber","continentOcean","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","typeStatus"
"1","2020-08-20 14:59:47-03","UFSC","FLOR","64008","PreservedSpecimen","Plantae","Poales","Poaceae","Merostachys","caucaiana","Merostachys caucaiana","Send.","1978","01","19","Brasil","São Paulo","Cotia","Caucaia; Na mata.","-46.95","-23.483333","46º57'W","23º29'0''S","FLOR0064008","FLOR0064008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-08 12:53:48-03","UFRGS","ICN","153572","S","Plantae",NA,"Poaceae","Merostachys","caucaiana","Merostachys caucaiana","Send.","2006","12","07","Brasil","RS","São Francisco de Paula","estrada de Aratinga para Josafá","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"Monocotyledon","Schmidt, R","Schmidt, R","1446","América do Sul","76715","auto",NA,NA,NA,NA
"3","2019-11-21 10:15:56-03","IBt","SP","236273","S","Plantae",NA,"Poaceae","Merostachys","caucaiana","Merostachys caucaiana","Send.","1978","01","09","Brasil","São Paulo","Cotia","Na mata","-46.95","-23.65","-46.95","-23.65","SP034498","SP034498",NA,"Vinicius Silva, R","s.col.","s.n.",NA,NA,NA,"2017","06","29",NA
"4","2019-11-21 10:15:56-03","IBt","SP","262720","S","Plantae",NA,"Poaceae","Merostachys","caucaiana","Merostachys caucaiana","Send.","1978",NA,NA,"Brasil","São Paulo","Cotia","Caucaia","-46.9099998474121","-23.6000003814697",NA,NA,"SP002569","SP002569",NA,"Sendulsky, T","Menezes, N; Handro, O","s.n.",NA,"23869","auto","1995","01",NA,"Holotype"
