"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","class","scientificNameAuthorship","country","stateProvince","recordedBy","year","month","day","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","verbatimLatitude","infraspecificEpithet","recordNumber","barcode","imagecode","continentOcean","fieldNumber","preparationType"
"1","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","4102","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","caulescens","Cattleya caulescens","Carlos Alberto Ferreira Júnior","2017","05","15","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","2010","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","caulescens","Cattleya caulescens",NA,NA,NA,NA,"1","254","Equisetopsida","(Lindl.) Van den Berg","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4345","S","Plantae",NA,NA,"Orchidaceae","Cattleya","caulescens","Cattleya caulescens","Flavio Gontijo",NA,NA,NA,"3","254",NA,NA,"Brasil","Minas Gerais","Flávio Gontijo;","2018","03","13","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654770","33524","7764902","7764902","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","1560","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","caulescens","Cattleya caulescens","Carlos A. Ferreira Jr.","2011","03","14","1","254","Equisetopsida","(Lindl.) Van den Berg","Brasil","Minas Gerais",NA,"2011",NA,NA,"Nova Lima","Parque Estadual do Rola Moça","-43.8466987609863","-19.9855995178223",NA,"29211",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","1553","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","caulescens","Cattleya caulescens","Carlos A. Ferreira Jr.",NA,NA,NA,"2","254","Equisetopsida","(Lindl.) Van den Berg","Brasil","Minas Gerais",NA,NA,NA,NA,"Congonhas","Mina casa de Pedra","-43.8577995300293","-20.4997005462646","43°55'33","16368",NA,NA,"auto","20°27'42",NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","1561","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","caulescens","Cattleya caulescens","Carlos A. Ferreira Jr.","2011","03","14","1","254","Equisetopsida","(Lindl.) Van den Berg","Brasil","Minas Gerais",NA,"2011",NA,NA,"Nova Lima","Parque Estadual do Rola Moça","-43.8466987609863","-19.9855995178223",NA,"29211",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","1979","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","caulescens","Cattleya caulescens",NA,NA,NA,NA,NA,"254","Equisetopsida","(Lindl.) Van den Berg","Brasil","Minas Gerais","Rennó,C.V.;",NA,NA,NA,"Moeda","Serra da Moeda","-44.0527992248535","-20.3330993652344",NA,"14750",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","2101","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","caulescens","Cattleya caulescens",NA,NA,NA,NA,NA,"254","Equisetopsida","(Lindl.) Van den Berg","Brasil","Minas Gerais",NA,NA,NA,NA,"Nova Lima","Mina Capão Xavier","-43.8466987609863","-19.9855995178223",NA,"29211",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4340","S","Plantae",NA,NA,"Orchidaceae","Cattleya","caulescens","Cattleya caulescens","Flavio Gontijo",NA,NA,NA,"3","254",NA,NA,"Brasil","Minas Gerais","André Araujo;","2018","12","01","Mariana","Mina Samarco Alegria Sul -","-43.4160995483398","-20.377799987793","654770","33524","7764902","7764902","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","1989","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","caulescens","Cattleya caulescens var. alba occhioni",NA,NA,NA,NA,"1","254","Equisetopsida","(Lindl.) Van den Berg","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"var. alba occhioni",NA,NA,NA,NA,NA,NA
