"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00877827","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Klotzschia","rhizophylla","Klotzschia rhizophylla","Urb.","L. Constance","W. R. Anderson","36097","1972","02","17","South America","Brazil","Minas Gerais","Serra do Espinhaço, Serra do Cipó","-43.565347","-19.391335","1200","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944082' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877827","NY00877827_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00877818","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Klotzschia","rhizophylla","Klotzschia rhizophylla","Urb.","J. R. Pirani","J. R. Pirani","3943","1998","01","12","South America","Brazil","Minas Gerais","Estrada para Conselheiro Mata.","-43.6003","-18.2494","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877818","NY00877818_01","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00877817","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Klotzschia","rhizophylla","Klotzschia rhizophylla","Urb.",NA,"M. Alves","2169","2001","01","09","South America","Brazil","Minas Gerais","APA da Serra do Cipó, estrada para Conceiçao do Mato Dentro, entrada para a Cachoeira da Capivara","-43.7142","-19.1692","1300","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944052' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877817","NY00877817_01","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00877824","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Klotzschia","rhizophylla","Klotzschia rhizophylla","Urb.","L. Constance","H. S. Irwin","23058","1969","02","11","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 31 km N.E. of Francisco Sá, on road to Salinas","-43.26035","-16.4235","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944079' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877824","NY00877824_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01090463","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Klotzschia","rhizophylla","Klotzschia rhizophylla","Urb.","J. R. Pirani","J. R. Pirani","5164","2004","01","19","South America","Brazil","Minas Gerais","Serra Talhada (braço norte da Serra do Cipó) 9,6 km SW da estrada Congonhas do Norte- Gouveia, entrada a 3,7 km NW de Congonhas do Norte, estrada pelo alto da serra denominada localmente como Serra do Jõao Camilo ramal descendendo para o vale do Rio Preto","-43.7481","-18.8406","1304","1304","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222505' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090463","NY01090463_01","Congonhas do Norte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00877820","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Klotzschia","rhizophylla","Klotzschia rhizophylla","Urb.","L. de F. de Carvalho","E. Pereira","2894","1957","04","06","South America","Brazil","Minas Gerais","Serra do Cipó, quil. 140.",NA,NA,"1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944072' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877820","NY00877820_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00877821","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Klotzschia","rhizophylla","Klotzschia rhizophylla","Urb.","L. Constance","H. S. Irwin","22709","1969","01","27","South America","Brazil","Minas Gerais","Ca. 12 km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","-43.55","-18.18","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877821","NY00877821_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01090464","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Klotzschia","rhizophylla","Klotzschia rhizophylla","Urb.","J. R. Pirani","J. R. Pirani","5164","2004","01","19","South America","Brazil","Minas Gerais","Serra Talhada (braço norte da Serra do Cipó) 9,6 km SW da estrada Congonhas do Norte- Gouveia, entrada a 3,7 km NW de Congonhas do Norte, estrada pelo alto da serra denominada localmente como Serra do Jõao Camilo ramal descendendo para o vale do Rio Preto","-43.7481","-18.8406","1304","1304","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222512' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090464","NY01090464_01","Congonhas do Norte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00877822","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Klotzschia","rhizophylla","Klotzschia rhizophylla","Urb.","L. Constance","H. S. Irwin","20245","1968","02","16","South America","Brazil","Minas Gerais","Serra do Cipó, ca. km 132, (ca. 153km N. of Belo Horizonte).","-43.68","-18.57","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944077' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877822","NY00877822_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00877823","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Klotzschia","rhizophylla","Klotzschia rhizophylla","Urb.","L. Constance","H. S. Irwin","20650","1968","02","23","South America","Brazil","Minas Gerais","Serra do Espinhaço, at Lapinha, ca. 18km N. of Sêrro on road (MG 2) to Diamantina.","-43.55","-18.55","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944078' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877823","NY00877823_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
