"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordedBy","yearIdentified","monthIdentified","dayIdentified","identifiedBy","verbatimLongitude","verbatimLatitude","recordNumber","year","month","day","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","class","typeStatus","fieldNumber","sex"
"1","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","1162","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","minarum","Vriesea minarum","L.B.Sm.","Brasil","Minas Gerais","Nova Lima","Capão Xavier","-43.8466987609863","-19.9855995178223","29211","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","1216","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","minarum","Vriesea minarum","L.B.Sm.","Brasil","Minas Gerais","Congonhas","Morro da Bandeira","-43.8577995300293","-20.4997005462646","16368","1","254","auto","Miriam Pimentel Mendonça;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","1260","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","minarum","Vriesea minarum","L.B.Sm.","Brasil","Minas Gerais","Nova Lima","Capão Xavier","-43.8466987609863","-19.9855995178223","29211","1","254","auto",NA,"2007","12","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","1215","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","minarum","Vriesea minarum","L.B.Sm.","Brasil","Minas Gerais","Congonhas","Morro da Bandeira","-43.8577995300293","-20.4997005462646","16368","2","254","auto",NA,"2007","12","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","1096","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","minarum","Vriesea minarum","L.B.Sm.","Brasil",NA,NA,NA,NA,NA,NA,"1","254",NA,NA,"2007","11","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","1546","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","minarum","Vriesea minarum","L.B.Sm.","Brasil","Minas Gerais","Congonhas","Mina casa de Pedra","-43.8577995300293","-20.4997005462646","16368","1","254","auto",NA,NA,NA,NA,"Carlos A. Ferreira Jr.","43°55'33","20°27'42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","873394","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","minarum","Vriesea minarum","L.B.Sm.","Brazil","Minas Gerais",NA,"Serra do Espinhaço, near summit of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","-43.67613","-19.82237",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956117' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"H. S. Irwin",NA,NA,NA,"L. M. Versieux",NA,NA,"30248","1971","01","13","South America","1800","2000","sheet","NY00873394","NY00873394_01 NY00873394_02",NA,NA,NA,NA
"8","2020-01-28 13:11:07-03","MCN-PUC-MINAS","HPUC-MG","ANG5394","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","minarum","Vriesea minarum",NA,"Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666","22051",NA,NA,"auto","CB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-01-28 13:11:07-03","MCN-PUC-MINAS","HPUC-MG","ANG2090","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","minarum","Vriesea minarum",NA,"Brasil","Minas Gerais","Caeté","Serra da Piedade - Vertente Norte","-43.666667","-19.816667",NA,NA,"Flores e frutos amarelos. Topótipo.",NA,"M.F.Vasconcelos, L.N. Santos e D.L.H. Oliveira",NA,NA,NA,NA,"43º40'W","19º49'S","13-344","2013","04","26",NA,"1.6","1.6",NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:29:42-03","UFRJ","RFA","28646","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","minarum","Vriesea minarum","L.B.Sm.","Brasil","Minas Gerais","Sabará","Serra da Piedade, Pedra Rachada","-43.8067016601562","-19.8864002227783","18805",NA,"Rupícola heliófila. Folhas velhas marcescentes, planta florida com 75 cm altura. Folhas com ápice seco e com máculas roxas. Escapo vinho tornando-se amarronzado próx. à inflorescência. Brácteas escapais roxas na base e castanho-claro am","auto","L.M. Versieux; J.M. Versieux; L. Mota; R.M. Versieux","2004","05","09","L.M. Versieux",NA,NA,"176","2004","05","09",NA,"1600","1600",NA,"RFA51356",NA,NA,NA,NA,NA
"11","2020-06-29 11:29:42-03","UFRJ","RFA","31437","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","minarum","Vriesea minarum","L.B.Sm.","Brasil","Minas Gerais","Belo Horizonte","Fundação Zoobotânica de Belo Horizonte. Cultivada na estufa de plantas de canga","-43.937801361084","-19.9207992553711","17082",NA,"Planta florida com 80 cm altura, roseta com 22 cm altura, folhagem verde. Inflorescência com 22 cm altura, escapo vinho. Brácteas florais ligeiramente vinho com bordos verde-amarelado. Cálice e corola amarelos, sépalas com a base vináce","auto","L.M. Versieux","2004","07","06","L.M. Versieux",NA,NA,"205","2004","07","06",NA,NA,NA,NA,"RFA51353",NA,NA,NA,NA,NA
