"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","typeStatus","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","02107728","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Sterculia","striata","Sterculia striata","A.St.-Hil. & Naudin","G. G. Hatschbach","67658","1998","03","11","South America","Brazil","Bahia","Boquira","Serra Geral, Serra do Brejo Grande","-42.73","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2252127' target='other'> <mi>dwc_moreinfo</mi></a>","NY02107728","NY02107728_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00968920","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Sterculia","striata","Sterculia striata","A.St.-Hil. & Naudin","G. G. Hatschbach","49118","1985","03","16","South America","Brazil","Mato Grosso do Sul","Antônio João","Descida p/ Campestre.","-55.9472","-22.1911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1054364' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968920","NY00968920_01","G. G. Hatschbach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00968895","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Sterculia","striata","Sterculia striata","A.St.-Hil. & Naudin","J. A. Ratter","R379","1967","08","17","South America","Brazil","Mato Grosso","Nova Xavantina","Circa 3 km SW of [Nova] Xavantina.","-52.33","-14.73","sheet","[See fruit collection]. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1053728' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968895","NY00968895_01","J. A. Ratter","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00968892","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Sterculia","striata","Sterculia striata","A.St.-Hil. & Naudin","H. S. Irwin","19186","1968","01","25","South America","Brazil","Goiás","Cocalzinho de Goiás","50 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.","-48.6","-15.57","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1053718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968892","NY00968892_01","J. A. Kallunki","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02107735","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Sterculia","striata","Sterculia striata","A.St.-Hil. & Naudin","R. Spruce","s.n.","1850","04",NA,"South America","Brazil","Pará",NA,"In vicinibus Santarem","-54.740486","-2.449614","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2252136' target='other'> <mi>dwc_moreinfo</mi></a>","NY02107735","NY02107735_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02107733","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Sterculia","striata","Sterculia striata","A.St.-Hil. & Naudin","M. H. Nee","34557","1987","03","29","South America","Brazil","Rondônia","Costa Marques","Ca. 5 Km. NW of Costa Marques.","-64.233333","-12.416667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2252133' target='other'> <mi>dwc_moreinfo</mi></a>","NY02107733","NY02107733_01",NA,"150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00968907","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Sterculia","striata","Sterculia striata","A.St.-Hil. & Naudin","A. F. M. Glaziou","10073",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1054197' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968907","NY00968907_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00968905","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Sterculia","striata","Sterculia striata","A.St.-Hil. & Naudin","G. A. Black","54-16545","1954","07","06","South America","Brazil","Maranhão",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1054131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00968905","NY00968905_01","A. Bertels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00972015","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Sterculia","striata","Sterculia striata","A.St.-Hil. & Naudin","J. A. Ratter","R379","1967","08","17","South America","Brazil","Mato Grosso","Nova Xavantina","Circa 3 km SW of [Nova] Xavantina.","-52.33","-14.73","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063677' target='other'> <mi>dwc_moreinfo</mi></a>","NY00972015","NY00972015_01 NY00972015_02","J. A. Ratter","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","818083","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Sterculia","striata","Sterculia striata","A.St.-Hil. & Naudin","H. S. Irwin","17348","1966","06","17","South America","Brazil","Mato Grosso",NA,"Serra Azul, ca. 85 km. S. of Xavantina. Drainage of the Upper Rio Araguaia.","-52.23","-15.4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=856751' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818083","NY00818083_01","E. L. Taylor","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
