"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","788654","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stilpnopappus","semirianus","Stilpnopappus semirianus","R.Esteves","H. E. Robinson","J. G. Jardim","50","1993","02","22","South America","Brazil","Bahia","Morro do Chapéu","Ca. de 10km, no Morrao do Chapéu, ao SW da cidade.","-41.1558","-11.5503","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=313032' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788654","NY00788654_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02629629","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stilpnopappus","semirianus","Stilpnopappus semirianus","R.Esteves",NA,"F. A. Santana","103","2012","02","24","South America","Brazil","Bahia","Licínio de Almeida","Serra Geral, Xáxá.","-42.5483","-14.6622","958",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2893032' target='other'> <mi>dwc_moreinfo</mi></a>","NY02629629","NY02629629_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","04112033","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stilpnopappus","semirianus","Stilpnopappus semirianus","R.Esteves","R. L. Esteves","S. A. Mori","14546","1981","06","18","South America","Brazil","Bahia","Morro do Chapéu","BR052, 4-6 km E of Morro do Chapeu.","-41.1561012268066","-11.5500001907349","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4520177' target='other'> <mi>dwc_moreinfo</mi></a>","NY04112033","NY04112033_01","isotype","98143","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03837384","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stilpnopappus","semirianus","Stilpnopappus semirianus","R.Esteves","R. L. Esteves","R. M. Harley","22759","1980","05","30","South America","Brazil","Bahia","Morro do Chapéu","Summit of Morro do Chapeu. C. 8 km. SW of the town of Morro do Chapeu to the west of the road to Utinga. D6.","-41.2","-11.58","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4160308' target='other'> <mi>dwc_moreinfo</mi></a>","NY03837384","NY03837384_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-19 15:43:25-03","UNEB","HUNEB","13377","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Stilpnopappus","semirianus","Stilpnopappus semirianus","R.L.Esteves",NA,"Guedes, M.L.","16890ALCB:93064","2009","12","17",NA,"Brasil","Bahia","João Correia","Chapada Diamantina,Estarda Cascavel para João Correia.","-41.531667","-13.290278",NA,NA,NA,NA,"HUNEB0013377",NA,NA,NA,NA,"Dicotyledoneae","41W31'54''","13S17'25''",NA,NA,NA,NA,NA
"6","2019-10-09 11:11:22-03","UFBA","ALCB","62686","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stilpnopappus","semirianus","Stilpnopappus semirianus","R.Esteve",NA,"Oliveira, A; Carneiro-Torres, DS; França, F; Melo, E","85","2000","07","09","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Arredores da cidade.","-42.233333","-11.559444","915","915",NA,"Às vezes ereto, às vezes com ramo procumbente. Folhas cartáceas, discolores. Flores com corola roxa; estigma e anteras brancas. Fruto maduro casatanho.",NA,NA,NA,NA,NA,NA,"-42.233333","-11.559444",NA,NA,NA,NA,NA
"7","2019-10-09 11:11:22-03","UFBA","ALCB","030855","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stilpnopappus","semirianus","Stilpnopappus semirianus","R.Esteve","Hind, DJN","Jardim, JG; Carvalho, AM de; Amorim, AMA; Silva, JR","50","1993","02","22","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Ca. de 10 km, no Morrão do Chapéu, ao SW da cidade","-41.15","-11.55",NA,NA,NA,"Folhas verdes na face superior e alvacentas na face inferior. Planta coberta por pelos alvacentos. Inflorescência esverdeada, flores com corola roxa.",NA,NA,NA,NA,NA,NA,"-41.15","-11.55","1996","08",NA,NA,NA
"8","2019-10-09 11:11:22-03","UFBA","ALCB","033587","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stilpnopappus","semirianus","Stilpnopappus semirianus","R.Esteve","Hind, DJN","Hind, DJN; Bautista, HP","PCD&nf;4188","1996","11","11","Southern America","Brasil","Bahia","Piatã","Chapada Diamantina, A 2km da entrada para Inúbia, a partir da entrada de Piatã","-41.7925","-13.071944","1240","1240",NA,"0,40 m, caule cinza. Folhas basais cartáceas, discolores, face adaxial verde-acinzentada, abaxial cinza, margens reflexas. inflorescência om filários verde-acinzentados a levemente arroxeados, ápice roxo, papus alvo a creme, flores de corola roxa, es",NA,NA,NA,NA,NA,NA,"-41.7925","-13.071944","1996","11",NA,NA,NA
"9","2019-10-09 11:11:22-03","UFBA","ALCB","033690","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stilpnopappus","semirianus","Stilpnopappus semirianus","R.Esteve","Ogasawara, HA","Stannard, B; Atkins, S; Saar, E; Passos Júnior, LA; Guedes, ML","PCD4917","1997","02","02","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, Serra do Marcelino","-41.834722","-13.595278","1170","1170",NA,"procumbente. Folhas membranáceas, discolores, face adaxial verde-escuro. Capítulos com brácteas involucrais verdes. Flores roxas. Frequente.",NA,NA,NA,NA,NA,NA,"-41.834722","-13.595278","2013","08",NA,NA,NA
"10","2019-10-09 11:11:22-03","UFBA","ALCB","106541","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stilpnopappus","semirianus","Stilpnopappus semirianus","R.Esteve","Afonso, F","Ogasawara, HA; Hurbath, F; Lopes, R; Stadnik, A","300","2013","01","22","Southern America","Brasil","Bahia","Licínio de Almeida","Serra Geral, Cascarrento","-42.557778","-14.553611","1003","1003",NA,"ca. 60cm alt. Folhas discolores; brácteas involucrais verdes; corola roxa; ramos do estilete alvos; pápus creme.",NA,NA,NA,NA,NA,NA,"-42.557778","-14.553611","2013","02",NA,NA,NA
"11","2019-10-09 11:11:22-03","UFBA","ALCB","106549","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Stilpnopappus","semirianus","Stilpnopappus semirianus","R.Esteve","Afonso, F","Ogasawara, HA; Hurbath, F; Lopes, R; Stadnik, A","309","2013","01","22","Southern America","Brasil","Bahia","Licínio de Almeida","Serra Geral, Caminho p/ o Garimpo","-42.553611","-14.557778","972","972",NA,"ca 30cm alt. Folhas discolores; corola roxa; ramos do estilete lilases; pápus creme.",NA,NA,NA,NA,NA,NA,"-42.553611","-14.557778","2013","02",NA,NA,NA
