"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","scientificNameAuthorship","recordedBy","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","locality","minimumElevationInMeters","maximumElevationInMeters","recordNumber","day","barcode","imagecode","phylum","verbatimLongitude","verbatimLatitude","continentOcean"
"1","2019-06-10 10:10:26-03","FZB-BH","CVJBFZB","4313","S","Plantae","Orchidaceae","Cattleya","cf. harpophylla","Cattleya cf. harpophylla","Carlos Alberto Ferreira Júnior","2018","01","16","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:41:04-03","MN","R","52252","PreservedSpecimen","Plantae","Orchidaceae","Laelia","harpophylla","Laelia harpophylla","Pabst, G.F.J.","1980","01","17",NA,NA,"Rchb. f.","Rosa, M.","1947","09","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:41:04-03","MN","R","35606","PreservedSpecimen","Plantae","Orchidaceae","Laelia","harpophylla","Laelia harpophylla",NA,NA,NA,NA,NA,NA,"Rchb. f.","Ruschi, A.","1941",NA,"Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto","Alto Santo Antônio","780","780",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-20 21:18:43-03","UFV","VIC","006714","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla",NA,NA,NA,NA,NA,"Planta epífita cultivada em ripado, flores laranja-encarnada.","(Rchb.f) Van den Berg","Ferreira, R.R.","1980","07","Brasil","Minas Gerais","Belo Horizonte","-43.937801361084","-19.9207992553711","17082","auto","Rua Dores do Indaiá 5",NA,NA,"s.n.","20","VIC006714","VIC006714",NA,NA,NA,NA
"5","2019-08-20 10:00:37-03","UNICAMP","UEC","88237","S","Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","Van den Berg","2011","10","25",NA,"Epífita. Flores cor de laranja.","(Rchb.f.) Van den Berg","Sartori, ALB; Koch, I; Mansano, VF; Sciamarelli, A; Goldenberg, R","1996","08","Brazil","Espírito Santo","Santa Teresa","-40.543611","-19.956667",NA,NA,"Reserva Biológica de Santa Lúcia, Floresta alta, de encosta.",NA,NA,"155","20","UEC008611","UEC008611","Liliopsida","-40.543611","-19.956667",NA
"6","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","47569",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,NA,"(Rchb.f.) Van den Berg","Chiron","2013","05","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863","48150","auto",NA,"550","550","3200","08","MBML047569","MBML047569",NA,NA,NA,NA
"7","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","13277",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Epífita, flores cor laranja. Interior de mata, terreno íngrime.","(Rchb.f.) Van den Berg","V. Demuner; et al","2000","08","Brasil","Espírito Santo","Santa Teresa","-40.576944","-19.963056",NA,NA,"Valsugana Velha",NA,NA,"1349","08","MBML013277","MBML013277",NA,"40W34'37","19S57'47",NA
"8","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","11179",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Herbácea, epífitas, folhas estreitas e longas, discolores e com brilho, flores laranjas. Mata de encosta, sol filtrado, 865m de altitude.","(Rchb.f.) Van den Berg","Cintia C. Chamas; et al","1994","08","Brasil","Espírito Santo","Santa Teresa","-40.530278","-19.971389",NA,NA,"Estação Biológica de Santa Lúcia",NA,NA,"211","02","MBML011179","MBML011179",NA,"40W31'49","19S58'17",NA
"9","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","13467",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Epífita 4m, na sombra. Flores laranjas.","(Rchb.f.) Van den Berg","L. Kollmann; et al","2000","09","Brasil","Espírito Santo","Santa Teresa","-40.530278","-19.971389",NA,NA,"Estação Biológica de Santa Lúcia",NA,NA,"3090","18","MBML013467","MBML013467",NA,"40W31'49","19S58'17",NA
"10","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","17114",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Epífita, a 4m do solo, topo de morro, vegetação seca, dossel aproximado de 15m, flores de cor laranja, labelo com borda branca.","(Rchb.f.) Van den Berg","R.R. Vervloet; et al","2002","08","Brasil","Espírito Santo","Santa Teresa","-40.553056","-19.9075",NA,NA,"Reserva Biológica Augusto Ruschi - Nova Lombardia",NA,NA,"636","01","MBML017114","MBML017114",NA,"40W33'11","19S54'27",NA
"11","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","18320",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Epífita, a 3m do solo, topo de morro, dossel 12m, flor laranja com borda do labelo branco, altitude 900m.","(Rchb.f.) Van den Berg","R.R. Vervloet; et al","2002","08","Brasil","Espírito Santo","Santa Teresa","-40.553056","-19.9075",NA,NA,"Reserva Biológica Augusto Ruschi - Nova Lombardia",NA,NA,"773","28","MBML018320","MBML018320",NA,"40W33'11","19S54'27",NA
"12","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","19703",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Epífita, frutos verdes, broto jovem rosado.","(Rchb.f.) Van den Berg","A. P. Fontana; et al","2002","12","Brasil","Espírito Santo","Fundão","-40.472222","-19.914167",NA,NA,"Goiapaba-Açu",NA,NA,"462","31","MBML019703","MBML019703",NA,"40W28'20","19S54'51",NA
"13","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","21365",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Epífita. Folhas verde escuras. Pedúnculo verde claro. Pedicelo amarelado. Flores alaranjados, labelo amarelo com margens brancas.","(Rchb.f.) Van den Berg","J. Rossini; et al","2003","08","Brasil","Espírito Santo","Santa Teresa","-40.553056","-19.9075",NA,NA,"Reserva Biológica Augusto Ruschi - Nova Lombardia",NA,NA,"476","19","MBML021365","MBML021365",NA,"40W33'11","19S54'27",NA
"14","2020-09-02 18:20:50-03","MBML","MBML-HERBARIO","21984",NA,"Plantae","Orchidaceae","Cattleya","harpophylla","Cattleya harpophylla","G.B. Bortolan/Jan.-2020",NA,NA,NA,NA,"Epífita, flores laranjas, labelo com margens brancas.","(Rchb.f.) Van den Berg","A. P. Fontana; et al","2003","08","Brasil","Espírito Santo","Santa Teresa","-40.621389","-19.929722",NA,NA,"Propriedade de João Romagna",NA,NA,"609","16","MBML021984","MBML021984",NA,"40W37'17","19S55'47",NA
