"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","continentOcean","locality","preparationType","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","individualCount"
"1","2021-04-05 14:34:15-03","UNESC","CRI","6446","PreservedSpecimen","Plantae","Verbenaceae","Lippia","ramboi","Lippia ramboi","Moldenke","J. A. Jarenkow","J. A. Jarenkow; E. N. Garcia","3669","1997","12","12","Brasil","Rio Grande do Sul","Capão do Leão","-52.484167","-31.763889","52º29'3''W","31º45'50''S","CRI007928","CRI007928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:15-03","UNESC","CRI","4036","PreservedSpecimen","Plantae","Verbenaceae","Lippia","ramboi","Lippia ramboi","Moldenke","J. A. Jarenkow","J. A. Jarenkow","1469","1989","12","03","Brasil","Rio Grande do Sul","Morro Redondo","-52.625556","-31.591944","52º37'32''W","31º35'31''S","CRI007927","CRI007927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","571884","PreservedSpecimen","Plantae","Verbenaceae","Lippia","ramboi","Lippia ramboi","Moldenke","B. Rambo","B. Rambo","52156","1952","02","07","Brazil","Rio Grande do Sul","Sao Francisco de Paula","-50.5833","-29.4483",NA,NA,"NY00571884","NY00571884_01","Magnoliophyta","Lamiales","South America","Morrinhos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161511' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","571881","PreservedSpecimen","Plantae","Verbenaceae","Lippia","ramboi","Lippia ramboi","Moldenke","S. F. Smith","R. A. Wasum","s.n.","1996","01","10","Brazil","Rio Grande do Sul","Sao Francisco de Paula","-50.395632","-29.433343",NA,NA,"NY00571881","NY00571881_01","Magnoliophyta","Lamiales","South America","Fl. Nacional I","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161508' target='other'> <mi>dwc_moreinfo</mi></a>","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","571882","PreservedSpecimen","Plantae","Verbenaceae","Lippia","ramboi","Lippia ramboi","Moldenke","S. F. Smith","R. A. Wasum","s.n.","1994","12","16","Brazil","Rio Grande do Sul","Sao Francisco de Paula","-50.395632","-29.433343",NA,NA,"NY00571882","NY00571882_01","Magnoliophyta","Lamiales","South America","Floresta Nacional I","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161507' target='other'> <mi>dwc_moreinfo</mi></a>","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","777276","PreservedSpecimen","Plantae","Verbenaceae","Lippia","ramboi","Lippia ramboi","Moldenke","S. F. Smith","R. A. Wasum","s.n.","1995","12","14","Brazil","Rio Grande do Sul","Sao Francisco de Paula","-50.395632","-29.433343",NA,NA,"NY00777276","NY00777276_01","Magnoliophyta","Lamiales","South America","Floresta Nacional","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161509' target='other'> <mi>dwc_moreinfo</mi></a>","830","830",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","137810","PreservedSpecimen","Plantae","Verbenaceae","Lippia","ramboi","Lippia ramboi pilosa","Moldenke","H. N. Moldenke","M. A. Palacios","1516","1948","02","22","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"NY00137810","NY00137810_01","Magnoliophyta","Lamiales","South America","Sao Sepé","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=234891' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"pilosa","type",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","137808","PreservedSpecimen","Plantae","Verbenaceae","Lippia","ramboi","Lippia ramboi","Moldenke","H. N. Moldenke","B. Rambo","46306","1950","03","13","Brazil","Rio Grande do Sul",NA,"-50.576516","-29.448498",NA,NA,"NY00137808","NY00137808_01","Magnoliophyta","Lamiales","South America","S. Frsco de Paula","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161510' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"type",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","571883","PreservedSpecimen","Plantae","Verbenaceae","Lippia","ramboi","Lippia ramboi","Moldenke","M. Sobral","M. Sobral","5416a","1987","01",NA,"Brazil","Rio Grande do Sul","Canguçu","-52.75","-31.5",NA,NA,"NY00571883","NY00571883_01","Magnoliophyta","Lamiales","South America","Canguçu. Em beira de mata junto à BR-392","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=161506' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","137810","PreservedSpecimen","Plantae","Verbenaceae","Lippia","ramboi","Lippia ramboi pilosa","Moldenke","H. N. Moldenke","M. A. Palacios","1516","1948","02","22","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"NY00137810","NY00137810_01","Magnoliophyta","Lamiales","South America","Sao Sepé","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=234891' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"pilosa","type",NA,NA,NA,NA,NA,NA,NA
