"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","infraspecificEpithet","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","locality","occurrenceRemarks","class","order","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","typeStatus","preparationType","fieldNumber","individualCount","monthIdentified","dayIdentified","previousCatalogNumber"
"1","2021-03-30 12:38:41-03","EAO","IAN","93826","PreservedSpecimen","Plantae","Dicotiledônea","Euphorbiaceae","Tetraplandra","riedelii","Tetraplandra riedelii","Müll.Arg.","Glaziou, AFM","13171","Southern America","Brasil","IAN093826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:38:36-03","EAO","IAN","57903","PreservedSpecimen","Plantae","Dicotiledônea","Euphorbiaceae","Tetraplandra","riedelii","Tetraplandra riedelii subneata","Müll.Arg.","Riedel, L","1050","Southern America","Brasil","IAN057903","subneata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:07:26-03","ESALQ","ESA","100263","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiaceae","Algernonia","riedelii","Algernonia riedelii",NA,"Sampaio, P.S.P.","440.0",NA,"Brasil","ESA100263",NA,"Oliveira, L.S.D.","2000","02","10","São Paulo","Bertioga","-46.138599395752","-23.8544006347656","37616","ESA100263","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:07:26-03","ESALQ","ESA","33141","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiaceae","Algernonia","riedelii","Algernonia riedelii","(Müll. Arg.) G.L. Webster","Joaquim, G.O. et al.","38.0",NA,"Brasil","ESA033141",NA,"Oliveira, L.S.D.","1996","09","07","São Paulo","Itanhaém","-46.7799987792969","-24.1800003051758","26998","ESA033141","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:07:26-03","ESALQ","ESA","27115","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiaceae","Algernonia","riedelii","Algernonia riedelii","(Müll. Arg.) G.L. Webster","Souza, V.C.; Souza, J.P.; Ivanauskas, N.M.; Duarte, A.R.; Eterovic, A.; Marques, O.A.V.","11087.0",NA,"Brasil","ESA027115",NA,"Oliveira, L.S.D.","1996","04","11","São Paulo","Itanhaém","-46.7799987792969","-24.1800003051758","26998",NA,"auto","Ilha da Queimada Grande","Arvoreta, ca. 3 m alt.; flores pistiladas verdes. Mata.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:29:11-03","IAP","PACA-AGP","105649","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiaceae","Tetraplandra","riedelii","Tetraplandra riedelii","Müell. Arg.","de Lima, H.C.","2189",NA,"Brasil","PACA105649",NA,"de Lima, M.P.M.","1984","10","16","RJ","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442",NA,"auto","Guapimirim. Estação Ecológica Estadual de Paraíso. Área do Centro de Primatologia do RJ.","Habitat: submata Hábito: arvoreta","Magnoliatae","Euphorbiales","1985","190","190",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:29:42-03","UNICAMP","UEC","151871","S","Plantae","Magnoliopsida","Euphorbiaceae","Tetraplandra","riedelii","Tetraplandra riedelii","Müll.Arg.","Lima, HC; et al.","s.n.",NA,"Brazil","UEC189407",NA,NA,NA,NA,NA,"Rio de Janeiro","Guapimirim","-42.933333","-22.533333",NA,"UEC189407",NA,"Estação Ecológica Estadual de Paraíso.","Árvore com 21m. de altura, 37.5 de diâmetro.",NA,NA,NA,NA,NA,"-42.933333","-22.533333",NA,NA,NA,NA,NA,NA,NA
"8","2019-06-27 10:24:50-03","UFES","VIES","4976","S","Plantae",NA,"Euphorbiaceae","Algernonia","riedelii","Algernonia riedelii","(Müll.Arg.) G.L.Webster","Fernandes, H.Q.B.","364",NA,"Brasil","VIES004976",NA,NA,"1982","01","12","Rio de Janeiro","São João da Barra","-41.0511016845703","-21.6403007507324","31235","VIES004976","auto","Boa Sorte - Fazenda do Palmeira.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 09:30:14-03","UFRRJ","RBR","44663","S","Plantae",NA,"Euphorbiaceae","Algernonia","riedelii","Algernonia riedelii","(Müll.Arg.) G.L.Webster","G. Martinelli; E. Dalcin, J. Hatton","10004",NA,"Brasil","RBR00044663",NA,"M.P.M. Lima","1984","10","11","Rio de Janeiro","Guapimirim","-42.9818992614746","-22.5372009277344","21463",NA,"auto","Centro de Primatológia do RJ-FEEMA.",NA,NA,NA,"1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 09:30:14-03","UFRRJ","RBR","44732","S","Plantae",NA,"Euphorbiaceae","Algernonia","riedelii","Algernonia riedelii","(Müll.Arg.) G.L.Webster","G. Martinelli; E. Dalcin, J. Hatto","10004",NA,"Brasil","RBR00044732",NA,"M.P.M. Lima","1984","10","11","Rio de Janeiro","Guapimirim","-42.9818992614746","-22.5372009277344","21463",NA,"auto","Centro de Primatológica do RJ-FEEMA. Mata pluvial costeira. Quadrant II, árvore nº 188.",NA,NA,NA,"1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
