"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","688020","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","F.Kränzl.","isotype","P. K. H. Dusén","9089","1910","01","24","South America","Brazil","Paraná","23-Turma, in pratis (Capão Grande).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=841931' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688020","NY00688020_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1032037","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","F.Kränzl.",NA,"G. G. Hatschbach","13509","1966","01","12","South America","Brazil","Paraná","Serra das Almas.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190241' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032037","NY01032037_01","G. F. J. Pabst","Palmeira","-50.0064","-25.4294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","04094588","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","F.Kränzl.",NA,"B. Maguire","23288","1944","05","07","South America","Guyana",NA,"Kaieteur Plateau","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4413546' target='other'> <mi>dwc_moreinfo</mi></a>","NY04094588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1031895","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","F.Kränzl.",NA,"H. S. Irwin","19326","1968","01","27","South America","Brazil","Goiás","20 km N.W. of Corumbá de Goiás, near Pico dos Pirineus. Serra dos Pirineus.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1188087' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031895","NY01031895_01","J. A. N. Batista","Cocalzinho de Goiás","-48.95","-15.88","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","687980","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","F.Kränzl.",NA,"P. K. H. Dusén","9089",NA,NA,NA,"South America","Brazil","Paraná","Capao Grande prope fluvium Guavirova.","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=840248' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687980","NY00687980_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:35-03","UFRJ","RFA","8445","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","Kraenzl.",NA,"G.G. Hatschbach","13509","1966","01","12",NA,"Brasil","Paraná","Serra das Almas",NA,"Flor alvacenta","RFA52563",NA,"G.F.J. Pabst","Palmeira","-50.0064010620117","-25.4293994903564",NA,NA,"1966","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:52:46-03","EAO","IAN","52381","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Habenaria","amazonica","Habenaria amazonica","Schltr.",NA,"Lima, RP de","76","1950","03",NA,"Southern America","Brasil","Pará",NA,NA,NA,"IAN052381",NA,"Pabst, GFJ","Marajó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:46:20-03","NBC","NL-BOTANY","L.1516525","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","Kraenzl.",NA,"Hatschbach GG",NA,"1961","12","21","Southern America","Brazil",NA,"Parana (Brasil), Jaguariaiva. Estr. para cerro Az Alto.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1516525 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1516525","NL-L1516525",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:46:20-03","NBC","NL-BOTANY","L.1516526","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","Kraenzl.",NA,"Dusén PKH",NA,"1910","01","24","Southern America","Brazil",NA,"Brasilienses. Parana: 23 Turma, in Pratis (Capão Grande).",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1516526 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1516526","NL-L1516526",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:46:20-03","NBC","NL-BOTANY","U.1459624","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","platydactyla","Habenaria platydactyla","Kraenzl.",NA,"Kramer KU; Hekking WHAM",NA,"1961","02","19","Southern America","Surinam","Saramacca","Kappel-savanna prope pedem australem montis. Tafelberg (distr. Saramacca).",NA,"Moist, open sand savanna with scattered shrubs in the s. part.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1459624 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1459624","NL-U1459624","Renz J",NA,NA,NA,NA,NA,"1989",NA,NA,"Magnoliopsidae","04","01","U 0205498",NA,NA,NA,NA,NA
